Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
T-109,Cytochalasin D,507.6,5-A02,5,Plate 1,A02,EnzoICCB2,SP0128,A03,Cytochalasin D - actin poison,ICCB Known Bioactives Library,9.85,Inhibitors:  F actin capper,DMSO,2840,Cytochalasin D - actin poison
T-101,Nocodazole,301.3,6-A02,6,Plate 2,A02,EnzoICCB2,SP0128,A04,Nocodazole - microtubule poison,ICCB Known Bioactives Library,16.6,Inhibitors:  tubulin inhibitor,DMSO,2840,Nocodazole - microtubule poison
ST-330,D609,210.3,5-A03,5,Plate 1,A03,EnzoICCB2,SP0128,A05,D609 - phospholipase inhibitor,ICCB Known Bioactives Library,23.8,Lipid biosynthesis:  PC-PLC inhibitor,DMSO,2840,D609 - phospholipase inhibitor
ST-315,OBAA,428.6,6-A03,6,Plate 2,A03,EnzoICCB2,SP0128,A06,OBAA - phospholipase inhibitor,ICCB Known Bioactives Library,11.7,Inhibitors:  phospholipase A2 inhibitor,DMSO,2840,OBAA - phospholipase inhibitor
EI-274,Damnacanthal,282.2,5-A04,5,Plate 1,A04,EnzoICCB2,SP0128,A07,Damnacanthal - kinase inhibitor,ICCB Known Bioactives Library,17.7,Kinase inhibitors:  p56lck inhibitor,DMSO,2840,Damnacanthal - kinase inhibitor
EI-181,Okadaic acid,805,6-A04,6,Plate 2,A04,EnzoICCB2,SP0128,A08,Okadaic acid - phosphatase inhibitor,ICCB Known Bioactives Library,0.621,Inhibitors:  PP1 PP2A inhibitor,DMSO,2840,Okadaic acid - phosphatase inhibitor
CN-223,YC-1,304.3,5-A05,5,Plate 1,A05,EnzoICCB2,SP0128,A09,YC-1 - Hif-1 inhibitor,ICCB Known Bioactives Library,16.4,Activators:  GC stimulator /  Hif-1 alpha inhibitor ,DMSO,2840,YC-1 - Hif-1 inhibitor
CM-111,Oligomycin A,791.1,6-A05,6,Plate 2,A05,EnzoICCB2,SP0128,A10,Oligomycin A - Fo ATP synthase inhibitor,ICCB Known Bioactives Library,6.32,Inhibitors:  Fo ATP synthase inhibitor ,DMSO,2840,Oligomycin A - Fo ATP synthase inhibitor
A-230,Decoyinine,279.3,5-A06,5,Plate 1,A06,EnzoICCB2,SP0128,A11,Decoyinine - GMP synthetase inhibitor,ICCB Known Bioactives Library,17.9,Inhibitors:  lowers GTP levels,DMSO,2840,Decoyinine - GMP synthetase inhibitor
CC-200,Olomoucine,298.3,6-A06,6,Plate 2,A06,EnzoICCB2,SP0128,A12,Olomoucine - kinase inhibitor,ICCB Known Bioactives Library,16.8,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Olomoucine - kinase inhibitor
