Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
SL-115,C16 Ceramide,537.9,1-A02,1,Plate 1,A02,EnzoICCB1,SP0133,A03,C16 Ceramide - ceramide analog,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Activates PKC zeta,DMSO,2840,C16 Ceramide - ceramide analog
L-120,C-PAF,538.7,2-A02,2,Plate 2,A02,EnzoICCB1,SP0133,A04,C-PAF - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  PAF receptor agonist,DMSO,2840,C-PAF - bioactive lipid
SL-145,C8 Ceramine,411.7,1-A03,1,Plate 1,A03,EnzoICCB1,SP0133,A05,C8 Ceramine - ceramide analog,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Ceramide analog. Apoptosis inducer,DMSO,2840,C8 Ceramine - ceramide analog
PG-047,D12-Prostaglandin J2,334.4,2-A03,2,Plate 2,A03,EnzoICCB1,SP0133,A06,Delta 12-Prostaglandin J2 - prostaglandin,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,Delta 12-Prostaglandin J2 - prostaglandin
FA-021,(R)-(+)-Methandamide,361.6,1-A04,1,Plate 1,A04,EnzoICCB1,SP0133,A07,(R)-Methanandamide - cannabinoid receptor ligand,ICCB Known Bioactives Library,0.008,CNS receptor ligands:  Cannabinoid CB1 receptor agonist,DMSO,2840,(R)-Methanandamide - cannabinoid receptor ligand
FA-009,Dihomo-gamma-linolenic acid,306.5,2-A04,2,Plate 2,A04,EnzoICCB1,SP0133,A08,Dihomo-gamma-linolenic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Dihomo-gamma-linolenic acid - bioactive lipid
DM-200,1?;25-Dihydroxyvitamin D3,416.6,1-A05,1,Plate 1,A05,EnzoICCB1,SP0133,A09,1;25-Dihydroxyvitamin D3 - Vitamin D receptor ligand,ICCB Known Bioactives Library,0.008,Nuclear receptor ligands:  Vitamin D receptor agonist,DMSO,2840,1;25-Dihydroxyvitamin D3 - Vitamin D receptor ligand
SL-125,Dihydrosphingosine,301.5,2-A05,2,Plate 2,A05,EnzoICCB1,SP0133,A10,Dihydrosphingosine - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Apoptosis inducer,DMSO,2840,Dihydrosphingosine - bioactive lipid
DG-100,1;2-Didecanoyl-glycerol (10:0),400.6,1-A06,1,Plate 1,A06,EnzoICCB1,SP0133,A11,1;2-Didecanoyl-glycerol (10:0) - PKC activator,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Didecanoyl-glycerol (10:0) - PKC activator
GR-207,Diidolylmethane,246.3,2-A06,2,Plate 2,A06,EnzoICCB1,SP0133,A12,Diindolylmethane - AHR ligand,ICCB Known Bioactives Library,0.008,Nuclear receptor ligands:  AHR agonist,DMSO,2840,Diindolylmethane - AHR ligand
