384 Plate ID,Plate Map,Well,Human Readable Name,Catalog No.,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,Library
SelleckChem001,SP0135-A,A01,DMSO_A01,,DMSO_A01,,,1,1,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A02,DMSO_A02,,DMSO_A02,,,2,1,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A03,Nintedanib (BIBF 1120),S1010,Nintedanib (BIBF 1120),10,m,3,1,25,179703356,539.62,656247-17-5,free base,VEGFR;PDGFR;FGFR,Nintedanib (BIBF 1120) is a potent triple angiokinase inhibitor for VEGFR1/2/3; FGFR1/2/3 and PDGFR_/_ with IC50 of 34 nM/13 nM/13 nM; 69 nM/37 nM/108 nM and 59 nM/65 nM. Phase 3.,C1=C(C=C2C(=C1)/C(C(N2)=O)=C(\C3=CC=CC=C3)NC4=CC=C(C=C4)N(C)C(CN5CCN(CC5)C)=O)C(OC)=O,11,http://www.selleckchem.com/products/BIBF1120.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A04,Everolimus (RAD001),S1120,Everolimus (RAD001),10,m,4,1,25,192919554,958.22,159351-69-6,free base,mTOR,Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.,C(O)CO[C@H]1[C@@H](C[C@@H](CC1)C[C@@H]([C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C([C@]4([C@@H](CC[C@H](O4)C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C([C@@H]([C@@H](O)/C(=C/[C@H](C(C2)=O)C)C)OC)=O)C)C)C)OC)C)O)=O)C)OC,104.36,http://www.selleckchem.com/products/Everolimus(RAD001).html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A05,Dasatinib,S1021,Dasatinib,10,m,5,1,25,194475652,488.01,302962-49-8,free base,Bcr-Abl;c-Kit;Src,Dasatinib is a novel; potent and multi-targeted inhibitor that targets Abl; Src and c-Kit; with IC50 of _1 nM; 0.8 nM and 79 nM; respectively.,N1=C(N=C(C=C1NC2=NC=C(S2)C(NC3=C(C=CC=C3C)Cl)=O)N4CCN(CC4)CCO)C,200.82,http://www.selleckchem.com/products/Dasatinib.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A06,AT9283,S1134,AT9283,10,m,6,1,25,192886530,381.43,896466-04-9,free base,JAK;Aurora Kinase;Bcr-Abl,AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B; Abl(T315I). Phase 1/2.,N(C(=O)NC1C(=NNC=1)C2NC3C(N=2)=CC(=CC=3)CN4CCOCC4)C5CC5,199.25,http://www.selleckchem.com/products/AT9283.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A07,Motesanib Diphosphate (AMG-706),S1032,Motesanib Diphosphate (AMG-706),10,m,7,1,25,192902871,569.44,857876-30-3,diphosphate,VEGFR;PDGFR;c-Kit,Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM; respectively; similar activity against Kit; ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.,C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O,175.61,http://www.selleckchem.com/products/Motesanib-Diphosphate.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A08,Ivacaftor (VX-770),S1144,Ivacaftor (VX-770),10,m,8,1,25,192928304,392.49,873054-44-5,free base,CFTR,Ivacaftor (VX-770) is a potentiator of CFTR targeting G551D-CFTR and F508del-CFTR with EC50 of 100 nM and 25 nM; respectively.,C1=C(C(=CC(=C1C(C)(C)C)NC(C2C(C3=C(NC=2)C=CC=C3)=O)=O)O)C(C)(C)C,198.73,http://www.selleckchem.com/products/VX-770.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A09,STF-62247,S1041,STF-62247,10,m,9,1,25,179764897,267.35,315702-99-9,free base,Others,STF-62247 shows selectivtoxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).,N1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=CC(=C3)C,198.24,http://www.selleckchem.com/products/STF-62247.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A10,S3I-201,S1155,S3I-201,10,m,10,1,25,192949768,365.36,501919-59-1,free base,STAT,S3I-201 shows potent inhibition of STAT3 DNA-binding activity with IC50 of 86 _M; and low activity towards STAT1 and STAT5.,C1(=CC=C(C=C1)S(OCC(NC2=CC=C(C(=C2)O)C(O)=O)=O)(=O)=O)C,199.8,http://www.selleckchem.com/products/S31-201.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library
