384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,,Library
SelleckChem002,SP0136-A,A03,SAR245409 (XL765),S1523,SW218114-2,10,m,3,1,192963165,599.66,1349796-36-6,free base,PI3K;mTOR,SAR245409 (XL765) is a dual inhibitor of mTOR/PI3K; mostly for p110_ with IC50 of 9 nM; also inhibits DNA-PK and mTOR. Phase 1/2.,C12=CC=CC=C1N=C(C(=N2)NC3=CC(=CC(=C3)OC)OC)NS(C4=CC=C(C=C4)NC(=O)C5=CC=C(C(=C5)OC)C)(=O)=O,20,http://www.selleckchem.com/products/XL765(SAR245409).html#,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A04,Isradipine(Dynacirc),S1662,SW220017-1,10,m,4,1,192949510,371.39,75695-93-1,free base,Calcium Channel,Isradipine(Dynacirc) is a calcium channel blocker with an IC50 of 34±8 _M.,C1C=C(C2C(C=1)=NON=2)C3C(=C(NC(=C3C(OC(C)C)=O)C)C)C(=O)OC,199,http://www.selleckchem.com/products/Isradipine(Dynacirc).html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A05,AZD7762,S1532,SW218139-2,10,m,5,1,192896421,362.42,860352-01-8,free base,Chk,AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM. It is equally potent against Chk2 and less potent against CAM; Yes; Fyn; Lyn; Hck and Lck. Phase 1.,C1(=CC=CC(=C1)C2SC(=C(C=2)NC(N)=O)C(N[C@@H]3CNCCC3)=O)F,137,http://www.selleckchem.com/products/AZD7762.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A06,Lubiprostone(Amitiza),S1675,SW219522-1,10,m,6,1,192918076,390.46,136790-76-6,free base,Others,Lubiprostone(Amitiza) is a gastrointestinal agent used for the treatment of idiopathic chronic constipation.,C1(C[C@H]([C@@H]([C@@H]1CCCCCCC(O)=O)CCC(C(CCCC)(F)F)=O)O)=O,199,http://www.selleckchem.com/products/Lubiprostone(Amitiza).html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A07,AM-1241,S1544,SW219858-1,10,m,7,1,179711759,503.33,444912-48-5,free base,Cannabinoid Receptor,AM-1241 is a selective cannabinoid CB2 receptor agonist with Ki of 3.4 nM; exhibits 82-fold selectivity over CB1 receptor.,C1=CC2=C(C=C1)N(C=C2C(C3=CC(=CC=C3I)[N+](=O)[O-])=O)CC4N(CCCC4)C,200,http://www.selleckchem.com/products/AM-1241.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A08,Betamethasone Dipropionate,S1688,SW219976-1,10,m,8,1,192899422,504.59,5593-20-4,Inflammation,Glucocorticoid Receptor,Betamethasone Dipropionate is a glucocorticoid steroid with anti-inflammatory and immunosuppressive abilities.,C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@H]3O)([C@@]([C@H](C4)C)(C(=O)COC(CC)=O)OC(=O)CC)C)[H])[H])F)C)=O,200.16,https://www.selleckchem.com/products/Betamethasone-Dipropionate(Diprolene).html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A09,KRN 633,S1557,SW219262-1,10,m,9,1,194474654,416.86,286370-15-8,free base,PDGFR;VEGFR,KRN 633 is an ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 170 nM/160 nM/125 nM; weakly inhibits PDGFR-_/_ and c-Kit; does not block the phosphorylation of FGFR-1; EGFR or c-Met in cell.,C1(=C(C=C2C(=C1)C(=NC=N2)OC3=CC=C(C(=C3)Cl)NC(=O)NCCC)OC)OC,21,http://www.selleckchem.com/products/KRN-633.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A10,Didanosine(Videx; Videx EC),S1702,SW198619-2,10,m,10,1,192905291,236.23,69655-05-6,free base,Reverse Transcriptase,Didanosine(Videx; Videx EC) is a reverse transcriptase inhibitor with an IC50 of 0.49 _M.,[C@H]1(CC[C@@H](O1)N2C3=C(N=C2)C(NC=N3)=O)CO,198,http://www.selleckchem.com/products/Didanosine(Videx).html,Microbiology,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A11,BS-181,S1572,SW219356-1,10,m,11,1,194474857,416.99,1397219-81-6,hydrochloride,CDK,BS-181 is a highly selective CDK7 inhibitor with IC50 of 21 nM. It is more than 40-fold selective for CDK7 than CDK1; 2; 4; 5; 6; or 9.,C1(=CC(=NC2N1N=CC=2C(C)C)NCCCCCCN)NCC3(=CC=CC=C3).Cl,199,http://www.selleckchem.com/products/BS-181.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem002,SP0136-A,A12,Piroxicam (Feldene),S1713,SW219862-1,10,m,12,1,192926780,331.35,36322-90-4,free base,COX,Piroxicam (Feldene) is a non-selective COX inhibitor with an IC50 of 6 mM.,C1=CN=C(C=C1)NC(C2N(S(C3=C(C=2O)C=CC=C3)(=O)=O)C)=O,199,http://www.selleckchem.com/products/Piroxicam(Feldene).html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
