384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Unnamed: 20,Library,sample_type
SelleckChem004,SP0138-A,A01,,Bx,Bx-A01,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,A02,,Bx,Bx-A02,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,A03,TAK-875,S2637,SW222233-1,10,m,3,1,179712999,533.63,1374598-80-7,hydrate,GPR,TAK-875 is a selective GPR40 agonist with EC50 of 14 nM; 400-fold more potent than oleic acid.,C1(=C(C=C(C=C1)COC2=CC=C3C(=C2)OC[C@H]3CC(=O)O)C4=C(C=C(C=C4C)OCCCS(=O)(C)=O)C).O.C5=C(C=C(C=C5)COC6=CC=C7C(=C6)OC[C@H]7CC(=O)O)C8=C(C=C(C=C8C)OCCCS(=O)(C)=O)C,187,http://www.selleckchem.com/products/tak-875.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A04,RITA (NSC 652287),S2781,SW220276-1,10,m,4,1,179766741,292.37,213261-59-7,free base,E3 Ligase ;p53,RITA (NSC 652287) induces both DNA-protein and DNA-DNA cross-links with no detectable DNA single-strand breaks; and also inhibits MDM2-p53 interaction by targeting p53.,O1C(=CC=C1C2=CC=C(S2)CO)C3=CC=C(S3)CO,198,http://www.selleckchem.com/products/rita-nsc-652287.html,Apoptosis,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A05,ICG-001,S2662,SW219779-1,10,m,5,1,179709463,548.63,780757-88-2,free base,Wnt/beta-catenin,ICG-001 antagonizes Wnt/_-catenin/TCF-mediated transcription and specifically binds to element-binding protein (CBP) with IC50 of 3 _M; but is not the related transcriptional coactivator p300.,C1=CC=C(C=C1)CNC(N2[C@@]3(N(C(CC2)=O)[C@@H](C(N(C3)CC4=CC=CC5=C4C=CC=C5)=O)CC6=CC=C(C=C6)O)[H])=O,182,http://www.selleckchem.com/products/icg-001.html,Stem Cells &  Wnt,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A06,Sotrastaurin,S2791,SW220235-1,10,m,6,1,192940207,438.48,425637-18-9,free base,PKC,Sotrastaurin is a potent and selective pan-PKC inhibitor; mostly for PKC_ with Ki of 0.22 nM; inactive to PKC_. Phase 1/2.,N1C(C(=C(C1=O)C2N=C(N=C3C=CC=CC=23)N4CCN(CC4)C)C5=CNC6C=CC=CC5=6)=O,198,http://www.selleckchem.com/products/sotrastaurin-aeb071.html,TGF-beta/Smad,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A07,PF-00562271,S2672,SW219484-1,10,m,7,1,192900064,665.66,939791-38-5,benzenesulfonic,FAK,PF-00562271 is the benzenesulfonate salt of PF-562271; which is a potent; ATP-competitive; reversible inhibitor of FAK with IC50 of 1.5 nM; ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases; except for some CDKs. Phase 1.,C1(=NC(=C(C=C1)CNC2=C(C=NC(=N2)NC3=CC=C4C(=C3)CC(N4)=O)C(F)(F)F)N(C)S(=O)(C)=O).C5=CC=CC(=C5)S(O)(=O)=O,21,http://www.selleckchem.com/products/pf-00562271.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A08,Sirtinol,S2804,SW219185-1,10,m,8,1,192943335,394.47,410536-97-9,free base,Sirtuin,Sirtinol is a specific SIRT1 and SIRT2 inhibitor with IC50 of 131 _M and 38 _M; respectively.,C(C1C(=CC=CC=1)/N=C/C2C(=CC=C3C=CC=CC=23)O)(=O)NC(C)C4C=CC=CC=4,58,http://www.selleckchem.com/products/sirtinol.html,Epigenetics,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A09,CHIR-124,S2683,SW219499-1,10,m,9,1,194487403,419.91,405168-58-3,free base,Chk,CHIR-124 is a novel and potent Chk1 inhibitor with IC50 of 0.3 nM. It shows 2;000-fold selectivity against Chk2; 500- to 5;000-fold less activity against CDK2/4 and Cdc2.,C1(C(=C(C2=C(N1)C=CC(=C2)Cl)N[C@H]3C4CCN(C3)CC4)C5=NC6=C(N5)C=CC=C6)=O,16,http://www.selleckchem.com/products/chir-124.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A10,BYL719,S2814,SW220128-1,10,m,10,1,192878809,441.47,1217486-61-7,free base,PI3K,BYL719 is a potent and selective PI3K_ inhibitor with IC50 of 5 nM; and minimal effect on PI3K_/_/_. Phase 1/2.,N1([C@@H](CCC1)C(=O)N)C(=O)NC2SC(=C(N=2)C)C3=CC(=NC=C3)C(C(F)(F)F)(C)C,199,http://www.selleckchem.com/products/byl719.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A11,TG101209,S2692,SW219632-1,10,m,11,1,192953455,509.67,936091-14-4,free base,JAK;FLT3;c-RET,TG101209 is a selective JAK2 inhibitor with IC50 of 6 nM; less potent to Flt3 and RET with IC50 of 25 nM and 17 nM; ~30-fold selective for JAK2 than JAK3; sensitive to JAK2V617F and MPLW515L/K mutations.,C1=C(C=C(C=C1)NC2=NC(=NC=C2C)NC3=CC=C(C=C3)N4CCN(CC4)C)S(NC(C)(C)C)(=O)=O,200,http://www.selleckchem.com/products/tg101209.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A12,TPCA-1,S2824,SW218246-2,10,m,12,1,192933619,279.29,507475-17-4,free base,I_B/IKK,TPCA-1 is an inhibitor of IKK-2 with IC50 of 17.9 nM; inhibits NF-_B pathway; exhibits 22-fold selectivity over IKK-1.,C1(=C(C=C(S1)C2C=CC(=CC=2)F)C(=O)N)NC(=O)N,200,http://www.selleckchem.com/products/tpca-1.html,NF-_B,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A13,GSK1838705A,S2703,SW220189-1,10,m,13,1,192892578,532.57,1116235-97-2,free base,IGF-1R;ALK,GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM; modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM; respectively; and little activity to other protein kinases.,N1=C(N=C2C(=C1NC3=CC=CC(=C3C(=O)NC)F)C=CN2)NC4=C(C=C5C(=C4)N(CC5)C(=O)CN(C)C)OC,200,http://www.selleckchem.com/products/gsk1838705a.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A14,Semaxanib (SU5416),S2845,SW219791-1,10,m,14,1,192894665,238.28,194413-58-6,free base,VEGFR,Semaxanib (SU5416) is a potent and selective VEGFR(Flk-1/KDR) inhibitor with IC50 of 1.23 _M; 20-fold more selective for VEGFR than PDGFR_; lack of activity against EGFR; InsR and FGFR. Phase 3.,C1=CC=C2C(=C1)/C(C(N2)=O)=C/C3NC(=CC=3C)C,92,http://www.selleckchem.com/products/semaxanib-su5416.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A15,Nilvadipine,S2721,SW219572-1,10,m,15,1,179676757,385.37,75530-68-6,free base,Calcium Channel,Nilvadipine is a potent calcium channel blocker with an IC50 of 0.03 nM.,C1(NC(=C(C(C=1C(=O)OC(C)C)C2=CC=CC(=C2)[N+](=O)[O-])C(OC)=O)C#N)C,199,http://www.selleckchem.com/products/nilvadipine-arc029.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library,sample
