384 Plate ID,Plate Map,Well,Human Readable Name,Catalog No.,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,,Library
SelleckChem005,SP0139-A,A03,Spironolactone,S4054,Spironolactone,10,m,3,1,25,179602845,416.57,52-01-7,free base,Androgen Receptor,Spironolactone is a potent antagonist of the androgen receptor with IC50 of 77 nM.,C1C(C=C2[C@](C1)([C@]3([C@@]([C@@H](C2)SC(C)=O)([C@]4([C@](CC3)([C@@]5(CC4)OC(CC5)=O)C)[H])[H])[H])C)=O,199,http://www.selleckchem.com/products/spironolactone.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A04,1-Hexadecanol,S4173,1-Hexadecanol,10,m,4,1,25,192872505,242.44,36653-82-4,free base,Others,1-Hexadecanol is a fatty alcohol used to make other chemicals.,C(CCCCCCCO)CCCCCCCC,280,http://www.selleckchem.com/products/1-hexadecanol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A05,Escitalopram Oxalate,S4064,Escitalopram Oxalate,10,m,5,1,25,179618870,414.43,219861-08-2,oxalate,5-HT Receptor,Escitalopram Oxalate is a selective serotonin (5-HT) reuptake inhibitor (SSRI) with Ki of 0.89 nM.,C12(=CC=C(C=C1COC2(CCCN(C)C)C3=CC=C(C=C3)F)C#N).OC(=O)C(=O)O,200,http://www.selleckchem.com/products/escitalopram-oxalate.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A06,Penciclovir,S4184,Penciclovir,10,m,6,1,25,192872524,253.26,39809-25-1,free base,Others,Penciclovir is a purine acyclic nucleoside analogue with potent antiviral activity.,N1=C(NC2=C(C1=O)N=CN2CCC(CO)CO)N,134,http://www.selleckchem.com/products/penciclovir.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A07,Zinc Pyrithione,S4075,Zinc Pyrithione,10,m,7,1,25,192881188,317.7,13463-41-7,free base,Proton Pump,Zinc pyrithione is an antifungal and antibacterial agent disrupting membrane transport by blocking the proton pump.,C1=CC=C2[N+](=C1)[O-][Zn+2]3([S-]2)[O-][N+]4=C([S-]3)C=CC=C4,94,http://www.selleckchem.com/products/zinc-pyrithione.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A08,Chlorquinaldol,S4192,Chlorquinaldol,10,m,8,1,25,192920061,228.07,72-80-0,free base,Others,Chlorquinaldol is an antimicrobial agent used for local antisepsy.,N1C(=CC=C2C(=CC(=C(C=12)O)Cl)Cl)C,201,http://www.selleckchem.com/products/chlorquinaldol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A09,Lomerizine HCl,S4084,Lomerizine HCl,10,m,9,1,25,192895568,541.46,101477-54-7,hydrochloride,Others,Lomerizine dihydrochloride is a relatively new L- and T-type calcium channel blocker used in the treatment of migraine.,C(N1CCN(CC1)CC2=C(C(=C(C=C2)OC)OC)OC)(C3=CC=C(C=C3)F)C4(=CC=C(C=C4)F).Cl.Cl,184.69,http://www.selleckchem.com/products/lomerizine-hcl.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A10,Florfenicol,S4201,Florfenicol,10,m,10,1,25,192919660,358.21,73231-34-2,free base,Others,Florfenicol is a fluorinated synthetic analog of thiamphenicol with broad-spectrum; primarily bacteriostatic activity.,C1(=CC=C(C=C1)[C@H]([C@H](NC(C(Cl)Cl)=O)CF)O)S(C)(=O)=O,200,http://www.selleckchem.com/products/florfenicol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A11,Difluprednate,S4095,Difluprednate,10,m,11,1,25,192866121,508.55,23674-86-4,free base,Others,Difluprednate (difluoroprednisolone butyrate acetate; or DFBA) is a synthetic difluorinated prednisolone derivative; it originally developed for dermatologic applications.,C1(C=C2[C@](C=C1)([C@]3([C@@](C[C@@H]2F)([C@]4([C@](C[C@H]3O)([C@@](CC4)(C(COC(C)=O)=O)OC(=O)CCC)C)[H])[H])F)C)=O,200,http://www.selleckchem.com/products/difluprednate.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A12,Chlorocresol,S4209,Chlorocresol,10,m,12,1,25,179602982,142.58,59-50-7,free base,Others,Chlorocresol is an activator of ryanodine receptor,C1(=C(C=CC(=C1)O)Cl)C,203,http://www.selleckchem.com/products/chlorocresol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A13,Diminazene Aceturate,S4104,Diminazene Aceturate,10,m,13,1,25,194470111,515.52,908-54-3,aceturate,Others,Diminazene is a di-amidine also known as 4;4-(1-Triazene_1;3_diyl)bis(benzenecarboximidamide); used as an effective trypanocidal agent.,C1(=C(C=CC(=C1)/N=N/NC2=CC=C(C=C2)C(=N)N)C(N)=N).OC(CNC(=O)C)=O.OC(CNC(=O)C)=O,36,http://www.selleckchem.com/products/diminazene-aceturate.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A14,Bosentan,S4220,Bosentan,10,m,14,1,25,179619226,551.61,147536-97-8,Free Base,Endothelin Receptor,Bosentan is an endothelin (ET) receptor antagonist for ET-A and ET-B with Ki of 4.7 nM and 95 nM; respectively.,N1=C(N=C(C(=C1NS(C2=CC=C(C=C2)C(C)(C)C)(=O)=O)OC3=CC=CC=C3OC)OCCO)C4=NC=CC=N4,100,www.selleckchem.com/products/bosentan.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A15,Desvenlafaxine,S4113,Desvenlafaxine,10,m,15,1,25,192947993,263.38,93413-62-8,free base,5-HT Receptor,Desvenlafaxine is a serotonin (5-HT) and norepinephrine (NE) reuptake inhibitor with Ki of 40.2 nM and 558.4 nM; respectively. ,C1C(CCCC1)(C(CN(C)C)C2=CC=C(C=C2)O)O,140,http://www.selleckchem.com/products/desvenlafaxine.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A16,Oxybuprocaine HCl,S4229,Oxybuprocaine HCl,10,m,16,1,25,192867039,344.88,5987-82-6,hydrochloride,Others,Oxybuprocaine HCl is a local anesthetic; which is used especially in ophthalmology and otolaryngology. ,C1(C=C(C(=CC=1)N)OCCCC)C(OCCN(CC)CC)=O.Cl,200,http://www.selleckchem.com/products/oxybuprocaine-hcl.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A17,Tolazoline HCl,S4124,Tolazoline HCl,10,m,17,1,25,181343779,196.68,59-97-2,free base,Adrenergic Receptor,Tolazoline is a non-selective competitive _-adrenergic receptor antagonist.,C1(CC2NCCN=2)(C=CC=CC=1).Cl,198,https://www.selleckchem.com/products/tolazoline-hcl.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A18,Bergapten,S4239,Bergapten,10,m,18,1,25,192912678,216.19,484-20-8,free base,Others,Bergapten is a psoralen that can be photoactivated and is capable of crossing-linking DNA; covalently modifying proteins and lipids; and consequently inhibiting cell replication.,C1C(OC2=C(C=1)C(=C3C(=C2)OC=C3)OC)=O,23,http://www.selleckchem.com/products/bergapten.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A19,Cyclizine 2HCl,S4139,Cyclizine 2HCl,10,m,19,1,25,192948399,339.3,5897-18-7,hydrochloride,Histamine Receptor,Cyclizine 2HCl is a piperazine derivative with Histamine H1 receptor antagonist activity.,C1(CN(CCN1C)C(C2=CC=CC=C2)C3=CC=CC=C3).Cl.Cl,20,http://www.selleckchem.com/products/cyclizine-2hcl.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A20,Bromfenac Sodium,S4248,Bromfenac Sodium,10,m,20,1,25,192917021,356.15,91714-93-1,sodium,Others,Bromfenac is a nonsteroidal anti-inflammatory drug (NSAID); which has anti-inflammatory activity and may block prostaglandin synthesis by inhibiting cyclooxygenase 1 and 2.,[Na+].C(CC1C(=C(C=CC=1)C(C2C=CC(=CC=2)Br)=O)N)(=O)[O-],199,http://www.selleckchem.com/products/bromfenac-sodium.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem005,SP0139-A,A21,Penfluridol,S4151,Penfluridol,10,m,21,1,25,192931101,523.97,26864-56-2,free base,Others,Penfluridol is a highly potent; first generation diphenylbutylpiperidine antipsychotic.,C1(C2(CCN(CC2)CCCC(C3=CC=C(C=C3)F)C4C=CC(=CC=4)F)O)=CC(=C(C=C1)Cl)C(F)(F)F,190,http://www.selleckchem.com/products/penfluridol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
