384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Barcode,M.w.,CAS Number,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,sample_type
SelleckChem007,SP0141-A,A01,,Bx,Bx-A01,,,,,,,,,,,,,,,vehicle_control
SelleckChem007,SP0141-A,A02,,Bx,Bx-A02,,,,,,,,,,,,,,,vehicle_control
SelleckChem007,SP0141-A,A03,ABT-263 (Navitoclax),S1001,SW218055-2,10,m,3,1,192895290,974.61,923564-51-6,Bcl-2,ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL; Bcl-2 and Bcl-w with Ki of _ 0.5 nM; _1 nM and _1 nM; but binds more weakly to Mcl-1 and A1. Phase 1/2.,C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl,102,http://www.selleckchem.com/products/ABT-263.html,Apoptosis,,sample
SelleckChem007,SP0141-A,A04,SGX-523,S1112,SW219713-1,10,m,4,1,192886110,359.41,1022150-57-7,c-Met,SGX-523 is a selective Met inhibitor with IC50 of 4 nM; no activity to BRAFV599E; c-Raf; Abl and p38_. Phase 1.,C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2,5.56,http://www.selleckchem.com/products/SGX-523.html,Protein Tyrosine Kinase,,sample
SelleckChem007,SP0141-A,A05,OSI-930,S1220,SW219794-1,10,m,5,1,192939446,443.44,728033-96-3,c-Kit;CSF-1R;VEGFR,OSI-930 is a potent inhibitor of Kit; KDR and CSF-1R with IC50 of 80 nM; 9 nM and 15 nM; respectively; also potent to Flt-1; c-Raf and Lck and low activity against PDGFR_/_; Flt-3 and Abl. Phase 1.,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(NC4=CC=C(C=C4)OC(F)(F)F)=O,200,http://www.selleckchem.com/products/OSI-930.html,Protein Tyrosine Kinase,,sample
SelleckChem007,SP0141-A,A06,Epothilone B (EPO906; Patupilone),S1364,SW220268-1,10,m,6,1,179617452,507.68,152044-54-7,Microtubule Associated,Epothilone B is a Taxol-like microtubule-stabilizing agent with EC0.01 of 1.8 _M. Phase 2.,O1[C@@]2(CCC[C@@H]([C@@H]([C@H](C(C([C@@H](CC(O[C@H](C[C@H]12)/C(C)=C/C3N=C(SC=3)C)=O)O)(C)C)=O)C)O)C)C,200,http://www.selleckchem.com/products/Epothilone-B.html,Cytoskeletal Signaling,,sample
SelleckChem007,SP0141-A,A07,Dyphylline,S1504,SW196679-3,10,m,7,1,192958448,254.24,479-18-5,PDE,Dyphylline is a xanthine derivative with bronchodilator and vasodilator effects.,N1(C(N(C2=C(C1=O)N(C=N2)CC(CO)O)C)=O)C,200,http://www.selleckchem.com/products/Dyphylline(Dilor).html,Metabolism,,sample
SelleckChem007,SP0141-A,A08,Zolmitriptan ,S1649,SW197762-2,10,m,8,1,192948623,287.36,139264-17-8,5-HT Receptor,Zolmitriptan(Zomig) is a selective serotonin receptor agonist.,C1=C(C=CC2=C1C(=CN2)CCN(C)C)C[C@@H]3NC(OC3)=O,201,http://www.selleckchem.com/products/Zolmitriptan(Zomig).html,Neuronal Signaling,,sample
SelleckChem007,SP0141-A,A09,Simvastatin ,S1792,SW219600-1,10,m,9,1,192884407,418.57,79902-63-9,Others,Simvastatin is a competitive inhibitor of HMG-CoA reductase with Ki of 0.1-0.2 nM .,C1[C@H](C=C2[C@]([C@@H]1OC(=O)C(CC)(C)C)([C@@H]([C@H](C=C2)C)CC[C@]3(OC(C[C@@H](C3)O)=O)[H])[H])C,200,http://www.selleckchem.com/products/Simvastatin(Zocor).html,Others,,sample
SelleckChem007,SP0141-A,A10,Nicorandil,S1971,SW197675-3,10,m,10,1,192901483,211.17,65141-46-0,Potassium Channel,Nicorandil is potassium channel activator.,C1=CN=CC(=C1)C(=O)NCCO[N+]([O-])=O,198,http://www.selleckchem.com/products/Nicorandil(Ikorel).html,Transmembrane Transporters,,sample
