384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,Library,sample_type
SelleckChem003 1to5,SP0143-A,A01,,Bx,Bx-A01,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,A02,,Bx,Bx-A02,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,A03,Xylose,S2124,SW220286-1,2,m,3,1,25,194469216,150.13,25990-60-7,free base,Others,Xylose is a sugar first isolated from wood. ,OC[C@H]([C@@H]([C@H](C=O)O)O)O,199,http://www.selleckchem.com/products/Xylose.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A04,Berberine HCl,S2271,SW196403-2,2,m,4,1,25,192949889,371.82,633-65-8,hydrochloride,Others,Berberine Hydrochloride is a quaternary ammonium salt from the group of isoquinoline alkaloids.,C1(=C(C(=C2C(=C1)C=C3[N+](=C2)CCC4=C3C=C5C(=C4)OCO5)OC)OC).[Cl-],199,http://www.selleckchem.com/products/Berberine-Hydrochloride.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A05,GSK1292263,S2149,SW219532-1,2,m,5,1,25,179711800,456.56,1032823-75-8,free base,GPR,GSK1292263 is a novel GPR119 agonist; showing potential for the treatment of type 2 diabetes. Phase 2.,C1(C=CC(=CN=1)OCC2CCN(CC2)C3=NC(=NO3)C(C)C)C4C=CC(=CC=4)S(=O)(=O)C,74,http://www.selleckchem.com/products/GSK1292263.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A06,Cyclosporin A,S2286,SW220140-1,2,m,6,1,25,179678184,1202.61,59865-13-3,free base,Others,Cyclosporin A is an immunosuppressive agent; binds to the cyclophilin and then inhibits calcineurin with IC50 of 7 nM; widely used in organ transplantation to prevent rejection. Phase 4.,N1(C(=O)[C@@H](N(C(=O)[C@H](NC([C@@H](NC([C@@H](N(C([C@@H](NC([C@@H](N(C(CN(C([C@H](CC)NC(=O)[C@H](N(C)C([C@@H](C(C)C)N(C(=O)[C@H]1CC(C)C)C)=O)[C@H](O)[C@@H](C/C=C/C)C)=O)C)=O)C)CC(C)C)=O)C(C)C)=O)C)CC(C)C)=O)C)=O)C)C)CC(C)C)C,200,http://www.selleckchem.com/products/Cyclosporin-A(Cyclosporine-A).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A07,Almorexant HCl,S2160,SW219346-1,2,m,7,1,25,192882551,549.02,913358-93-7,HCl,OX Receptor,Almorexant HCl is an orally active; dual orexin receptor antagonist with IC50 of 6.6 nM and 3.4 nM for OX1 and OX2 receptor; respectively. Phase 3.,C1(=CC(=CC=C1)[C@@H](C(NC)=O)N2CCC3=C([C@@H]2CCC4=CC=C(C=C4)C(F)(F)F)C=C(C(=C3)OC)OC).Cl,72,www.selleckchem.com/products/almorexant-hcl.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A08,Formononetin,S2299,SW219915-1,2,m,8,1,25,192949836,268.26,485-72-3,free base,Others,Formononetin is a phytoestrogen from the root of Astragalus membranaceus and an O-methylated isoflavone. ,C12=C(C=C(C=C1)O)OC=C(C2=O)C3=CC=C(C=C3)OC,201,http://www.selleckchem.com/products/Formononetin(Formononetol).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A09,Dichlorphenamide,S2177,SW197138-3,2,m,9,1,25,192863143,305.16,120-97-8,free base,Others,Dichlorphenamide is a sulfonamide and a carbonic anhydrase inhibitor of the meta-Disulfamoylbenzene class.,C1(=C(C(=CC(=C1)S(N)(=O)=O)S(N)(=O)=O)Cl)Cl,199,http://www.selleckchem.com/products/Dichlorphenamide(Diclofenamide).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A10,Honokiol,S2310,SW197494-3,2,m,10,1,25,192863294,266.334,35354-74-6,free base,MEK;Akt,Honokiol is the active principle of magnolia extract that inhibits Akt-phosphorylation and promotes ERK1/2phosphorylation. Phase 3.,C1(=C(C=C(C=C1)C2=CC(=CC=C2O)CC=C)CC=C)O,198,http://www.selleckchem.com/products/Honokiol.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
