384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y,CAS Number,Catalog No.
SelleckChemKinaseInhibitor01,SP0159,A03,Nintedanib (BIBF 1120),SW218301-2,1,m,3,1,656247-17-5,S1010
SelleckChemKinaseInhibitor01,SP0159,A04,OSI-930,SW219794-1,1,m,4,1,728033-96-3,S1220
SelleckChemKinaseInhibitor01,SP0159,A05,Dasatinib,SW208076-5,1,m,5,1,302962-49-8,S1021
SelleckChemKinaseInhibitor01,SP0159,A06,Amuvatinib (MP-470),SW219808-1,1,m,6,1,850879-09-3,S1244
SelleckChemKinaseInhibitor01,SP0159,A07,Motesanib Diphosphate (AMG-706),SW218300-2,1,m,7,1,857876-30-3,S1032
SelleckChemKinaseInhibitor01,SP0159,A08,Vemurafenib (PLX4032; RG7204),SW218095-2,1,m,8,1,918504-65-1,S1267
SelleckChemKinaseInhibitor01,SP0159,A09,Masitinib (AB1010),SW219247-1,1,m,9,1,790299-79-5,S1064
SelleckChemKinaseInhibitor01,SP0159,A10,GSK1059615,SW219415-1,1,m,10,1,958852-01-2,S1360
SelleckChemKinaseInhibitor01,SP0159,A11,PF-04217903,SW218126-2,1,m,11,1,956905-27-4,S1094
SelleckChemKinaseInhibitor01,SP0159,A12,TG100-115,SW219297-1,1,m,12,1,677297-51-7,S1352
SelleckChemKinaseInhibitor01,SP0159,A13,Afatinib (BIBW2992),SW219248-1,1,m,13,1,439081-18-2,S1011
SelleckChemKinaseInhibitor01,SP0159,A14,MGCD-265,SW219463-1,1,m,14,1,875337-44-3,S1361
SelleckChemKinaseInhibitor01,SP0159,A15,Ridaforolimus (Deforolimus; MK-8669),SW222224-1,1,m,15,1,572924-54-0,S1022
SelleckChemKinaseInhibitor01,SP0159,A16,Rigosertib (ON-01910),SW219255-1,1,m,16,1,1225497-78-8,S1362
SelleckChemKinaseInhibitor01,SP0159,A17,Nilotinib (AMN-107),SW218083-2,1,m,17,1,641571-10-0,S1033
SelleckChemKinaseInhibitor01,SP0159,A18,Ruxolitinib (INCB018424),SW222338-1,1,m,18,1,941678-49-5,S1378
SelleckChemKinaseInhibitor01,SP0159,A19,Sunitinib Malate,SW219407-1,1,m,19,1,341031-54-7,S1042
SelleckChemKinaseInhibitor01,SP0159,A20,TSU-68 (SU6668; Orantinib),SW219790-1,1,m,20,1,252916-29-3,S1470
SelleckChemKinaseInhibitor01,SP0159,A21,GDC-0941,SW202556-4,1,m,21,1,957054-30-7,S1065
SelleckChemKinaseInhibitor01,SP0159,A22,Ponatinib (AP24534),SW218091-2,1,m,22,1,943319-70-8,S1490
SelleckChemKinaseInhibitor01,SP0159,B03,Nintedanib (BIBF 1120),SW218301-2,0.1,m,3,2,656247-17-5,S1010
SelleckChemKinaseInhibitor01,SP0159,B04,OSI-930,SW219794-1,0.1,m,4,2,728033-96-3,S1220
SelleckChemKinaseInhibitor01,SP0159,B05,Dasatinib,SW208076-5,0.1,m,5,2,302962-49-8,S1021
SelleckChemKinaseInhibitor01,SP0159,B06,Amuvatinib (MP-470),SW219808-1,0.1,m,6,2,850879-09-3,S1244
SelleckChemKinaseInhibitor01,SP0159,B07,Motesanib Diphosphate (AMG-706),SW218300-2,0.1,m,7,2,857876-30-3,S1032
SelleckChemKinaseInhibitor01,SP0159,B08,Vemurafenib (PLX4032; RG7204),SW218095-2,0.1,m,8,2,918504-65-1,S1267
SelleckChemKinaseInhibitor01,SP0159,B09,Masitinib (AB1010),SW219247-1,0.1,m,9,2,790299-79-5,S1064
SelleckChemKinaseInhibitor01,SP0159,B10,GSK1059615,SW219415-1,0.1,m,10,2,958852-01-2,S1360
SelleckChemKinaseInhibitor01,SP0159,B11,PF-04217903,SW218126-2,0.1,m,11,2,956905-27-4,S1094
SelleckChemKinaseInhibitor01,SP0159,B12,TG100-115,SW219297-1,0.1,m,12,2,677297-51-7,S1352
SelleckChemKinaseInhibitor01,SP0159,B13,Afatinib (BIBW2992),SW219248-1,0.1,m,13,2,439081-18-2,S1011
SelleckChemKinaseInhibitor01,SP0159,B14,MGCD-265,SW219463-1,0.1,m,14,2,875337-44-3,S1361
SelleckChemKinaseInhibitor01,SP0159,B15,Ridaforolimus (Deforolimus; MK-8669),SW222224-1,0.1,m,15,2,572924-54-0,S1022
SelleckChemKinaseInhibitor01,SP0159,B16,Rigosertib (ON-01910),SW219255-1,0.1,m,16,2,1225497-78-8,S1362
SelleckChemKinaseInhibitor01,SP0159,B17,Nilotinib (AMN-107),SW218083-2,0.1,m,17,2,641571-10-0,S1033
SelleckChemKinaseInhibitor01,SP0159,B18,Ruxolitinib (INCB018424),SW222338-1,0.1,m,18,2,941678-49-5,S1378
SelleckChemKinaseInhibitor01,SP0159,B19,Sunitinib Malate,SW219407-1,0.1,m,19,2,341031-54-7,S1042
SelleckChemKinaseInhibitor01,SP0159,B20,TSU-68 (SU6668; Orantinib),SW219790-1,0.1,m,20,2,252916-29-3,S1470
SelleckChemKinaseInhibitor01,SP0159,B21,GDC-0941,SW202556-4,0.1,m,21,2,957054-30-7,S1065
SelleckChemKinaseInhibitor01,SP0159,B22,Ponatinib (AP24534),SW218091-2,0.1,m,22,2,943319-70-8,S1490
SelleckChemKinaseInhibitor01,SP0159,C03,Linifanib (ABT-869),SW218116-2,1,m,3,3,796967-16-3,S1003
SelleckChemKinaseInhibitor01,SP0159,C04,Pelitinib (EKB-569),SW219267-1,1,m,4,3,257933-82-7,S1392
SelleckChemKinaseInhibitor01,SP0159,C05,Tandutinib (MLN518),SW218125-2,1,m,5,3,387867-13-2,S1043
SelleckChemKinaseInhibitor01,SP0159,C06,AZD6482,SW219187-1,1,m,6,3,1173900-33-8,S1462
SelleckChemKinaseInhibitor01,SP0159,C07,Gefitinib (ZD1839),SW199108-4,1,m,7,3,184475-35-2,S1025
SelleckChemKinaseInhibitor01,SP0159,C08,Bafetinib (INNO-406),SW220217-1,1,m,8,3,859212-16-1,S1369
SelleckChemKinaseInhibitor01,SP0159,C09,Temsirolimus (CCI-779; NSC 683864),SW219138-1,1,m,9,3,162635-04-3,S1044
SelleckChemKinaseInhibitor01,SP0159,C10,Pimasertib (AS-703026),SW219691-1,1,m,10,3,1236699-92-5,S1475
SelleckChemKinaseInhibitor01,SP0159,C11,Enzastaurin (LY317615),SW219797-1,1,m,11,3,170364-57-5,S1055
SelleckChemKinaseInhibitor01,SP0159,C12,HMN-214,SW219842-1,1,m,12,3,173529-46-9,S1485
SelleckChemKinaseInhibitor01,SP0159,C13,Refametinib (RDEA119; Bay 86-9766),SW218136-2,1,m,13,3,923032-37-5,S1089
