Plate Map,Well,MoleculeID,Concentration,unit
SP10037,A03,PC-1032,8,m
SP10037,A05,PC-1033,42,m
SP10037,A07,PC-1034,8,m
SP10037,A09,PC-1030,83,m
SP10037,A11,PC-1029,19,m
SP10037,A13,PC-1014,23,m
SP10037,A15,PC-1027,19,m
SP10037,A17,PC-1016,33,m
SP10037,A19,PC-1028,12,m
SP10037,A21,PC-806,8,m
SP10037,C03,PC-812,17,m
SP10037,C05,PC-816,42,m
SP10037,C07,PC-817,42,m
SP10037,C09,PC-819,17,m
SP10037,C11,PC-820,25,m
SP10037,C13,PC-863,42,m
SP10037,C15,PC-889,25,m
SP10037,C17,PC-891,42,m
SP10037,C19,PC-963,42,m
SP10037,C21,PC-964,42,m
SP10037,E03,PC-968,17,m
SP10037,E05,PC-969,25,m
SP10037,E07,PC-970,42,m
SP10037,E09,PC-971,17,m
SP10037,E11,PC-972,25,m
SP10037,E13,PC-975,17,m
SP10037,E15,PC-978,8,m
SP10037,E17,PC-979,25,m
SP10037,E19,PC-980,17,m
SP10037,E21,PC-982,25,m
SP10037,G03,PC-985,42,m
SP10037,G05,PC-998,17,m
SP10037,G07,PC-1000,33,m
SP10037,G09,PC-1001,8,m
SP10037,G11,PC-1002,8,m
SP10037,G13,PC-1003,8,m
SP10037,G15,PC-1009,42,m
SP10037,G17,PC-1010,8,m
SP10037,G19,PC-1011,8,m
SP10037,G21,PC-1012,42,m
SP10037,I03,PC-1026,13,m
SP10037,I05,PC-559,42,m
SP10037,I07,PC-614,42,m
SP10037,I09,PC-624,42,m
SP10037,I11,PC-629,42,m
SP10037,I13,PC-630,42,m
SP10037,I15,PC-684,42,m
SP10037,I17,PC-686,42,m
SP10037,I19,PC-688,42,m
SP10037,I21,PC-693,42,m
SP10037,K03,PC-705,42,m
SP10037,K05,PC-706,42,m
SP10037,K07,PC-717,42,m
SP10037,K09,PC-723,42,m
SP10037,K11,PC-733,42,m
SP10037,K13,PC-734,42,m
SP10037,K15,PC-736,42,m
SP10037,K17,PC-737,42,m
SP10037,K19,PC-760,42,m
SP10037,K21,PC-765,42,m
SP10037,L04,PC-807,25,m
SP10037,L06,PC-966,25,m
SP10037,L08,PC-983,42,m
SP10037,L10,PC-1013,42,m
SP10037,L12,PC-703,42,m
SP10037,L14,PC-800,42,m
SP10037,L16,PC-926,25,m
SP10037,M03,PC-812,42,m
SP10037,M05,PC-834,42,m
SP10037,M07,PC-841,42,m
SP10037,M09,PC-843,42,m
SP10037,M11,PC-844,42,m
SP10037,M13,PC-855,42,m
SP10037,M15,PC-924,42,m
SP10037,M17,PC-929,42,m
SP10037,M19,PC-854,42,m
SP10037,M21,PC-926,33,m
SP10037,N04,PC-1031,42,m
SP10037,N06,PC-811,42,m
SP10037,N08,PC-967,42,m
SP10037,N10,PC-984,25,m
SP10037,N12,PC-1017,42,m
SP10037,N14,PC-704,42,m
SP10037,N16,PC-801,42,m
SP10037,N18,PC-905,42,m
SP10037,O03,PC-930,42,m
SP10037,O05,PC-582,17,m
SP10037,O07,PC-973,17,m
SP10037,O09,PC-974,17,m
SP10037,O11,PC-1018,17,m
SP10037,O13,PC-1019,17,m
SP10037,O15,PC-556,42,m
SP10037,O17,PC-944,17,m
SP10037,O19,PC-035,25,m
SP10037,O21,PC-1035
