Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP20066,A01,DMSOA01,DMSOA01
SP20066,A04,1444E,1444E,5,m
SP20066,A06,1462D,1462D,5,m
SP20066,A08,1483D,1483D,5,m
SP20066,A10,1492D,1492D,5,m
SP20066,A12,1496D,1496D,5,m
SP20066,A14,1502D,1502D,5,m
SP20066,A16,1507D,1507D,5,m
SP20066,A18,1507E,1507E,5,m
SP20066,A20,1510D,1510D,5,m
SP20066,A22,1511D,1511D,5,m
SP20066,A23,DMSOA23,DMSOA23
SP20066,B02,DMSOB02,DMSOB02
SP20066,B04,1444E,1444E,1,m
SP20066,B06,1462D,1462D,1,m
SP20066,B08,1483D,1483D,1,m
SP20066,B10,1492D,1492D,1,m
SP20066,B12,1496D,1496D,1,m
SP20066,B14,1502D,1502D,1,m
SP20066,B16,1507D,1507D,1,m
SP20066,B18,1507E,1507E,1,m
SP20066,B20,1510D,1510D,1,m
SP20066,B22,1511D,1511D,1,m
SP20066,B24,DMSOB24,DMSOB24
SP20066,C01,DMSOC01,DMSOC01
SP20066,C04,1444E,1444E,0.2,m
SP20066,C06,1462D,1462D,0.2,m
SP20066,C08,1483D,1483D,0.2,m
SP20066,C10,1492D,1492D,0.2,m
SP20066,C12,1496D,1496D,0.2,m
SP20066,C14,1502D,1502D,0.2,m
SP20066,C16,1507D,1507D,0.2,m
SP20066,C18,1507E,1507E,0.2,m
SP20066,C20,1510D,1510D,0.2,m
SP20066,C22,1511D,1511D,0.2,m
SP20066,C23,DMSOC23,DMSOC23
SP20066,D02,DMSOD02,DMSOD02
SP20066,D04,1444E,1444E,0.04,m
SP20066,D06,1462D,1462D,0.04,m
SP20066,D08,1483D,1483D,0.04,m
SP20066,D10,1492D,1492D,0.04,m
SP20066,D12,1496D,1496D,0.04,m
SP20066,D14,1502D,1502D,0.04,m
SP20066,D16,1507D,1507D,0.04,m
SP20066,D18,1507E,1507E,0.04,m
SP20066,D20,1510D,1510D,0.04,m
SP20066,D22,1511D,1511D,0.04,m
SP20066,D24,DMSOD24,DMSOD24
SP20066,E01,DMSOE01,DMSOE01
SP20066,E04,1444E,1444E,0.008,m
SP20066,E06,1462D,1462D,0.008,m
SP20066,E08,1483D,1483D,0.008,m
SP20066,E10,1492D,1492D,0.008,m
SP20066,E12,1496D,1496D,0.008,m
SP20066,E14,1502D,1502D,0.008,m
SP20066,E16,1507D,1507D,0.008,m
SP20066,E18,1507E,1507E,0.008,m
SP20066,E20,1510D,1510D,0.008,m
SP20066,E22,1511D,1511D,0.008,m
SP20066,E23,DMSOE23,DMSOE23
SP20066,F02,DMSOF02,DMSOF02
SP20066,F04,1444E,1444E,0.0016,m
SP20066,F06,1462D,1462D,0.0016,m
SP20066,F08,1483D,1483D,0.0016,m
SP20066,F10,1492D,1492D,0.0016,m
SP20066,F12,1496D,1496D,0.0016,m
SP20066,F14,1502D,1502D,0.0016,m
SP20066,F16,1507D,1507D,0.0016,m
SP20066,F18,1507E,1507E,0.0016,m
SP20066,F20,1510D,1510D,0.0016,m
SP20066,F22,1511D,1511D,0.0016,m
SP20066,F24,DMSOF24,DMSOF24
SP20066,G01,DMSOG01,DMSOG01
SP20066,G04,1444E,1444E,0.00032,m
SP20066,G06,1462D,1462D,0.00032,m
SP20066,G08,1483D,1483D,0.00032,m
