384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,A03,BL-I-130,BL-I-130,125,m
BL_I_157_2ndGen,SP20231,A04,BL-I-131,BL-I-131,125,m
BL_I_157_2ndGen,SP20231,A05,BL-I-132,BL-I-132,125,m
BL_I_157_2ndGen,SP20231,A06,BL-I-152,BL-I-152,62.5,m
BL_I_157_2ndGen,SP20231,A07,BL-I-155,BL-I-155,125,m
BL_I_157_2ndGen,SP20231,A08,BL-I-108,BL-I-108,125,m
BL_I_157_2ndGen,SP20231,A09,BL-I-136,BL-I-136,125,m
BL_I_157_2ndGen,SP20231,A10,BL-I-142,BL-I-142,125,m
BL_I_157_2ndGen,SP20231,A11,BL-I-151,BL-I-151,125,m
BL_I_157_2ndGen,SP20231,A12,BL-I-148,BL-I-148,125,m
BL_I_157_2ndGen,SP20231,A13,BL_I_171,BL_I_171,9.5625,m
BL_I_157_2ndGen,SP20231,A14,BL_I_162,BL_I_162,0.000953674,m
BL_I_157_2ndGen,SP20231,A15,BL_I_161,BL_I_161,0.000953674,m
BL_I_157_2ndGen,SP20231,A16,BL_I_160,BL_I_160,0.001907349,m
BL_I_157_2ndGen,SP20231,A17,BL-I-156-483,BL-I-156-483,0.003814697,m
BL_I_157_2ndGen,SP20231,A18,BL-I-156-373,BL-I-156-373,0.003814697,m
BL_I_157_2ndGen,SP20231,A19,BL-I-153,BL-I-153,0.003814697,m
BL_I_157_2ndGen,SP20231,A20,BL-I-145,BL-I-145,0.003814697,m
BL_I_157_2ndGen,SP20231,A21,BL-I-135,BL-I-135,0.003814697,m
BL_I_157_2ndGen,SP20231,A22,BL-I-150,BL-I-150,0.003814697,m
BL_I_157_2ndGen,SP20231,B03,BL-I-130,BL-I-130,62.5,m
BL_I_157_2ndGen,SP20231,B04,BL-I-131,BL-I-131,62.5,m
BL_I_157_2ndGen,SP20231,B05,BL-I-132,BL-I-132,62.5,m
BL_I_157_2ndGen,SP20231,B06,BL-I-152,BL-I-152,31.25,m
BL_I_157_2ndGen,SP20231,B07,BL-I-155,BL-I-155,62.5,m
BL_I_157_2ndGen,SP20231,B08,BL-I-108,BL-I-108,62.5,m
BL_I_157_2ndGen,SP20231,B09,BL-I-136,BL-I-136,62.5,m
BL_I_157_2ndGen,SP20231,B10,BL-I-142,BL-I-142,62.5,m
BL_I_157_2ndGen,SP20231,B11,BL-I-151,BL-I-151,62.5,m
BL_I_157_2ndGen,SP20231,B12,BL-I-148,BL-I-148,62.5,m
BL_I_157_2ndGen,SP20231,B13,BL_I_171,BL_I_171,4.78125,m
BL_I_157_2ndGen,SP20231,B14,BL_I_162,BL_I_162,0.001907349,m
BL_I_157_2ndGen,SP20231,B15,BL_I_161,BL_I_161,0.001907349,m
BL_I_157_2ndGen,SP20231,B16,BL_I_160,BL_I_160,0.003814697,m
BL_I_157_2ndGen,SP20231,B17,BL-I-156-483,BL-I-156-483,0.007629395,m
BL_I_157_2ndGen,SP20231,B18,BL-I-156-373,BL-I-156-373,0.007629395,m
BL_I_157_2ndGen,SP20231,B19,BL-I-153,BL-I-153,0.007629395,m
BL_I_157_2ndGen,SP20231,B20,BL-I-145,BL-I-145,0.007629395,m
BL_I_157_2ndGen,SP20231,B21,BL-I-135,BL-I-135,0.007629395,m
BL_I_157_2ndGen,SP20231,B22,BL-I-150,BL-I-150,0.007629395,m
BL_I_157_2ndGen,SP20231,C03,BL-I-130,BL-I-130,31.25,m
BL_I_157_2ndGen,SP20231,C04,BL-I-131,BL-I-131,31.25,m
BL_I_157_2ndGen,SP20231,C05,BL-I-132,BL-I-132,31.25,m
BL_I_157_2ndGen,SP20231,C06,BL-I-152,BL-I-152,15.625,m
BL_I_157_2ndGen,SP20231,C07,BL-I-155,BL-I-155,31.25,m
BL_I_157_2ndGen,SP20231,C08,BL-I-108,BL-I-108,31.25,m
BL_I_157_2ndGen,SP20231,C09,BL-I-136,BL-I-136,31.25,m
BL_I_157_2ndGen,SP20231,C10,BL-I-142,BL-I-142,31.25,m
