96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
1)C1748-B-03,1,A02,Pfizer_PL_Plate1,SP20240,A03,C1748-B-03_03,C1748-B-03_03,-1,m,3,1
2)C1748-B-18,2,A02,Pfizer_PL_Plate1,SP20240,A04,C1748-B-18_03,C1748-B-18_03,-1,m,4,1
1)C1748-B-03,1,A03,Pfizer_PL_Plate1,SP20240,A05,C1748-B-03_04,C1748-B-03_04,-1,m,5,1
2)C1748-B-18,2,A03,Pfizer_PL_Plate1,SP20240,A06,C1748-B-18_04,C1748-B-18_04,-1,m,6,1
1)C1748-B-03,1,A04,Pfizer_PL_Plate1,SP20240,A07,C1748-B-03_05,C1748-B-03_05,-1,m,7,1
2)C1748-B-18,2,A04,Pfizer_PL_Plate1,SP20240,A08,C1748-B-18_05,C1748-B-18_05,-1,m,8,1
1)C1748-B-03,1,A05,Pfizer_PL_Plate1,SP20240,A09,C1748-B-03_06,C1748-B-03_06,-1,m,9,1
2)C1748-B-18,2,A05,Pfizer_PL_Plate1,SP20240,A10,C1748-B-18_06,C1748-B-18_06,-1,m,10,1
1)C1748-B-03,1,A06,Pfizer_PL_Plate1,SP20240,A11,C1748-B-03_07,C1748-B-03_07,-1,m,11,1
2)C1748-B-18,2,A06,Pfizer_PL_Plate1,SP20240,A12,C1748-B-18_07,C1748-B-18_07,-1,m,12,1
1)C1748-B-03,1,A07,Pfizer_PL_Plate1,SP20240,A13,C1748-B-03_08,C1748-B-03_08,-1,m,13,1
2)C1748-B-18,2,A07,Pfizer_PL_Plate1,SP20240,A14,C1748-B-18_08,C1748-B-18_08,-1,m,14,1
1)C1748-B-03,1,A08,Pfizer_PL_Plate1,SP20240,A15,C1748-B-03_09,C1748-B-03_09,-1,m,15,1
2)C1748-B-18,2,A08,Pfizer_PL_Plate1,SP20240,A16,C1748-B-18_09,C1748-B-18_09,-1,m,16,1
1)C1748-B-03,1,A09,Pfizer_PL_Plate1,SP20240,A17,C1748-B-03_10,C1748-B-03_10,-1,m,17,1
2)C1748-B-18,2,A09,Pfizer_PL_Plate1,SP20240,A18,C1748-B-18_10,C1748-B-18_10,-1,m,18,1
1)C1748-B-03,1,A10,Pfizer_PL_Plate1,SP20240,A19,C1748-B-03_11,C1748-B-03_11,-1,m,19,1
2)C1748-B-18,2,A10,Pfizer_PL_Plate1,SP20240,A20,C1748-B-18_11,C1748-B-18_11,-1,m,20,1
1)C1748-B-03,1,A11,Pfizer_PL_Plate1,SP20240,A21,C1748-B-03_12,C1748-B-03_12,-1,m,21,1
2)C1748-B-18,2,A11,Pfizer_PL_Plate1,SP20240,A22,C1748-B-18_12,C1748-B-18_12,-1,m,22,1
3)C1748-B-48,3,A02,Pfizer_PL_Plate1,SP20240,B03,C1748-B-48_03,C1748-B-48_03,-1,m,3,2
4)C1748-B-49,4,A02,Pfizer_PL_Plate1,SP20240,B04,C1748-B-49_03,C1748-B-49_03,-1,m,4,2
3)C1748-B-48,3,A03,Pfizer_PL_Plate1,SP20240,B05,C1748-B-48_04,C1748-B-48_04,-1,m,5,2
4)C1748-B-49,4,A03,Pfizer_PL_Plate1,SP20240,B06,C1748-B-49_04,C1748-B-49_04,-1,m,6,2
3)C1748-B-48,3,A04,Pfizer_PL_Plate1,SP20240,B07,C1748-B-48_05,C1748-B-48_05,-1,m,7,2
4)C1748-B-49,4,A04,Pfizer_PL_Plate1,SP20240,B08,C1748-B-49_05,C1748-B-49_05,-1,m,8,2
3)C1748-B-48,3,A05,Pfizer_PL_Plate1,SP20240,B09,C1748-B-48_06,C1748-B-48_06,-1,m,9,2
4)C1748-B-49,4,A05,Pfizer_PL_Plate1,SP20240,B10,C1748-B-49_06,C1748-B-49_06,-1,m,10,2
3)C1748-B-48,3,A06,Pfizer_PL_Plate1,SP20240,B11,C1748-B-48_07,C1748-B-48_07,-1,m,11,2
4)C1748-B-49,4,A06,Pfizer_PL_Plate1,SP20240,B12,C1748-B-49_07,C1748-B-49_07,-1,m,12,2
