384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,well_x,well_y
SFU001,SP20258,A03,SYC3-134,SYC3-134,20,m,3,1
SFU001,SP20258,B03,SYC3-134,SYC3-134,10,m,3,2
SFU001,SP20258,C03,SYC3-134,SYC3-134,5,m,3,3
SFU001,SP20258,D03,SYC3-134,SYC3-134,2.5,m,3,4
SFU001,SP20258,E03,SYC3-134,SYC3-134,1.25,m,3,5
SFU001,SP20258,F03,SYC3-134,SYC3-134,0.625,m,3,6
SFU001,SP20258,G03,SYC3-134,SYC3-134,0.3125,m,3,7
SFU001,SP20258,H03,SYC3-134,SYC3-134,0.15625,m,3,8
SFU001,SP20258,I03,SYC3-134,SYC3-134,0.078125,m,3,9
SFU001,SP20258,J03,SYC3-134,SYC3-134,0.0390625,m,3,10
SFU001,SP20258,K03,SYC3-134,SYC3-134,0.01953125,m,3,11
SFU001,SP20258,L03,SYC3-134,SYC3-134,0.009765625,m,3,12
SFU001,SP20258,M03,SYC3-134,SYC3-134,0.004882813,m,3,13
SFU001,SP20258,N03,SYC3-134,SYC3-134,0.002441406,m,3,14
SFU001,SP20258,O03,SYC3-134,SYC3-134,0.001220703,m,3,15
SFU001,SP20258,P03,SYC3-134,SYC3-134,0.000610352,m,3,16
SFU001,SP20258,A04,SYC4-010,SYC4-010,20,m,4,1
SFU001,SP20258,B04,SYC4-010,SYC4-010,10,m,4,2
SFU001,SP20258,C04,SYC4-010,SYC4-010,5,m,4,3
SFU001,SP20258,D04,SYC4-010,SYC4-010,2.5,m,4,4
SFU001,SP20258,E04,SYC4-010,SYC4-010,1.25,m,4,5
SFU001,SP20258,F04,SYC4-010,SYC4-010,0.625,m,4,6
SFU001,SP20258,G04,SYC4-010,SYC4-010,0.3125,m,4,7
SFU001,SP20258,H04,SYC4-010,SYC4-010,0.15625,m,4,8
SFU001,SP20258,I04,SYC4-010,SYC4-010,0.078125,m,4,9
SFU001,SP20258,J04,SYC4-010,SYC4-010,0.0390625,m,4,10
SFU001,SP20258,K04,SYC4-010,SYC4-010,0.01953125,m,4,11
SFU001,SP20258,L04,SYC4-010,SYC4-010,0.009765625,m,4,12
SFU001,SP20258,M04,SYC4-010,SYC4-010,0.004882813,m,4,13
SFU001,SP20258,N04,SYC4-010,SYC4-010,0.002441406,m,4,14
SFU001,SP20258,O04,SYC4-010,SYC4-010,0.001220703,m,4,15
SFU001,SP20258,P04,SYC4-010,SYC4-010,0.000610352,m,4,16
SFU001,SP20258,A05,SYC4-071A,SYC4-071A,20,m,5,1
SFU001,SP20258,B05,SYC4-071A,SYC4-071A,10,m,5,2
SFU001,SP20258,C05,SYC4-071A,SYC4-071A,5,m,5,3
SFU001,SP20258,D05,SYC4-071A,SYC4-071A,2.5,m,5,4
SFU001,SP20258,E05,SYC4-071A,SYC4-071A,1.25,m,5,5
SFU001,SP20258,F05,SYC4-071A,SYC4-071A,0.625,m,5,6
SFU001,SP20258,G05,SYC4-071A,SYC4-071A,0.3125,m,5,7
SFU001,SP20258,H05,SYC4-071A,SYC4-071A,0.15625,m,5,8
SFU001,SP20258,I05,SYC4-071A,SYC4-071A,0.078125,m,5,9
