96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Biosortia_Musk2014.09.A_10 ,1,A02,Biosortia_Musk2014.09.A_10 ,SP20262,A03,C-2080-Z-11,C-2080-Z-11,-1,m,3,1
HHDilMay2015,2,A02,HHDilMay2015,SP20262,A04,1867F16-10.1_700,1867F16-10.1_700,-1,m,4,1
Biosortia_Musk2014.09.A_10 ,1,A03,Biosortia_Musk2014.09.A_10 ,SP20262,A05,C-2080-D-08,C-2080-D-08,-1,m,5,1
HHDilMay2015,2,A03,HHDilMay2015,SP20262,A06,1867F16-10.3_400,1867F16-10.3_400,-1,m,6,1
Biosortia_Musk2014.09.A_10 ,1,A04,Biosortia_Musk2014.09.A_10 ,SP20262,A07,C-2080-D-16,C-2080-D-16,-1,m,7,1
HHDilMay2015,2,A04,HHDilMay2015,SP20262,A08,1867F16-10.5_400,1867F16-10.5_400,-1,m,8,1
Biosortia_Musk2014.09.A_10 ,1,A05,Biosortia_Musk2014.09.A_10 ,SP20262,A09,C-2080-D-24,C-2080-D-24,-1,m,9,1
HHDilMay2015,2,A05,HHDilMay2015,SP20262,A10,1867F16-10-9700,1867F16-10-9700,-1,m,10,1
Biosortia_Musk2014.09.A_10 ,1,A06,Biosortia_Musk2014.09.A_10 ,SP20262,A11,C-2080-D-32,C-2080-D-32,-1,m,11,1
HHDilMay2015,2,A06,HHDilMay2015,SP20262,A12,1867F16-8-1_1,1867F16-8-1_1,-1,m,12,1
Biosortia_Musk2014.09.A_10 ,1,A07,Biosortia_Musk2014.09.A_10 ,SP20262,A13,C-2080-D-40,C-2080-D-40,-1,m,13,1
HHDilMay2015,2,A07,HHDilMay2015,SP20262,A14,1867F16-8-3_1,1867F16-8-3_1,-1,m,14,1
Biosortia_Musk2014.09.A_10 ,1,A08,Biosortia_Musk2014.09.A_10 ,SP20262,A15,C-2080-D-48,C-2080-D-48,-1,m,15,1
HHDilMay2015,2,A08,HHDilMay2015,SP20262,A16,1867F16-8-6_1,1867F16-8-6_1,-1,m,16,1
Biosortia_Musk2014.09.A_10 ,1,A09,Biosortia_Musk2014.09.A_10 ,SP20262,A17,C-2080-D-56,C-2080-D-56,-1,m,17,1
HHDilMay2015,2,A09,HHDilMay2015,SP20262,A18,1867F16-8-9_150,1867F16-8-9_150,-1,m,18,1
Biosortia_Musk2014.09.A_10 ,1,A10,Biosortia_Musk2014.09.A_10 ,SP20262,A19,C-2080-D-65_66,C-2080-D-65_66,-1,m,19,1
HHDilMay2015,2,A10,HHDilMay2015,SP20262,A20,1867F16-9-1_1000,1867F16-9-1_1000,-1,m,20,1
Biosortia_Musk2014.09.A_10 ,1,A11,Biosortia_Musk2014.09.A_10 ,SP20262,A21,C-2080-Z-07A,C-2080-Z-07A,-1,m,21,1
HHDilMay2015,2,A11,HHDilMay2015,SP20262,A22,1867F16-9-3_200,1867F16-9-3_200,-1,m,22,1
Biosortia_Musk2014.09.B_10,3,A02,Biosortia_Musk2014.09.B_10,SP20262,B03,C-2080-Z-09,C-2080-Z-09,-1,m,3,2
