384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
HHDilJune2015,SP20263,A03,1867F16-9-2,1867F16-9-2,300,m,3,1
HHDilJune2015,SP20263,A04,1867F16-9-6,1867F16-9-6,500,m,4,1
HHDilJune2015,SP20263,A05,1867F16-9-5,1867F16-9-5,900,m,5,1
HHDilJune2015,SP20263,A06,1867F16-8-8,1867F16-8-8,600,m,6,1
HHDilJune2015,SP20263,A07,1867F16-10-7,1867F16-10-7,800,m,7,1
HHDilJune2015,SP20263,A08,1867F16-5-3-1,1867F16-5-3-1,1,m,8,1
HHDilJune2015,SP20263,A09,1867F16-8+9+10R,1867F16-8+9+10R,560,m,9,1
HHDilJune2015,SP20263,A10,1867F12/13-10-1-1,1867F12/13-10-1-1,800,m,10,1
HHDilJune2015,SP20263,A11,1867F12/13-10-2-1,1867F12/13-10-2-1,1600,m,11,1
HHDilJune2015,SP20263,A12,186716-8-5,186716-8-5,550,m,12,1
HHDilJune2015,SP20263,A13,1949G5-1,1949G5-1,1,m,13,1
HHDilJune2015,SP20263,A14,1949D63-1,1949D63-1,1200,m,14,1
HHDilJune2015,SP20263,A15,1949D63-3,1949D63-3,500,m,15,1
HHDilJune2015,SP20263,A16,1949D63-6,1949D63-6,2800,m,16,1
HHDilJune2015,SP20263,A17,E3-1,E3-1,1000,m,17,1
HHDilJune2015,SP20263,A18,E3-3,E3-3,1000,m,18,1
HHDilJune2015,SP20263,A19,E3-4,E3-4,1000,m,19,1
HHDilJune2015,SP20263,A20,E3-6,E3-6,1000,m,20,1
HHDilJune2015,SP20263,A21,E3-7-1,E3-7-1,1000,m,21,1
HHDilJune2015,SP20263,A22,E3-9,E3-9,1000,m,22,1
HHDilJune2015,SP20263,B03,1867F16-9-2,1867F16-9-2,150,m,3,2
HHDilJune2015,SP20263,B04,1867F16-9-6,1867F16-9-6,250,m,4,2
HHDilJune2015,SP20263,B05,1867F16-9-5,1867F16-9-5,450,m,5,2
HHDilJune2015,SP20263,B06,1867F16-8-8,1867F16-8-8,300,m,6,2
HHDilJune2015,SP20263,B07,1867F16-10-7,1867F16-10-7,400,m,7,2
HHDilJune2015,SP20263,B08,1867F16-5-3-1,1867F16-5-3-1,0.5,m,8,2
HHDilJune2015,SP20263,B09,1867F16-8+9+10R,1867F16-8+9+10R,280,m,9,2
HHDilJune2015,SP20263,B10,1867F12/13-10-1-1,1867F12/13-10-1-1,400,m,10,2
HHDilJune2015,SP20263,B11,1867F12/13-10-2-1,1867F12/13-10-2-1,800,m,11,2
HHDilJune2015,SP20263,B12,186716-8-5,186716-8-5,275,m,12,2
HHDilJune2015,SP20263,B13,1949G5-1,1949G5-1,0.5,m,13,2
HHDilJune2015,SP20263,B14,1949D63-1,1949D63-1,600,m,14,2
HHDilJune2015,SP20263,B15,1949D63-3,1949D63-3,250,m,15,2
HHDilJune2015,SP20263,B16,1949D63-6,1949D63-6,1400,m,16,2
HHDilJune2015,SP20263,B17,E3-1,E3-1,500,m,17,2
HHDilJune2015,SP20263,B18,E3-3,E3-3,500,m,18,2
HHDilJune2015,SP20263,B19,E3-4,E3-4,500,m,19,2
HHDilJune2015,SP20263,B20,E3-6,E3-6,500,m,20,2
HHDilJune2015,SP20263,B21,E3-7-1,E3-7-1,500,m,21,2
HHDilJune2015,SP20263,B22,E3-9,E3-9,500,m,22,2
HHDilJune2015,SP20263,C03,1867F16-9-2,1867F16-9-2,75,m,3,3
HHDilJune2015,SP20263,C04,1867F16-9-6,1867F16-9-6,125,m,4,3
HHDilJune2015,SP20263,C05,1867F16-9-5,1867F16-9-5,225,m,5,3
HHDilJune2015,SP20263,C06,1867F16-8-8,1867F16-8-8,150,m,6,3
HHDilJune2015,SP20263,C07,1867F16-10-7,1867F16-10-7,200,m,7,3
HHDilJune2015,SP20263,C08,1867F16-5-3-1,1867F16-5-3-1,0.25,m,8,3
HHDilJune2015,SP20263,C09,1867F16-8+9+10R,1867F16-8+9+10R,140,m,9,3
HHDilJune2015,SP20263,C10,1867F12/13-10-1-1,1867F12/13-10-1-1,200,m,10,3
HHDilJune2015,SP20263,C11,1867F12/13-10-2-1,1867F12/13-10-2-1,400,m,11,3
HHDilJune2015,SP20263,C12,186716-8-5,186716-8-5,137.5,m,12,3
HHDilJune2015,SP20263,C13,1949G5-1,1949G5-1,0.25,m,13,3
HHDilJune2015,SP20263,C14,1949D63-1,1949D63-1,300,m,14,3
HHDilJune2015,SP20263,C15,1949D63-3,1949D63-3,125,m,15,3
HHDilJune2015,SP20263,C16,1949D63-6,1949D63-6,700,m,16,3
HHDilJune2015,SP20263,C17,E3-1,E3-1,250,m,17,3
HHDilJune2015,SP20263,C18,E3-3,E3-3,250,m,18,3
HHDilJune2015,SP20263,C19,E3-4,E3-4,250,m,19,3
HHDilJune2015,SP20263,C20,E3-6,E3-6,250,m,20,3
HHDilJune2015,SP20263,C21,E3-7-1,E3-7-1,250,m,21,3
HHDilJune2015,SP20263,C22,E3-9,E3-9,250,m,22,3
HHDilJune2015,SP20263,D03,1867F16-9-2,1867F16-9-2,37.5,m,3,4
HHDilJune2015,SP20263,D04,1867F16-9-6,1867F16-9-6,62.5,m,4,4
HHDilJune2015,SP20263,D05,1867F16-9-5,1867F16-9-5,112.5,m,5,4
HHDilJune2015,SP20263,D06,1867F16-8-8,1867F16-8-8,75,m,6,4
HHDilJune2015,SP20263,D07,1867F16-10-7,1867F16-10-7,100,m,7,4
HHDilJune2015,SP20263,D08,1867F16-5-3-1,1867F16-5-3-1,0.125,m,8,4
HHDilJune2015,SP20263,D09,1867F16-8+9+10R,1867F16-8+9+10R,70,m,9,4
HHDilJune2015,SP20263,D10,1867F12/13-10-1-1,1867F12/13-10-1-1,100,m,10,4
HHDilJune2015,SP20263,D11,1867F12/13-10-2-1,1867F12/13-10-2-1,200,m,11,4
HHDilJune2015,SP20263,D12,186716-8-5,186716-8-5,68.75,m,12,4
HHDilJune2015,SP20263,D13,1949G5-1,1949G5-1,0.125,m,13,4
HHDilJune2015,SP20263,D14,1949D63-1,1949D63-1,150,m,14,4
HHDilJune2015,SP20263,D15,1949D63-3,1949D63-3,62.5,m,15,4
HHDilJune2015,SP20263,D16,1949D63-6,1949D63-6,350,m,16,4
HHDilJune2015,SP20263,D17,E3-1,E3-1,125,m,17,4
HHDilJune2015,SP20263,D18,E3-3,E3-3,125,m,18,4
