384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
RL HIFAN 001,SP20264,A03,RLUS-2072A,RLUS-2072A,-1,m,3,1
RL HIFAN 001,SP20264,A04,RLUS-2085A,RLUS-2085A,-1,m,4,1
RL HIFAN 001,SP20264,A05,RLUS-2072B,RLUS-2072B,-1,m,5,1
RL HIFAN 001,SP20264,A06,RLUS-2085B,RLUS-2085B,-1,m,6,1
RL HIFAN 001,SP20264,A07,RLUS-2072C,RLUS-2072C,-1,m,7,1
RL HIFAN 001,SP20264,A08,RLUS-2085C,RLUS-2085C,-1,m,8,1
RL HIFAN 001,SP20264,A09,RLUS-2072D,RLUS-2072D,-1,m,9,1
RL HIFAN 001,SP20264,A10,Well_DMSO_A10,Well_DMSO_A10,-1,m,10,1
RL HIFAN 001,SP20264,A11,RLUS-2072E,RLUS-2072E,-1,m,11,1
RL HIFAN 001,SP20264,A12,RLUS-2085E,RLUS-2085E,-1,m,12,1
RL HIFAN 001,SP20264,A13,RLUS-2072F,RLUS-2072F,-1,m,13,1
RL HIFAN 001,SP20264,A14,RLUS-2085F,RLUS-2085F,-1,m,14,1
RL HIFAN 001,SP20264,A15,RLUS-2073A,RLUS-2073A,-1,m,15,1
RL HIFAN 001,SP20264,A16,RLUS-2086A,RLUS-2086A,-1,m,16,1
RL HIFAN 001,SP20264,A17,RLUS-2073B,RLUS-2073B,-1,m,17,1
RL HIFAN 001,SP20264,A18,RLUS-2086B,RLUS-2086B,-1,m,18,1
RL HIFAN 001,SP20264,A19,RLUS-2073C,RLUS-2073C,-1,m,19,1
RL HIFAN 001,SP20264,A20,RLUS-2086C,RLUS-2086C,-1,m,20,1
RL HIFAN 001,SP20264,A21,RLUS-2073D,RLUS-2073D,-1,m,21,1
RL HIFAN 001,SP20264,A22,RLUS-2086D,RLUS-2086D,-1,m,22,1
RL HIFAN 001,SP20264,A23,LPS_A23,LPS_A23,-1,m,23,1
RL HIFAN 001,SP20264,A24,LPS_A24,LPS_A24,-1,m,24,1
RL HIFAN 001,SP20264,B03,RLUS-2137A,RLUS-2137A,-1,m,3,2
RL HIFAN 001,SP20264,B04,RLUS-2163A,RLUS-2163A,-1,m,4,2
RL HIFAN 001,SP20264,B05,RLUS-2137B,RLUS-2137B,-1,m,5,2
RL HIFAN 001,SP20264,B06,RLUS-2163B,RLUS-2163B,-1,m,6,2
RL HIFAN 001,SP20264,B07,RLUS-2137C,RLUS-2137C,-1,m,7,2
RL HIFAN 001,SP20264,B08,RLUS-2163C,RLUS-2163C,-1,m,8,2
RL HIFAN 001,SP20264,B09,RLUS-2137D,RLUS-2137D,-1,m,9,2
RL HIFAN 001,SP20264,B10,RLUS-2163D,RLUS-2163D,-1,m,10,2
RL HIFAN 001,SP20264,B11,RLUS-2137E,RLUS-2137E,-1,m,11,2
RL HIFAN 001,SP20264,B12,RLUS-2163E,RLUS-2163E,-1,m,12,2
RL HIFAN 001,SP20264,B13,RLUS-2137F,RLUS-2137F,-1,m,13,2
RL HIFAN 001,SP20264,B14,RLUS-2163F,RLUS-2163F,-1,m,14,2
RL HIFAN 001,SP20264,B15,RLUS-2138A,RLUS-2138A,-1,m,15,2
RL HIFAN 001,SP20264,B16,RLUS-2164A,RLUS-2164A,-1,m,16,2
RL HIFAN 001,SP20264,B17,RLUS-2138B,RLUS-2138B,-1,m,17,2
RL HIFAN 001,SP20264,B18,RLUS-2164B,RLUS-2164B,-1,m,18,2
RL HIFAN 001,SP20264,B19,RLUS-2138C,RLUS-2138C,-1,m,19,2
RL HIFAN 001,SP20264,B20,RLUS-2164C,RLUS-2164C,-1,m,20,2
RL HIFAN 001,SP20264,B21,RLUS-2138D,RLUS-2138D,-1,m,21,2
RL HIFAN 001,SP20264,B22,RLUS-2164D,RLUS-2164D,-1,m,22,2
RL HIFAN 001,SP20264,B23,LPS_B23,LPS_B23,-1,m,23,2
RL HIFAN 001,SP20264,B24,LPS_B24,LPS_B24,-1,m,24,2
RL HIFAN 001,SP20264,C03,RLUS-2073E,RLUS-2073E,-1,m,3,3
RL HIFAN 001,SP20264,C04,RLUS-2086E,RLUS-2086E,-1,m,4,3
RL HIFAN 001,SP20264,C05,RLUS-2073F,RLUS-2073F,-1,m,5,3
RL HIFAN 001,SP20264,C06,RLUS-2086F,RLUS-2086F,-1,m,6,3
RL HIFAN 001,SP20264,C07,RLUS-2074A,RLUS-2074A,-1,m,7,3
RL HIFAN 001,SP20264,C08,RLUS-2087A,RLUS-2087A,-1,m,8,3
RL HIFAN 001,SP20264,C09,RLUS-2074B,RLUS-2074B,-1,m,9,3
RL HIFAN 001,SP20264,C10,RLUS-2087B,RLUS-2087B,-1,m,10,3
RL HIFAN 001,SP20264,C11,RLUS-2074C,RLUS-2074C,-1,m,11,3
RL HIFAN 001,SP20264,C12,RLUS-2087C,RLUS-2087C,-1,m,12,3
