384_plate_ID,Plate Map,Well,Human_Readable_Name,MoleculeID,Concentration,Unit,Well_X,Well_Y
HIFAN2.0_Botanical-ImmunoCP,SP20302,A03,AA01A,AA01A-rep1,10.0,mg/ml,3,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A04,HC03B,HC03B-rep1,10.0,mg/ml,4,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A05,AZD2014,SW219704-1-rep1,10.0,m,5,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A06,DMSO,DMSOA06,10.0,m,6,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A07,SN-A-005-10L-4,SN-A-005-10L-4-rep1,10.0,mg/ml,7,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A08,AA01A,AA01A-rep1,2.0,mg/ml,8,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A09,HC03B,HC03B-rep1,2.0,mg/ml,9,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A10,AZD2014,SW219704-1-rep1,2.0,m,10,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A11,DMSO,DMSOA11,2.0,m,11,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A12,SN-A-005-10L-4,SN-A-005-10L-4-rep1,2.0,mg/ml,12,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A23,LPS_A23,LPS_A23,,,23,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A24,LPS_A24,LPS_A24,,,24,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,B03,AA01B,AA01B-rep1,10.0,mg/ml,3,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B04,HC03C,HC03C-rep1,10.0,mg/ml,4,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B05,LY294002,SW217688-2-rep1,10.0,m,5,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B06,SN-C-010-1,SN-C-010-1-rep1,10.0,mg/ml,6,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B07,SN-A-005-10L-5,SN-A-005-10L-5-rep1,10.0,mg/ml,7,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B08,AA01B,AA01B-rep1,2.0,mg/ml,8,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B09,HC03C,HC03C-rep1,2.0,mg/ml,9,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B10,LY294002,SW217688-2-rep1,2.0,m,10,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B11,SN-C-010-1,SN-C-010-1-rep1,2.0,mg/ml,11,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B12,SN-A-005-10L-5,SN-A-005-10L-5-rep1,2.0,mg/ml,12,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B23,LPS_B23,LPS_B23,,,23,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B24,LPS_B24,LPS_B24,,,24,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,C03,AA01C,AA01C-rep1,10.0,mg/ml,3,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C04,HC04A,HC04A-rep1,10.0,mg/ml,4,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C05,Luteolin,SW196433-3-rep1,10.0,m,5,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C06,SN-C-010-2,SN-C-010-2-rep1,10.0,mg/ml,6,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C07,SN-A-005-10L-6,SN-A-005-10L-6-rep1,10.0,mg/ml,7,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C08,AA01C,AA01C-rep1,2.0,mg/ml,8,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C09,HC04A,HC04A-rep1,2.0,mg/ml,9,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C10,Luteolin,SW196433-3-rep1,2.0,m,10,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C11,SN-C-010-2,SN-C-010-2-rep1,2.0,mg/ml,11,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C12,SN-A-005-10L-6,SN-A-005-10L-6-rep1,2.0,mg/ml,12,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C23,LPS_C23,LPS_C23,,,23,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,C24,LPS_C24,LPS_C24,,,24,3
HIFAN2.0_Botanical-ImmunoCP,SP20302,D03,AA02A,AA02A-rep1,10.0,mg/ml,3,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D04,HC04B,HC04B-rep1,10.0,mg/ml,4,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D05,IRAK inhibitor 1,IRAK inhibitor 1-rep1,10.0,m,5,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D06,SN-C-010-3,SN-C-010-3-rep1,10.0,mg/ml,6,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D07,SN-A-005-10L-7,SN-A-005-10L-7-rep1,10.0,mg/ml,7,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D08,AA02A,AA02A-rep1,2.0,mg/ml,8,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D09,HC04B,HC04B-rep1,2.0,mg/ml,9,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D10,IRAK inhibitor 1,IRAK inhibitor 1-rep1,2.0,m,10,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D11,SN-C-010-3,SN-C-010-3-rep1,2.0,mg/ml,11,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D12,SN-A-005-10L-7,SN-A-005-10L-7-rep1,2.0,mg/ml,12,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D23,LPS_D23,LPS_D23,,,23,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,D24,LPS_D24,LPS_D24,,,24,4
HIFAN2.0_Botanical-ImmunoCP,SP20302,E03,AA02B,AA02B-rep1,10.0,mg/ml,3,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E04,HC04C,HC04C-rep1,10.0,mg/ml,4,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E05,Pitavastatin Calcium,SW222228-1-rep1,10.0,m,5,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E06,SN-C-010-4,SN-C-010-4-rep1,10.0,mg/ml,6,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E07,SN-A-005-10L-8,SN-A-005-10L-8-rep1,10.0,mg/ml,7,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E08,AA02B,AA02B-rep1,2.0,mg/ml,8,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E09,HC04C,HC04C-rep1,2.0,mg/ml,9,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E10,Pitavastatin Calcium,SW222228-1-rep1,2.0,m,10,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E11,SN-C-010-4,SN-C-010-4-rep1,2.0,mg/ml,11,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E12,SN-A-005-10L-8,SN-A-005-10L-8-rep1,2.0,mg/ml,12,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E23,LPS_E23,LPS_E23,,,23,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,E24,LPS_E24,LPS_E24,,,24,5
HIFAN2.0_Botanical-ImmunoCP,SP20302,F03,AA02C,AA02C-rep1,10.0,mg/ml,3,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F04,CS01A,CS01A-rep1,10.0,mg/ml,4,6
Calcium",SW219143-1-rep1,10.0,m,5,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F06,SN-C-010-5,SN-C-010-5-rep1,10.0,mg/ml,6,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F07,SN-A-005-10L-9,SN-A-005-10L-9-rep1,10.0,mg/ml,7,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F08,AA02C,AA02C-rep1,2.0,mg/ml,8,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F09,CS01A,CS01A-rep1,2.0,mg/ml,9,6
Calcium",SW219143-1-rep1,2.0,m,10,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F11,SN-C-010-5,SN-C-010-5-rep1,2.0,mg/ml,11,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F12,SN-A-005-10L-9,SN-A-005-10L-9-rep1,2.0,mg/ml,12,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F23,LPS_F23,LPS_F23,,,23,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,F24,LPS_F24,LPS_F24,,,24,6
HIFAN2.0_Botanical-ImmunoCP,SP20302,G03,AA03A,AA03A-rep1,10.0,mg/ml,3,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G04,CS01B,CS01B-rep1,10.0,mg/ml,4,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G05,SW203051-1,SW203051-1-rep1,10.0,mg/ml,5,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G06,SN-C-010-6,SN-C-010-6-rep1,10.0,mg/ml,6,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G07,SN-A-005-10L-10,SN-A-005-10L-10-rep1,10.0,mg/ml,7,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G08,AA03A,AA03A-rep1,2.0,mg/ml,8,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G09,CS01B,CS01B-rep1,2.0,mg/ml,9,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G10,SW203051-1,SW203051-1-rep1,2.0,mg/ml,10,7
HIFAN2.0_Botanical-ImmunoCP,SP20302,G11,SN-C-010-6,SN-C-010-6-rep1,2.0,mg/ml,11,7
