384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
HIFAN2.0_Botanical-ImmunoCP,SP20302,A03,AA01A,AA01A-rep1,10,mg/ml,3,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A04,HC03B,HC03B-rep1,10,mg/ml,4,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A05,AZD2014,SW219704-1-rep1,10,m,5,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A06,DMSO,DMSOA06,-1,m,6,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A07,SN-A-005-10L-4,SN-A-005-10L-4-rep1,10,mg/ml,7,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A08,AA01A,AA01A-rep1,2,mg/ml,8,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A09,HC03B,HC03B-rep1,2,mg/ml,9,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A10,AZD2014,SW219704-1-rep1,2,m,10,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A11,DMSO,DMSOA11,-1,m,11,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A12,SN-A-005-10L-4,SN-A-005-10L-4-rep1,2,mg/ml,12,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A13,SN-A-028-10L-4,SN-A-028-10L-4-rep2,2,mg/ml,13,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A14,SN-A-005-10L-3,SN-A-005-10L-3-rep2,2,mg/ml,14,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A15,DMSO,DMSOA15,-1,m,15,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A16,U0126,SW219366-1-rep2,2,m,16,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A17,HC03A,HC03A-rep2,2,mg/ml,17,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A18,SN-A-028-10L-4,SN-A-028-10L-4-rep2,10,mg/ml,18,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A19,SN-A-005-10L-3,SN-A-005-10L-3-rep2,10,mg/ml,19,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A20,DMSOP05,DMSOA20,-1,m,20,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A21,U0126,SW219366-1-rep2,10,m,21,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A22,HC03A,HC03A-rep2,10,mg/ml,22,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A23,LPS_A23,LPS_A23,,,23,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,A24,LPS_A24,LPS_A24,,,24,1
HIFAN2.0_Botanical-ImmunoCP,SP20302,B03,AA01B,AA01B-rep1,10,mg/ml,3,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B04,HC03C,HC03C-rep1,10,mg/ml,4,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B05,LY294002,SW217688-2-rep1,10,m,5,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B06,SN-C-010-1,SN-C-010-1-rep1,10,mg/ml,6,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B07,SN-A-005-10L-5,SN-A-005-10L-5-rep1,10,mg/ml,7,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B08,AA01B,AA01B-rep1,2,mg/ml,8,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B09,HC03C,HC03C-rep1,2,mg/ml,9,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B10,LY294002,SW217688-2-rep1,2,m,10,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B11,SN-C-010-1,SN-C-010-1-rep1,2,mg/ml,11,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B12,SN-A-005-10L-5,SN-A-005-10L-5-rep1,2,mg/ml,12,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B13,SN-A-005-10L-18,SN-A-005-10L-18-rep2,2,mg/ml,13,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B14,SN-A-005-10L-2,SN-A-005-10L-2-rep2,2,mg/ml,14,2
HIFAN2.0_Botanical-ImmunoCP,SP20302,B15,PhepB-2Me,PhepB-2Me-rep2,2,mg/ml,15,2
