384_Plate_ID,Plate Map,Well,Human_Readable_Name,MoleculeID,Concentration,Unit,Well_X,Well_Y
HiFan_Botanicals_and_Crudes,SP20304,A03,ACONITINE,ACONITINE,10.0,mM,3,1
HiFan_Botanicals_and_Crudes,SP20304,A04,HYOSCYAMINE;_L,HYOSCYAMINE;_L,10.0,mM,4,1
HiFan_Botanicals_and_Crudes,SP20304,A05,CANNABIDIOL,CANNABIDIOL,10.0,mM,5,1
HiFan_Botanicals_and_Crudes,SP20304,A06,HYPACONITINE,HYPACONITINE,10.0,mM,6,1
HiFan_Botanicals_and_Crudes,SP20304,A07,AJMALICINE,AJMALICINE,10.0,mM,7,1
HiFan_Botanicals_and_Crudes,SP20304,A08,HYPEROSIDE,HYPEROSIDE,10.0,mM,8,1
HiFan_Botanicals_and_Crudes,SP20304,A09,AJMALINE,AJMALINE,10.0,mM,9,1
HiFan_Botanicals_and_Crudes,SP20304,A10,ISOLIQUIRITIGENIN,ISOLIQUIRITIGENIN,10.0,mM,10,1
HiFan_Botanicals_and_Crudes,SP20304,A11,ARECOLINE_HYDROBROMIDE2,ARECOLINE_HYDROBROMIDE2,10.0,mM,11,1
HiFan_Botanicals_and_Crudes,SP20304,A12,ISOSCOPOLETIN,ISOSCOPOLETIN,10.0,mM,12,1
HiFan_Botanicals_and_Crudes,SP20304,A13,ANDROGRAPHOLIDE,ANDROGRAPHOLIDE,10.0,mM,13,1
HiFan_Botanicals_and_Crudes,SP20304,A14,JATRORRHIZINE,JATRORRHIZINE,10.0,mM,14,1
HiFan_Botanicals_and_Crudes,SP20304,A15,APIIN,APIIN,10.0,mM,15,1
HiFan_Botanicals_and_Crudes,SP20304,A16,ARISTOLOCHIC_ACID_B,ARISTOLOCHIC_ACID_B,10.0,mM,16,1
HiFan_Botanicals_and_Crudes,SP20304,A17,ARBUTIN,ARBUTIN,10.0,mM,17,1
HiFan_Botanicals_and_Crudes,SP20304,A18,ARTEMISETIN,ARTEMISETIN,10.0,mM,18,1
HiFan_Botanicals_and_Crudes,SP20304,A19,BACCATIN_III,BACCATIN_III,10.0,mM,19,1
HiFan_Botanicals_and_Crudes,SP20304,A20,KAEMPFEROL,KAEMPFEROL,10.0,mM,20,1
HiFan_Botanicals_and_Crudes,SP20304,A21,BAICALEIN,BAICALEIN,10.0,mM,21,1
HiFan_Botanicals_and_Crudes,SP20304,A22,KAEMPFEROL-4'-GLUCOSIDE,KAEMPFEROL-4'-GLUCOSIDE,10.0,mM,22,1
HiFan_Botanicals_and_Crudes,SP20304,A23,LPS_A23,LPS_A23,,,23,1
HiFan_Botanicals_and_Crudes,SP20304,A24,LPS_A24,LPS_A24,,,24,1
HiFan_Botanicals_and_Crudes,SP20304,B03,URSOLIC_ACID,URSOLIC_ACID,10.0,mM,3,2
HiFan_Botanicals_and_Crudes,SP20304,B04,MS01A,MS01A,10.0,mg_mL,4,2
HiFan_Botanicals_and_Crudes,SP20304,B05,VALERENIC_ACID,VALERENIC_ACID,10.0,mM,5,2
HiFan_Botanicals_and_Crudes,SP20304,B06,CYS01A,CYS01A,10.0,mg_mL,6,2
HiFan_Botanicals_and_Crudes,SP20304,B07,VERARINE,VERARINE,10.0,mM,7,2
HiFan_Botanicals_and_Crudes,SP20304,B08,HV01A,HV01A,10.0,mg_mL,8,2
HiFan_Botanicals_and_Crudes,SP20304,B09,VINPOCETINE2,VINPOCETINE2,10.0,mM,9,2
HiFan_Botanicals_and_Crudes,SP20304,B10,VM01A,VM01A,10.0,mg_mL,10,2
HiFan_Botanicals_and_Crudes,SP20304,B11,VITEXIN,VITEXIN,10.0,mM,11,2
HiFan_Botanicals_and_Crudes,SP20304,B12,JN01A,JN01A,10.0,mg_mL,12,2
HiFan_Botanicals_and_Crudes,SP20304,B13,WITHAFERIN_A,WITHAFERIN_A,10.0,mM,13,2
HiFan_Botanicals_and_Crudes,SP20304,B14,RP01A,RP01A,10.0,mg_mL,14,2
HiFan_Botanicals_and_Crudes,SP20304,B15,WITHANOLIDE_A,WITHANOLIDE_A,10.0,mM,15,2
HiFan_Botanicals_and_Crudes,SP20304,B16,TO01A,TO01A,10.0,mg_mL,16,2
HiFan_Botanicals_and_Crudes,SP20304,B17,WITHANOSIDE_IV,WITHANOSIDE_IV,10.0,mM,17,2
HiFan_Botanicals_and_Crudes,SP20304,B18,TD01A,TD01A,10.0,mg_mL,18,2
HiFan_Botanicals_and_Crudes,SP20304,B19,WITHASTRAMONOLIDE;_12-DEOXY,WITHASTRAMONOLIDE;_12-DEOXY,10.0,mM,19,2
HiFan_Botanicals_and_Crudes,SP20304,B20,ES01A,ES01A,10.0,mg_mL,20,2
HiFan_Botanicals_and_Crudes,SP20304,B21,XANTHOTOXIN,XANTHOTOXIN,10.0,mM,21,2
HiFan_Botanicals_and_Crudes,SP20304,B22,TA01A,TA01A,10.0,mg_mL,22,2
HiFan_Botanicals_and_Crudes,SP20304,B23,LPS_B23,LPS_B23,,,23,2
HiFan_Botanicals_and_Crudes,SP20304,B24,LPS_B24,LPS_B24,,,24,2
HiFan_Botanicals_and_Crudes,SP20304,C03,BAICALIN,BAICALIN,10.0,mM,3,3
HiFan_Botanicals_and_Crudes,SP20304,C04,ASIATICOSIDE,ASIATICOSIDE,10.0,mM,4,3
HiFan_Botanicals_and_Crudes,SP20304,C05,BERBERINE_CHLORIDE,BERBERINE_CHLORIDE,10.0,mM,5,3
HiFan_Botanicals_and_Crudes,SP20304,C06,AUCUBIN,AUCUBIN,10.0,mM,6,3
HiFan_Botanicals_and_Crudes,SP20304,C07,BERGAMOTTIN,BERGAMOTTIN,10.0,mM,7,3
HiFan_Botanicals_and_Crudes,SP20304,C08,KAEMPFERITRIN,KAEMPFERITRIN,10.0,mM,8,3
HiFan_Botanicals_and_Crudes,SP20304,C09,BETULIN,BETULIN,10.0,mM,9,3
HiFan_Botanicals_and_Crudes,SP20304,C10,ASTRAGALOSIDE_IV,ASTRAGALOSIDE_IV,10.0,mM,10,3
HiFan_Botanicals_and_Crudes,SP20304,C11,BETULONIC_ACID,BETULONIC_ACID,10.0,mM,11,3
HiFan_Botanicals_and_Crudes,SP20304,C12,LARICIRESINOL,LARICIRESINOL,10.0,mM,12,3
HiFan_Botanicals_and_Crudes,SP20304,C13,BILOBALIDE,BILOBALIDE,10.0,mM,13,3
HiFan_Botanicals_and_Crudes,SP20304,C14,LIQUIRITIGENIN,LIQUIRITIGENIN,10.0,mM,14,3
HiFan_Botanicals_and_Crudes,SP20304,C15,BIOCHANIN_A,BIOCHANIN_A,10.0,mM,15,3
HiFan_Botanicals_and_Crudes,SP20304,C16,LOBELINE_HCl;_a,LOBELINE_HCl;_a,10.0,mM,16,3
HiFan_Botanicals_and_Crudes,SP20304,C17,BOSWELLIC_ACID;_a,BOSWELLIC_ACID;_a,10.0,mM,17,3
HiFan_Botanicals_and_Crudes,SP20304,C18,LOGANIN,LOGANIN,10.0,mM,18,3
HiFan_Botanicals_and_Crudes,SP20304,C19,BOSWELLIC_ACID;_B,BOSWELLIC_ACID;_B,10.0,mM,19,3
HiFan_Botanicals_and_Crudes,SP20304,C20,LUTEOLIN,LUTEOLIN,10.0,mM,20,3
HiFan_Botanicals_and_Crudes,SP20304,C21,ACETYL-B-BOSWELLIC_ACID;_3,ACETYL-B-BOSWELLIC_ACID;_3,10.0,mM,21,3
HiFan_Botanicals_and_Crudes,SP20304,C22,LUTEOLIN-7-O-GLUCOSIDE,LUTEOLIN-7-O-GLUCOSIDE,10.0,mM,22,3
HiFan_Botanicals_and_Crudes,SP20304,C23,LPS_C23,LPS_C23,,,23,3
HiFan_Botanicals_and_Crudes,SP20304,C24,LPS_C24,LPS_C24,,,24,3
HiFan_Botanicals_and_Crudes,SP20304,D03,YOHIMBINE_HCL,YOHIMBINE_HCL,10.0,mM,3,4
HiFan_Botanicals_and_Crudes,SP20304,D04,AS01A,AS01A,10.0,mg_mL,4,4
HiFan_Botanicals_and_Crudes,SP20304,D05,CYSTATHIONINE;_L,CYSTATHIONINE;_L,10.0,mM,5,4
HiFan_Botanicals_and_Crudes,SP20304,D06,QA01A,QA01A,10.0,mg_mL,6,4
HiFan_Botanicals_and_Crudes,SP20304,D07,CYTISINE(LABURNIN),CYTISINE(LABURNIN),10.0,mM,7,4
HiFan_Botanicals_and_Crudes,SP20304,D08,SA01A,SA01A,10.0,mg_mL,8,4
HiFan_Botanicals_and_Crudes,SP20304,D09,RLUS-2088-D2,RLUS-2088-D2,10.0,mM,9,4
