384_Plate_ID,Plate Map,Well,Human_Readable_Name,MoleculeID,Concentration,Unit,Well_X,Well_Y
HiFan_Botanicals_and_Crudes,SP20304,A01,LPS_P24,LPS_P24,,,1,1
HiFan_Botanicals_and_Crudes,SP20304,A02,LPS_P23,LPS_P23,,,2,1
HiFan_Botanicals_and_Crudes,SP20304,A04,OH01C,OH01C,10.0,mg_mL,4,1
HiFan_Botanicals_and_Crudes,SP20304,A06,OH01B,OH01B,10.0,mg_mL,6,1
HiFan_Botanicals_and_Crudes,SP20304,A08,OH01A,OH01A,10.0,mg_mL,8,1
HiFan_Botanicals_and_Crudes,SP20304,A10,ST01C,ST01C,10.0,mg_mL,10,1
HiFan_Botanicals_and_Crudes,SP20304,A12,ST01B,ST01B,10.0,mg_mL,12,1
HiFan_Botanicals_and_Crudes,SP20304,A14,ST01A,ST01A,10.0,mg_mL,14,1
HiFan_Botanicals_and_Crudes,SP20304,A16,SN01C,SN01C,10.0,mg_mL,16,1
HiFan_Botanicals_and_Crudes,SP20304,A18,SN01B,SN01B,10.0,mg_mL,18,1
HiFan_Botanicals_and_Crudes,SP20304,A20,SN01A,SN01A,10.0,mg_mL,20,1
HiFan_Botanicals_and_Crudes,SP20304,A22,WS04C,WS04C,10.0,mg_mL,22,1
HiFan_Botanicals_and_Crudes,SP20304,B01,LPS_O24,LPS_O24,,,1,2
HiFan_Botanicals_and_Crudes,SP20304,B02,LPS_O23,LPS_O23,,,2,2
HiFan_Botanicals_and_Crudes,SP20304,B03,TRICIN,TRICIN,10.0,mM,3,2
HiFan_Botanicals_and_Crudes,SP20304,B04,HUPERZINE A,HUPERZINE_A,10.0,mM,4,2
HiFan_Botanicals_and_Crudes,SP20304,B05,TYPHANEOSIDE,TYPHANEOSIDE,10.0,mM,5,2
HiFan_Botanicals_and_Crudes,SP20304,B06,HONOKIOL,HONOKIOL,10.0,mM,6,2
HiFan_Botanicals_and_Crudes,SP20304,B07,TUBEROSTEMONINE,TUBEROSTEMONINE,10.0,mM,7,2
HiFan_Botanicals_and_Crudes,SP20304,B08,HOMOORIENTIN(ISOORIENTIN),HOMOORIENTIN(ISOORIENTIN),10.0,mM,8,2
HiFan_Botanicals_and_Crudes,SP20304,B09,TRIGONELLINE2,TRIGONELLINE2,10.0,mM,9,2
HiFan_Botanicals_and_Crudes,SP20304,B10,HOMOHARRINGTONINE,HOMOHARRINGTONINE,10.0,mM,10,2
HiFan_Botanicals_and_Crudes,SP20304,B11,TRIFOLIRHIZIN,TRIFOLIRHIZIN,10.0,mM,11,2
HiFan_Botanicals_and_Crudes,SP20304,B12,HESPERIDIN,HESPERIDIN,10.0,mM,12,2
HiFan_Botanicals_and_Crudes,SP20304,B13,TILIROSIDE,TILIROSIDE,10.0,mM,13,2
HiFan_Botanicals_and_Crudes,SP20304,B14,HESPERETIN,HESPERETIN,10.0,mM,14,2
HiFan_Botanicals_and_Crudes,SP20304,B15,TOMATINE,TOMATINE,10.0,mM,15,2
HiFan_Botanicals_and_Crudes,SP20304,B16,HERBACETIN-3;8-DIGLUCOPYRANOSIDE,HERBACETIN-3;8-DIGLUCOPYRANOSIDE,10.0,mM,16,2
HiFan_Botanicals_and_Crudes,SP20304,B17,THEOPHYLLINE,THEOPHYLLINE,10.0,mM,17,2
HiFan_Botanicals_and_Crudes,SP20304,B18,HEDERACOSIDE C,HEDERACOSIDE_C,10.0,mM,18,2
HiFan_Botanicals_and_Crudes,SP20304,B19,THEANINE; L,THEANINE;_L,10.0,mM,19,2
HiFan_Botanicals_and_Crudes,SP20304,B20,HARPAGOSIDE,HARPAGOSIDE,10.0,mM,20,2
HiFan_Botanicals_and_Crudes,SP20304,B21,TETRANDRINE,TETRANDRINE,10.0,mM,21,2
HiFan_Botanicals_and_Crudes,SP20304,B22,GUGGULSTERONE Z,GUGGULSTERONE_Z,10.0,mM,22,2
HiFan_Botanicals_and_Crudes,SP20304,C01,LPS_N24,LPS_N24,,,1,3
HiFan_Botanicals_and_Crudes,SP20304,C02,LPS_N23,LPS_N23,,,2,3
HiFan_Botanicals_and_Crudes,SP20304,C04,WS04B,WS04B,10.0,mg_mL,4,3
HiFan_Botanicals_and_Crudes,SP20304,C06,WS04A,WS04A,10.0,mg_mL,6,3
HiFan_Botanicals_and_Crudes,SP20304,C08,WS03C,WS03C,10.0,mg_mL,8,3
HiFan_Botanicals_and_Crudes,SP20304,C10,WS03B,WS03B,10.0,mg_mL,10,3
HiFan_Botanicals_and_Crudes,SP20304,C12,WS03A,WS03A,10.0,mg_mL,12,3
HiFan_Botanicals_and_Crudes,SP20304,C14,WS02C,WS02C,10.0,mg_mL,14,3
HiFan_Botanicals_and_Crudes,SP20304,C16,WS02B,WS02B,10.0,mg_mL,16,3
HiFan_Botanicals_and_Crudes,SP20304,C18,WS02A,WS02A,10.0,mg_mL,18,3
HiFan_Botanicals_and_Crudes,SP20304,C20,WS01C,WS01C,10.0,mg_mL,20,3
HiFan_Botanicals_and_Crudes,SP20304,C22,WS01B,WS01B,10.0,mg_mL,22,3
HiFan_Botanicals_and_Crudes,SP20304,D01,LPS_M24,LPS_M24,,,1,4
HiFan_Botanicals_and_Crudes,SP20304,D02,LPS_M23,LPS_M23,,,2,4
HiFan_Botanicals_and_Crudes,SP20304,D03,TETRAHYDROPALMATINE; DL,TETRAHYDROPALMATINE;_DL,10.0,mM,3,4
HiFan_Botanicals_and_Crudes,SP20304,D04,GUGGULSTERONE E,GUGGULSTERONE_E,10.0,mM,4,4
HiFan_Botanicals_and_Crudes,SP20304,D05,TETRACOSANOL; 1,TETRACOSANOL;_1,10.0,mM,5,4
HiFan_Botanicals_and_Crudes,SP20304,D06,GLYCYRRHIZIC ACID AMMONIUM SALT,GLYCYRRHIZIC_ACID_AMMONIUM_SALT,10.0,mM,6,4
HiFan_Botanicals_and_Crudes,SP20304,D07,SYNEPHRINE,SYNEPHRINE,10.0,mM,7,4
HiFan_Botanicals_and_Crudes,SP20304,D08,GLYCYRRHIZIC ACID ,GLYCYRRHIZIC_ACID,10.0,mM,8,4
HiFan_Botanicals_and_Crudes,SP20304,D09,SWERTISIN,SWERTISIN,10.0,mM,9,4
HiFan_Botanicals_and_Crudes,SP20304,D10,GLYCYRRHETINIC ACID; 18a-2,GLYCYRRHETINIC_ACID;_18a-2,10.0,mM,10,4
HiFan_Botanicals_and_Crudes,SP20304,D11,STIGMASTANOL,STIGMASTANOL,10.0,mM,11,4
HiFan_Botanicals_and_Crudes,SP20304,D12,GLUCOTROPAEOLIN POTASSIUM SALT,GLUCOTROPAEOLIN_POTASSIUM_SALT,10.0,mM,12,4
HiFan_Botanicals_and_Crudes,SP20304,D13,STEVIOL,STEVIOL,10.0,mM,13,4
HiFan_Botanicals_and_Crudes,SP20304,D14,GLUCOCHEIROLIN,GLUCOCHEIROLIN,10.0,mM,14,4
HiFan_Botanicals_and_Crudes,SP20304,D15,STEVIOSIDE,STEVIOSIDE,10.0,mM,15,4
HiFan_Botanicals_and_Crudes,SP20304,D16,GLAUCINE HBR2,GLAUCINE_HBR2,10.0,mM,16,4
HiFan_Botanicals_and_Crudes,SP20304,D17,STEVIOLBIOSIDE,STEVIOLBIOSIDE,10.0,mM,17,4
HiFan_Botanicals_and_Crudes,SP20304,D18,GINSENOSIDE Rg3(R-FORM),GINSENOSIDE_Rg3(R-FORM),10.0,mM,18,4
HiFan_Botanicals_and_Crudes,SP20304,D19,SOLANESOL2,SOLANESOL2,10.0,mM,19,4
HiFan_Botanicals_and_Crudes,SP20304,D20,GINKGOLIDE J ,GINKGOLIDE_J,10.0,mM,20,4
HiFan_Botanicals_and_Crudes,SP20304,D21,SITOSTEROL; B- ,SITOSTEROL;_B-,10.0,mM,21,4
HiFan_Botanicals_and_Crudes,SP20304,D22,GINKGOLIDE B,GINKGOLIDE_B,10.0,mM,22,4
HiFan_Botanicals_and_Crudes,SP20304,E01,LPS_L24,LPS_L24,,,1,5
HiFan_Botanicals_and_Crudes,SP20304,E02,LPS_L23,LPS_L23,,,2,5
HiFan_Botanicals_and_Crudes,SP20304,E04,WS01A,WS01A,10.0,mg_mL,4,5
HiFan_Botanicals_and_Crudes,SP20304,E06,CS03C,CS03C,10.0,mg_mL,6,5
HiFan_Botanicals_and_Crudes,SP20304,E08,CS03B,CS03B,10.0,mg_mL,8,5
HiFan_Botanicals_and_Crudes,SP20304,E10,CS03A,CS03A,10.0,mg_mL,10,5
HiFan_Botanicals_and_Crudes,SP20304,E12,CS02C,CS02C,10.0,mg_mL,12,5
HiFan_Botanicals_and_Crudes,SP20304,E14,CS02B,CS02B,10.0,mg_mL,14,5
HiFan_Botanicals_and_Crudes,SP20304,E16,CS02A,CS02A,10.0,mg_mL,16,5
HiFan_Botanicals_and_Crudes,SP20304,E18,CS01C,CS01C,10.0,mg_mL,18,5
HiFan_Botanicals_and_Crudes,SP20304,E20,CS01B,CS01B,10.0,mg_mL,20,5
HiFan_Botanicals_and_Crudes,SP20304,E22,CS01A,CS01A,10.0,mg_mL,22,5
HiFan_Botanicals_and_Crudes,SP20304,F01,LPS_K24,LPS_K24,,,1,6
HiFan_Botanicals_and_Crudes,SP20304,F02,LPS_K23,LPS_K23,,,2,6
HiFan_Botanicals_and_Crudes,SP20304,F03,SINOMENINE HYDROCHLORIDE,SINOMENINE_HYDROCHLORIDE,10.0,mM,3,6
HiFan_Botanicals_and_Crudes,SP20304,F04,GINKGOLIDE C,GINKGOLIDE_C,10.0,mM,4,6
HiFan_Botanicals_and_Crudes,SP20304,F05,SINALBIN POTASSIUM SALT,SINALBIN_POTASSIUM_SALT,10.0,mM,5,6
HiFan_Botanicals_and_Crudes,SP20304,F06,GINKGOLIDE A,GINKGOLIDE_A,10.0,mM,6,6
HiFan_Botanicals_and_Crudes,SP20304,F07,SILYBIN (A and B),SILYBIN_(A_and_B),10.0,mM,7,6
HiFan_Botanicals_and_Crudes,SP20304,F08,GINKGOLIC ACID II,GINKGOLIC_ACID_II,10.0,mM,8,6
HiFan_Botanicals_and_Crudes,SP20304,F09,SENNOSIDE B,SENNOSIDE_B,10.0,mM,9,6
HiFan_Botanicals_and_Crudes,SP20304,F10,GINKGOLIC ACID I,GINKGOLIC_ACID_I,10.0,mM,10,6
