384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
HIFAN2.0_Botanical-ImmunoCP,SP20308,A01,noimage,noimage,,,1,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A02,noimage,noimage,,,2,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A03,noimage,noimage,2.5,mM,3,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A04,noimage,noimage,0.5,mM,4,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A05,noimage,noimage,2.5,mM,5,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A06,noimage,noimage,0.5,mM,6,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A07,noimage,noimage,2.5,mM,7,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A08,Baicalein,Baicalein,0.5,mM,8,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A09,noimage,noimage,2.5,mM,9,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A10,noimage,noimage,0.5,mM,10,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A11,noimage,noimage,2.5,mM,11,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A12,noimage,noimage,0.5,mM,12,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A13,noimage,noimage,2.5,mM,13,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A14,noimage,noimage,0.5,mM,14,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A15,noimage,noimage,2.5,mM,15,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A16,noimage,noimage,0.5,mM,16,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A17,noimage,noimage,10,mg/ml,17,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A18,noimage,noimage,2,mg/ml,18,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A19,noimage,noimage,10,mg/ml,19,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A20,noimage,noimage,2,mg/ml,20,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A21,noimage,noimage,10,mg/ml,21,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A22,noimage,noimage,2,mg/ml,22,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A23,noimage,noimage,,,23,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A24,noimage,noimage,,,24,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,B01,noimage,noimage,,,1,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B02,noimage,noimage,,,2,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B03,noimage,noimage,0.02,mM,3,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B04,noimage,noimage,0.1,mM,4,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B05,noimage,noimage,0.02,mM,5,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B06,noimage,noimage,0.1,mM,6,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B07,noimage,noimage,0.02,mM,7,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B08,Baicalein,Baicalein,0.1,mM,8,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B09,noimage,noimage,0.02,mM,9,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B10,noimage,noimage,0.1,mM,10,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B11,noimage,noimage,0.02,mM,11,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B12,noimage,noimage,0.1,mM,12,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B13,noimage,noimage,0.02,mM,13,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B14,noimage,noimage,0.1,mM,14,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B15,noimage,noimage,0.02,mM,15,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B16,noimage,noimage,0.1,mM,16,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B17,noimage,noimage,0.08,mg/ml,17,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B18,noimage,noimage,0.4,mg/ml,18,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B19,noimage,noimage,0.08,mg/ml,19,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B20,noimage,noimage,0.4,mg/ml,20,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B21,noimage,noimage,0.08,mg/ml,21,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B22,noimage,noimage,0.4,mg/ml,22,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B23,noimage,noimage,,,23,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,B24,noimage,noimage,,,24,2
HIFAN2.0_Botanical-ImmunoCP,SP20308,C01,noimage,noimage,,,1,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C02,noimage,noimage,,,2,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C03,noimage,noimage,10,mg/ml,3,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C04,noimage,noimage,2,mg/ml,4,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C05,noimage,noimage,10,mg/ml,5,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C06,noimage,noimage,2,mg/ml,6,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C07,noimage,noimage,10,mg/ml,7,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C08,ST01B,ST01B,2,mg/ml,8,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C09,noimage,noimage,10,mg/ml,9,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C10,noimage,noimage,2,mg/ml,10,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C11,noimage,noimage,1,mg/ml,11,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C12,noimage,noimage,0.2,mg/ml,12,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C13,noimage,noimage,10,mg/ml,13,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C14,noimage,noimage,2,mg/ml,14,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C15,noimage,noimage,10,mg/ml,15,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C16,noimage,noimage,2,mg/ml,16,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C17,noimage,noimage,10,mg/ml,17,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C18,noimage,noimage,2,mg/ml,18,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C19,noimage,noimage,10,mg/ml,19,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C20,noimage,noimage,2,mg/ml,20,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C21,noimage,noimage,10,mg/ml,21,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C22,noimage,noimage,2,mg/ml,22,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C23,noimage,noimage,,,23,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,C24,noimage,noimage,,,24,3
HIFAN2.0_Botanical-ImmunoCP,SP20308,D01,noimage,noimage,,,1,4
HIFAN2.0_Botanical-ImmunoCP,SP20308,D02,noimage,noimage,,,2,4
