384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
HIFAN2.0_Botanical-ImmunoCP,SP20308,A03,Lobeline,Lobeline,2.5,mM,3,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A04,Lobeline,Lobeline,0.5,mM,4,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A05,Baicalin,Baicalin,2.5,mM,5,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A06,Baicalin,Baicalin,0.5,mM,6,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A07,Baicalein,Baicalein,2.5,mM,7,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A08,Baicalein,Baicalein,0.5,mM,8,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A09,"EPIGALLOCATECHIN GALLATE;(-)","EPIGALLOCATECHIN GALLATE;(-)",2.5,mM,9,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A10,"EPIGALLOCATECHIN GALLATE;(-)","EPIGALLOCATECHIN GALLATE;(-)",0.5,mM,10,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A11,Fangchinoline,Fangchinoline,2.5,mM,11,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A12,Fangchinoline,Fangchinoline,0.5,mM,12,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A13,Cepharanthine,Cepharanthine,2.5,mM,13,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A14,Cepharanthine,Cepharanthine,0.5,mM,14,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A15,Tetrandrine,Tetrandrine,2.5,mM,15,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A16,Tetrandrine,Tetrandrine,0.5,mM,16,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A17,ST01MEOHEXT,ST01MEOHEXT,10,mg/ml,17,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A18,ST01MEOHEXT,ST01MEOHEXT,2,mg/ml,18,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A19,ST01HEX,ST01HEX,10,mg/ml,19,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A20,ST01HEX,ST01HEX,2,mg/ml,20,1
HIFAN2.0_Botanical-ImmunoCP,SP20308,A21,ST01Alk,ST01Alk,10,mg/ml,21,1
