384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
ALP0025-L,SP30059,A03,SMD-3032,SMD-3032,5,m,3,1
ALP0025-L,SP30059,A04,SMD-5036,SMD-5036,5,m,4,1
ALP0025-L,SP30059,A05,SMD-xxxx,SMD-xxxx,5,m,5,1
ALP0025-L,SP30059,A06,SMD-5033_5,SMD-5033_5,5,m,6,1
ALP0025-L,SP30059,A07,SMD-3045,SMD-3045,5,m,7,1
ALP0025-L,SP30059,A08,SMD-3051,SMD-3051,5,m,8,1
ALP0025-L,SP30059,A09,SMD-3057,SMD-3057,5,m,9,1
ALP0025-L,SP30059,A10,SMD-3063,SMD-3063,5,m,10,1
ALP0025-L,SP30059,A11,SMD-3064,SMD-3064,5,m,11,1
ALP0025-L,SP30059,A12,SMD-3065,SMD-3065,5,m,12,1
ALP0025-L,SP30059,A13,SMD-3066,SMD-3066,5,m,13,1
ALP0025-L,SP30059,A14,SMD-3071,SMD-3071,5,m,14,1
ALP0025-L,SP30059,A15,SMD-3074,SMD-3074,5,m,15,1
ALP0025-L,SP30059,A16,SMD-3030,SMD-3030,5,m,16,1
ALP0025-L,SP30059,A17,SMD-3033,SMD-3033,5,m,17,1
ALP0025-L,SP30059,A18,SMD-3034,SMD-3034,5,m,18,1
ALP0025-L,SP30059,A19,SMD-3035,SMD-3035,5,m,19,1
ALP0025-L,SP30059,A20,SMD-3036,SMD-3036,5,m,20,1
ALP0025-L,SP30059,A21,SMD-3037,SMD-3037,5,m,21,1
ALP0025-L,SP30059,A22,SMD-3038,SMD-3038,5,m,22,1
ALP0025-L,SP30059,B03,SMD-3032,SMD-3032,2.5,m,3,2
ALP0025-L,SP30059,B04,SMD-5036,SMD-5036,2.5,m,4,2
ALP0025-L,SP30059,B05,SMD-xxxx,SMD-xxxx,2.5,m,5,2
ALP0025-L,SP30059,B06,SMD-5033_5,SMD-5033_5,2.5,m,6,2
ALP0025-L,SP30059,B07,SMD-3045,SMD-3045,2.5,m,7,2
ALP0025-L,SP30059,B08,SMD-3051,SMD-3051,2.5,m,8,2
ALP0025-L,SP30059,B09,SMD-3057,SMD-3057,2.5,m,9,2
ALP0025-L,SP30059,B10,SMD-3063,SMD-3063,2.5,m,10,2
ALP0025-L,SP30059,B11,SMD-3064,SMD-3064,2.5,m,11,2
ALP0025-L,SP30059,B12,SMD-3065,SMD-3065,2.5,m,12,2
ALP0025-L,SP30059,B13,SMD-3066,SMD-3066,2.5,m,13,2
ALP0025-L,SP30059,B14,SMD-3071,SMD-3071,2.5,m,14,2
ALP0025-L,SP30059,B15,SMD-3074,SMD-3074,2.5,m,15,2
ALP0025-L,SP30059,B16,SMD-3030,SMD-3030,2.5,m,16,2
ALP0025-L,SP30059,B17,SMD-3033,SMD-3033,2.5,m,17,2
ALP0025-L,SP30059,B18,SMD-3034,SMD-3034,2.5,m,18,2
ALP0025-L,SP30059,B19,SMD-3035,SMD-3035,2.5,m,19,2
ALP0025-L,SP30059,B20,SMD-3036,SMD-3036,2.5,m,20,2
ALP0025-L,SP30059,B21,SMD-3037,SMD-3037,2.5,m,21,2
ALP0025-L,SP30059,B22,SMD-3038,SMD-3038,2.5,m,22,2
ALP0025-L,SP30059,C03,SMD-3032,SMD-3032,1.25,m,3,3
ALP0025-L,SP30059,C04,SMD-5036,SMD-5036,1.25,m,4,3
ALP0025-L,SP30059,C05,SMD-xxxx,SMD-xxxx,1.25,m,5,3
ALP0025-L,SP30059,C06,SMD-5033_5,SMD-5033_5,1.25,m,6,3
ALP0025-L,SP30059,C07,SMD-3045,SMD-3045,1.25,m,7,3
ALP0025-L,SP30059,C08,SMD-3051,SMD-3051,1.25,m,8,3
ALP0025-L,SP30059,C09,SMD-3057,SMD-3057,1.25,m,9,3
ALP0025-L,SP30059,C10,SMD-3063,SMD-3063,1.25,m,10,3
ALP0025-L,SP30059,C11,SMD-3064,SMD-3064,1.25,m,11,3
ALP0025-L,SP30059,C12,SMD-3065,SMD-3065,1.25,m,12,3
ALP0025-L,SP30059,C13,SMD-3066,SMD-3066,1.25,m,13,3
ALP0025-L,SP30059,C14,SMD-3071,SMD-3071,1.25,m,14,3
ALP0025-L,SP30059,C15,SMD-3074,SMD-3074,1.25,m,15,3
ALP0025-L,SP30059,C16,SMD-3030,SMD-3030,1.25,m,16,3
ALP0025-L,SP30059,C17,SMD-3033,SMD-3033,1.25,m,17,3
ALP0025-L,SP30059,C18,SMD-3034,SMD-3034,1.25,m,18,3
ALP0025-L,SP30059,C19,SMD-3035,SMD-3035,1.25,m,19,3
ALP0025-L,SP30059,C20,SMD-3036,SMD-3036,1.25,m,20,3
ALP0025-L,SP30059,C21,SMD-3037,SMD-3037,1.25,m,21,3
ALP0025-L,SP30059,C22,SMD-3038,SMD-3038,1.25,m,22,3
ALP0025-L,SP30059,D03,SMD-3032,SMD-3032,0.625,m,3,4
ALP0025-L,SP30059,D04,SMD-5036,SMD-5036,0.625,m,4,4
ALP0025-L,SP30059,D05,SMD-xxxx,SMD-xxxx,0.625,m,5,4
ALP0025-L,SP30059,D06,SMD-5033_5,SMD-5033_5,0.625,m,6,4
ALP0025-L,SP30059,D07,SMD-3045,SMD-3045,0.625,m,7,4
ALP0025-L,SP30059,D08,SMD-3051,SMD-3051,0.625,m,8,4
ALP0025-L,SP30059,D09,SMD-3057,SMD-3057,0.625,m,9,4
ALP0025-L,SP30059,D10,SMD-3063,SMD-3063,0.625,m,10,4
ALP0025-L,SP30059,D11,SMD-3064,SMD-3064,0.625,m,11,4
ALP0025-L,SP30059,D12,SMD-3065,SMD-3065,0.625,m,12,4
ALP0025-L,SP30059,D13,SMD-3066,SMD-3066,0.625,m,13,4
ALP0025-L,SP30059,D14,SMD-3071,SMD-3071,0.625,m,14,4
ALP0025-L,SP30059,D15,SMD-3074,SMD-3074,0.625,m,15,4
ALP0025-L,SP30059,D16,SMD-3030,SMD-3030,0.625,m,16,4
ALP0025-L,SP30059,D17,SMD-3033,SMD-3033,0.625,m,17,4
ALP0025-L,SP30059,D18,SMD-3034,SMD-3034,0.625,m,18,4
ALP0025-L,SP30059,D19,SMD-3035,SMD-3035,0.625,m,19,4
ALP0025-L,SP30059,D20,SMD-3036,SMD-3036,0.625,m,20,4
ALP0025-L,SP30059,D21,SMD-3037,SMD-3037,0.625,m,21,4
ALP0025-L,SP30059,D22,SMD-3038,SMD-3038,0.625,m,22,4
ALP0025-L,SP30059,E03,SMD-3032,SMD-3032,0.3125,m,3,5
ALP0025-L,SP30059,E04,SMD-5036,SMD-5036,0.3125,m,4,5
ALP0025-L,SP30059,E05,SMD-xxxx,SMD-xxxx,0.3125,m,5,5
ALP0025-L,SP30059,E06,SMD-5033_5,SMD-5033_5,0.3125,m,6,5
ALP0025-L,SP30059,E07,SMD-3045,SMD-3045,0.3125,m,7,5
ALP0025-L,SP30059,E08,SMD-3051,SMD-3051,0.3125,m,8,5
ALP0025-L,SP30059,E09,SMD-3057,SMD-3057,0.3125,m,9,5
ALP0025-L,SP30059,E10,SMD-3063,SMD-3063,0.3125,m,10,5
ALP0025-L,SP30059,E11,SMD-3064,SMD-3064,0.3125,m,11,5
ALP0025-L,SP30059,E12,SMD-3065,SMD-3065,0.3125,m,12,5
ALP0025-L,SP30059,E13,SMD-3066,SMD-3066,0.3125,m,13,5
ALP0025-L,SP30059,E14,SMD-3071,SMD-3071,0.3125,m,14,5
ALP0025-L,SP30059,E15,SMD-3074,SMD-3074,0.3125,m,15,5
ALP0025-L,SP30059,E16,SMD-3030,SMD-3030,0.3125,m,16,5
ALP0025-L,SP30059,E17,SMD-3033,SMD-3033,0.3125,m,17,5
ALP0025-L,SP30059,E18,SMD-3034,SMD-3034,0.3125,m,18,5
ALP0025-L,SP30059,E19,SMD-3035,SMD-3035,0.3125,m,19,5
ALP0025-L,SP30059,E20,SMD-3036,SMD-3036,0.3125,m,20,5
ALP0025-L,SP30059,E21,SMD-3037,SMD-3037,0.3125,m,21,5
ALP0025-L,SP30059,E22,SMD-3038,SMD-3038,0.3125,m,22,5
ALP0025-L,SP30059,F03,SMD-3032,SMD-3032,0.15625,m,3,6
ALP0025-L,SP30059,F04,SMD-5036,SMD-5036,0.15625,m,4,6
ALP0025-L,SP30059,F05,SMD-xxxx,SMD-xxxx,0.15625,m,5,6
ALP0025-L,SP30059,F06,SMD-5033_5,SMD-5033_5,0.15625,m,6,6
ALP0025-L,SP30059,F07,SMD-3045,SMD-3045,0.15625,m,7,6
ALP0025-L,SP30059,F08,SMD-3051,SMD-3051,0.15625,m,8,6
ALP0025-L,SP30059,F09,SMD-3057,SMD-3057,0.15625,m,9,6
ALP0025-L,SP30059,F10,SMD-3063,SMD-3063,0.15625,m,10,6
ALP0025-L,SP30059,F11,SMD-3064,SMD-3064,0.15625,m,11,6
ALP0025-L,SP30059,F12,SMD-3065,SMD-3065,0.15625,m,12,6
ALP0025-L,SP30059,F13,SMD-3066,SMD-3066,0.15625,m,13,6
ALP0025-L,SP30059,F14,SMD-3071,SMD-3071,0.15625,m,14,6
