Plate Map,Well,Human Readable Name,MoleculeID,Concentration,unit,Well X,Well Y
SP40013,A03,CAY10398,CAY10398,10,m,3,1
SP40013,A04,Brefeldin A,Brefeldin A,10,m,4,1
SP40013,A05,Benomyl,Benomyl,10,m,5,1
SP40013,A06,Nocodazole,Nocodazole,10,m,6,1
SP40013,A07,Griseofulvin,Griseofulvin,10,m,7,1
SP40013,A08,Fijianolide,Fijianolide,5,m,8,1
SP40013,A09,Minlanimide C,Minlanimide C,10,m,9,1
SP40013,A10,Jasplankinolide,Jasplankinolide,5,m,10,1
SP40013,A11,Latrunculin A,Latrunculin A,10,m,11,1
SP40013,A13,Rapamycin,Rapamycin,1,m,13,1
SP40013,A14,Binuclein,Binuclein,10,m,14,1
SP40013,A15,Cytochalsin D,Cytochalsin D,10,m,15,1
SP40013,A16,Tyrphostin 1,Tyrphostin 1,10,m,16,1
SP40013,A17,LY-294002,LY-294002,10,m,17,1
SP40013,A18,Wortmanin,Wortmanin,10,m,18,1
SP40013,A19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,10,m,19,1
SP40013,A21,NSC-78502,NSC-78502,10,m,21,1
SP40013,A22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),10,m,22,1
SP40013,A23,Anisomycin,Anisomycin,10,m,23,1
SP40013,A24,Cantharidin,Cantharidin,10,m,24,1
SP40013,B03,CAY10398,CAY10398,5,m,3,2
SP40013,B04,Brefeldin A,Brefeldin A,5,m,4,2
SP40013,B05,Benomyl,Benomyl,5,m,5,2
SP40013,B06,Nocodazole,Nocodazole,5,m,6,2
SP40013,B07,Griseofulvin,Griseofulvin,5,m,7,2
SP40013,B08,Fijianolide,Fijianolide,2.5,m,8,2
SP40013,B09,Minlanimide C,Minlanimide C,5,m,9,2
SP40013,B10,Jasplankinolide,Jasplankinolide,2.5,m,10,2
SP40013,B11,Latrunculin A,Latrunculin A,5,m,11,2
SP40013,B13,Rapamycin,Rapamycin,0.5,m,13,2
SP40013,B14,Binuclein,Binuclein,5,m,14,2
SP40013,B15,Cytochalsin D,Cytochalsin D,5,m,15,2
SP40013,B16,Tyrphostin 1,Tyrphostin 1,5,m,16,2
SP40013,B17,LY-294002,LY-294002,5,m,17,2
SP40013,B18,Wortmanin,Wortmanin,5,m,18,2
SP40013,B19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,5,m,19,2
SP40013,B21,NSC-78502,NSC-78502,5,m,21,2
SP40013,B22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),5,m,22,2
SP40013,B23,Anisomycin,Anisomycin,5,m,23,2
SP40013,B24,Cantharidin,Cantharidin,5,m,24,2
SP40013,C03,CAY10398,CAY10398,2.5,m,3,3
SP40013,C04,Brefeldin A,Brefeldin A,2.5,m,4,3
SP40013,C05,Benomyl,Benomyl,2.5,m,5,3
SP40013,C06,Nocodazole,Nocodazole,2.5,m,6,3
SP40013,C07,Griseofulvin,Griseofulvin,2.5,m,7,3
SP40013,C08,Fijianolide,Fijianolide,1.25,m,8,3
SP40013,C09,Minlanimide C,Minlanimide C,2.5,m,9,3
SP40013,C10,Jasplankinolide,Jasplankinolide,1.25,m,10,3
SP40013,C11,Latrunculin A,Latrunculin A,2.5,m,11,3
SP40013,C13,Rapamycin,Rapamycin,0.25,m,13,3
SP40013,C14,Binuclein,Binuclein,2.5,m,14,3
SP40013,C15,Cytochalsin D,Cytochalsin D,2.5,m,15,3
SP40013,C16,Tyrphostin 1,Tyrphostin 1,2.5,m,16,3
SP40013,C17,LY-294002,LY-294002,2.5,m,17,3
SP40013,C18,Wortmanin,Wortmanin,2.5,m,18,3
SP40013,C19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,2.5,m,19,3
SP40013,C21,NSC-78502,NSC-78502,2.5,m,21,3
SP40013,C22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),2.5,m,22,3
SP40013,C23,Anisomycin,Anisomycin,2.5,m,23,3
SP40013,C24,Cantharidin,Cantharidin,2.5,m,24,3
SP40013,D03,CAY10398,CAY10398,1.25,m,3,4
SP40013,D04,Brefeldin A,Brefeldin A,1.25,m,4,4
SP40013,D05,Benomyl,Benomyl,1.25,m,5,4
SP40013,D06,Nocodazole,Nocodazole,1.25,m,6,4
SP40013,D07,Griseofulvin,Griseofulvin,1.25,m,7,4
SP40013,D08,Fijianolide,Fijianolide,0.625,m,8,4
SP40013,D09,Minlanimide C,Minlanimide C,1.25,m,9,4
SP40013,D10,Jasplankinolide,Jasplankinolide,0.625,m,10,4
SP40013,D11,Latrunculin A,Latrunculin A,1.25,m,11,4
SP40013,D13,Rapamycin,Rapamycin,0.125,m,13,4
SP40013,D14,Binuclein,Binuclein,1.25,m,14,4
SP40013,D15,Cytochalsin D,Cytochalsin D,1.25,m,15,4
SP40013,D16,Tyrphostin 1,Tyrphostin 1,1.25,m,16,4
SP40013,D17,LY-294002,LY-294002,1.25,m,17,4
SP40013,D18,Wortmanin,Wortmanin,1.25,m,18,4
SP40013,D19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,1.25,m,19,4
SP40013,D21,NSC-78502,NSC-78502,1.25,m,21,4
SP40013,D22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),1.25,m,22,4
SP40013,D23,Anisomycin,Anisomycin,1.25,m,23,4
SP40013,D24,Cantharidin,Cantharidin,1.25,m,24,4
SP40013,E03,CAY10398,CAY10398,0.625,m,3,5
SP40013,E04,Brefeldin A,Brefeldin A,0.625,m,4,5
SP40013,E05,Benomyl,Benomyl,0.625,m,5,5
SP40013,E06,Nocodazole,Nocodazole,0.625,m,6,5
SP40013,E07,Griseofulvin,Griseofulvin,0.625,m,7,5
SP40013,E08,Fijianolide,Fijianolide,0.3125,m,8,5
SP40013,E09,Minlanimide C,Minlanimide C,0.625,m,9,5
SP40013,E10,Jasplankinolide,Jasplankinolide,0.3125,m,10,5
SP40013,E11,Latrunculin A,Latrunculin A,0.625,m,11,5
SP40013,E13,Rapamycin,Rapamycin,0.0625,m,13,5
SP40013,E14,Binuclein,Binuclein,0.625,m,14,5
SP40013,E15,Cytochalsin D,Cytochalsin D,0.625,m,15,5
SP40013,E16,Tyrphostin 1,Tyrphostin 1,0.625,m,16,5
SP40013,E17,LY-294002,LY-294002,0.625,m,17,5
SP40013,E18,Wortmanin,Wortmanin,0.625,m,18,5
SP40013,E19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,0.625,m,19,5
SP40013,E21,NSC-78502,NSC-78502,0.625,m,21,5
SP40013,E22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),0.625,m,22,5
SP40013,E23,Anisomycin,Anisomycin,0.625,m,23,5
SP40013,E24,Cantharidin,Cantharidin,0.625,m,24,5
SP40013,F03,CAY10398,CAY10398,0.3125,m,3,6
SP40013,F04,Brefeldin A,Brefeldin A,0.3125,m,4,6
SP40013,F05,Benomyl,Benomyl,0.3125,m,5,6
SP40013,F06,Nocodazole,Nocodazole,0.3125,m,6,6
SP40013,F07,Griseofulvin,Griseofulvin,0.3125,m,7,6
SP40013,F08,Fijianolide,Fijianolide,0.15625,m,8,6
SP40013,F09,Minlanimide C,Minlanimide C,0.3125,m,9,6
SP40013,F10,Jasplankinolide,Jasplankinolide,0.15625,m,10,6
SP40013,F11,Latrunculin A,Latrunculin A,0.3125,m,11,6
SP40013,F13,Rapamycin,Rapamycin,0.03125,m,13,6
SP40013,F14,Binuclein,Binuclein,0.3125,m,14,6
SP40013,F15,Cytochalsin D,Cytochalsin D,0.3125,m,15,6
SP40013,F16,Tyrphostin 1,Tyrphostin 1,0.3125,m,16,6
SP40013,F17,LY-294002,LY-294002,0.3125,m,17,6
SP40013,F18,Wortmanin,Wortmanin,0.3125,m,18,6
SP40013,F19,Z-Leu-Leu-Leu-al,Z-Leu-Leu-Leu-al,0.3125,m,19,6
SP40013,F21,NSC-78502,NSC-78502,0.3125,m,21,6
SP40013,F22,Cycloheximide (NSC-185),Cycloheximide (NSC-185),0.3125,m,22,6
SP40013,F23,Anisomycin,Anisomycin,0.3125,m,23,6
SP40013,F24,Cantharidin,Cantharidin,0.3125,m,24,6
SP40013,G03,CAY10398,CAY10398,0.15625,m,3,7
SP40013,G04,Brefeldin A,Brefeldin A,0.15625,m,4,7
SP40013,G05,Benomyl,Benomyl,0.15625,m,5,7
SP40013,G06,Nocodazole,Nocodazole,0.15625,m,6,7
SP40013,G07,Griseofulvin,Griseofulvin,0.15625,m,7,7
SP40013,G08,Fijianolide,Fijianolide,0.078125,m,8,7
SP40013,G09,Minlanimide C,Minlanimide C,0.15625,m,9,7
SP40013,G10,Jasplankinolide,Jasplankinolide,0.078125,m,10,7
SP40013,G11,Latrunculin A,Latrunculin A,0.15625,m,11,7
