Plate Map,Well,MoleculeID,Volume,Concentration,Unit,Well X,Well Y
SP40014,A03,0888-0007,10,10,m,3,1
SP40014,B03,2360-0174,10,10,m,3,2
SP40014,C03,3335-0318,10,10,m,3,3
SP40014,D03,4138-0248,10,10,m,3,4
SP40014,E03,4408-0546,10,10,m,3,5
SP40014,F03,6049-2039,10,10,m,3,6
SP40014,G03,8010-1800,10,10,m,3,7
SP40014,H03,C614-0101,10,10,m,3,8
SP40014,I03,C785-2695,10,10,m,3,9
SP40014,J03,C700-1459,10,10,m,3,10
SP40014,K03,C857-1979,10,10,m,3,11
SP40014,L03,D011-4143,10,10,m,3,12
SP40014,M03,D041-0029,10,10,m,3,13
SP40014,N03,D053-0411,10,10,m,3,14
SP40014,O03,D090-0007,10,10,m,3,15
SP40014,P03,D101-0366,10,10,m,3,16
SP40014,A04,0828-0274,10,10,m,4,1
SP40014,B04,2360-0373,10,10,m,4,2
SP40014,C04,3382-1048,10,10,m,4,3
SP40014,D04,4340-2786,10,10,m,4,4
SP40014,E04,4896-5329,10,10,m,4,5
SP40014,F04,5901-0031,10,10,m,4,6
SP40014,G04,8002-8174,10,10,m,4,7
SP40014,H04,C614-0188,10,10,m,4,8
SP40014,I04,C785-1839,10,10,m,4,9
SP40014,J04,C712-0197,10,10,m,4,10
SP40014,K04,C867-0055,10,10,m,4,11
SP40014,L04,D011-1076,10,10,m,4,12
SP40014,M04,D038-0117,10,10,m,4,13
SP40014,N04,D054-0047,10,10,m,4,14
SP40014,O04,D094-0013,10,10,m,4,15
SP40014,P04,D144-0048,10,10,m,4,16
SP40014,A05,1482-0220,10,10,m,5,1
SP40014,B05,2491-0780,10,10,m,5,2
SP40014,C05,3454-2875,10,10,m,5,3
SP40014,D05,4340-2835,10,10,m,5,4
SP40014,E05,4817-2924,10,10,m,5,5
SP40014,F05,6028-2821,10,10,m,5,6
SP40014,G05,8012-8386,10,10,m,5,7
SP40014,H05,C614-0102,10,10,m,5,8
SP40014,I05,C791-0733,10,10,m,5,9
SP40014,J05,C712-0204,10,10,m,5,10
SP40014,K05,C875-0476,10,10,m,5,11
SP40014,L05,D011-2681,10,10,m,5,12
SP40014,M05,D051-0109,10,10,m,5,13
SP40014,N05,D054-0135,10,10,m,5,14
SP40014,O05,D093-0011,10,10,m,5,15
SP40014,P05,D144-0599,10,10,m,5,16
SP40014,A06,0175-5256,10,10,m,6,1
SP40014,B06,2712-5122,10,10,m,6,2
SP40014,C06,3497-0027,10,10,m,6,3
SP40014,D06,4237-0107,10,10,m,6,4
SP40014,E06,4909-0125,10,10,m,6,5
SP40014,F06,6143-0016,10,10,m,6,6
SP40014,G06,8017-2844,10,10,m,6,7
SP40014,H06,C614-0191,10,10,m,6,8
SP40014,I06,C786-2643,10,10,m,6,9
SP40014,J06,C712-1325,10,10,m,6,10
SP40014,K06,C880-0135,10,10,m,6,11
SP40014,L06,D011-5401,10,10,m,6,12
SP40014,M06,D046-0021,10,10,m,6,13
SP40014,N06,D064-0362,10,10,m,6,14
SP40014,O06,D083-0075,10,10,m,6,15
SP40014,P06,D127-0052,10,10,m,6,16
SP40014,A07,0266-0161,10,10,m,7,1
SP40014,B07,3076-0014,10,10,m,7,2
SP40014,C07,3544-1012,10,10,m,7,3
SP40014,D07,4260-1021,10,10,m,7,4
SP40014,E07,4789-4017,10,10,m,7,5
SP40014,F07,6111-0001,10,10,m,7,6
SP40014,G07,8018-0752,10,10,m,7,7
SP40014,H07,C614-5626,10,10,m,7,8
SP40014,I07,C795-0080,10,10,m,7,9
SP40014,J07,C724-0473,10,10,m,7,10
SP40014,K07,C890-0089,10,10,m,7,11
SP40014,L07,D034-0010,10,10,m,7,12
SP40014,M07,D053-0060,10,10,m,7,13
SP40014,N07,D064-0215,10,10,m,7,14
SP40014,O07,D090-0020,10,10,m,7,15
SP40014,P07,D130-0016,10,10,m,7,16
SP40014,A08,0828-0287,10,10,m,8,1
SP40014,B08,3076-0348,10,10,m,8,2
SP40014,C08,3553-0784,10,10,m,8,3
SP40014,D08,4340-0653,10,10,m,8,4
SP40014,E08,4896-3080,10,10,m,8,5
SP40014,F08,6177-0401,10,10,m,8,6
SP40014,G08,C066-2880,10,10,m,8,7
SP40014,H08,C627-0001,10,10,m,8,8
SP40014,I08,C794-0102,10,10,m,8,9
SP40014,J08,C712-0225,10,10,m,8,10
SP40014,K08,C889-0082,10,10,m,8,11
SP40014,L08,D034-0034,10,10,m,8,12
SP40014,M08,D048-0103,10,10,m,8,13
SP40014,N08,D064-0390,10,10,m,8,14
SP40014,O08,D090-0124,10,10,m,8,15
SP40014,P08,D144-0346,10,10,m,8,16
SP40014,A09,0665-0129,10,10,m,9,1
SP40014,B09,2920-0026,10,10,m,9,2
SP40014,C09,3553-0253,10,10,m,9,3
SP40014,D09,4340-2758,10,10,m,9,4
SP40014,E09,5122-1770,10,10,m,9,5
SP40014,F09,6177-0420,10,10,m,9,6
SP40014,G09,C200-2085,10,10,m,9,7
SP40014,H09,C651-0018,10,10,m,9,8
SP40014,I09,C794-1235,10,10,m,9,9
SP40014,J09,C796-0441,10,10,m,9,10
SP40014,K09,C909-0409,10,10,m,9,11
SP40014,L09,D034-0013,10,10,m,9,12
SP40014,M09,D052-0044,10,10,m,9,13
SP40014,N09,D064-0300,10,10,m,9,14
SP40014,O09,D090-0022,10,10,m,9,15
SP40014,P09,D127-0096,10,10,m,9,16
SP40014,A10,0665-0132,10,10,m,10,1
SP40014,B10,2806-0142,10,10,m,10,2
SP40014,C10,3573-0045,10,10,m,10,3
SP40014,D10,4237-0451,10,10,m,10,4
SP40014,E10,5122-2632,10,10,m,10,5
SP40014,F10,6364-0117,10,10,m,10,6
SP40014,G10,C206-0494,10,10,m,10,7
SP40014,H10,C614-5694,10,10,m,10,8
SP40014,I10,C684-0077,10,10,m,10,9
SP40014,J10,C849-0874,10,10,m,10,10
SP40014,K10,C918-0303,10,10,m,10,11
SP40014,L10,D011-6001,10,10,m,10,12
SP40014,M10,D048-0313,10,10,m,10,13
SP40014,N10,D064-0446,10,10,m,10,14
SP40014,O10,D093-0004,10,10,m,10,15
SP40014,P10,D140-0012,10,10,m,10,16
SP40014,A11,0469-0692,10,10,m,11,1
SP40014,B11,2808-0743,10,10,m,11,2
SP40014,C11,3647-2319,10,10,m,11,3
SP40014,D11,4183-0040,10,10,m,11,4
SP40014,E11,5008-0031,10,10,m,11,5
SP40014,F11,6603-0051,10,10,m,11,6
SP40014,G11,C206-1048,10,10,m,11,7
SP40014,H11,C618-0813,10,10,m,11,8
SP40014,I11,C683-0184,10,10,m,11,9
SP40014,J11,C849-0879,10,10,m,11,10
SP40014,K11,C918-0316,10,10,m,11,11
SP40014,L11,D025-0017,10,10,m,11,12
SP40014,M11,D050-0069,10,10,m,11,13
SP40014,N11,D064-0304,10,10,m,11,14
SP40014,O11,D090-0039,10,10,m,11,15
SP40014,P11,D139-0338,10,10,m,11,16
SP40014,A12,1935-0137,10,10,m,12,1
SP40014,B12,2921-0029,10,10,m,12,2
SP40014,C12,3701-0192,10,10,m,12,3
SP40014,D12,4223-6853,10,10,m,12,4
SP40014,E12,4986-0580,10,10,m,12,5
SP40014,F12,6526-0210,10,10,m,12,6
SP40014,G12,C206-0962,10,10,m,12,7
SP40014,H12,C651-0085,10,10,m,12,8
SP40014,I12,C679-6201,10,10,m,12,9
SP40014,J12,C849-0756,10,10,m,12,10
SP40014,K12,C908-0147,10,10,m,12,11
SP40014,L12,D031-0066,10,10,m,12,12
SP40014,M12,D050-0091,10,10,m,12,13
SP40014,N12,D064-0116,10,10,m,12,14
SP40014,O12,D090-0087,10,10,m,12,15
SP40014,P12,D151-0855,10,10,m,12,16
SP40014,A13,1630-0698,10,10,m,13,1
SP40014,B13,3002-1341,10,10,m,13,2
SP40014,C13,3643-2592,10,10,m,13,3
SP40014,D13,4408-0549,10,10,m,13,4
SP40014,E13,5237-1490,10,10,m,13,5
SP40014,F13,6526-0901,10,10,m,13,6
SP40014,G13,C301-1498,10,10,m,13,7
