Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,A03,AF.51-01,AF.51-01,-1,m,3,1
Lokey-JAS-01 & AF01,SP40179,A05,1NMe3,1NMe3,15,m,5,1,75
Lokey-JAS-01 & AF01,SP40179,A06,L2T,L2T,15,m,6,1,75
Lokey-JAS-01 & AF01,SP40179,A07,L3T,L3T,15,m,7,1,75
Lokey-JAS-01 & AF01,SP40179,A08,L4T,L4T,15,m,8,1,75
Lokey-JAS-01 & AF01,SP40179,A09,L3T',L3T',15,m,9,1,75
Lokey-JAS-01 & AF01,SP40179,A10,PaAc,PaAc,15,m,10,1,75
Lokey-JAS-01 & AF01,SP40179,A11,JLT5,JLT5,15,m,11,1,75
Lokey-JAS-01 & AF01,SP40179,A12,JLT6,JLT6,15,m,12,1,75
Lokey-JAS-01 & AF01,SP40179,A13,JLT7,JLT7,15,m,13,1,75
Lokey-JAS-01 & AF01,SP40179,A14,Src707,Src707,15,m,14,1,75
Lokey-JAS-01 & AF01,SP40179,A15,Src997,Src997,15,m,15,1,75
Lokey-JAS-01 & AF01,SP40179,A16,L2N,L2N,15,m,16,1,75
Lokey-JAS-01 & AF01,SP40179,A17,L3N,L3N,15,m,17,1,75
Lokey-JAS-01 & AF01,SP40179,A18,Y6N,Y6N,15,m,18,1,75
Lokey-JAS-01 & AF01,SP40179,A19,L2L3N,L2L3N,15,m,19,1,75
Lokey-JAS-01 & AF01,SP40179,A20,L3Y6N,L3Y6N,15,m,20,1,75
Lokey-JAS-01 & AF01,SP40179,A21,L2L3Y6N,L2L3Y6N,15,m,21,1,75
Lokey-JAS-01 & AF01,SP40179,A22,CSA-BmtToLeu,CSA-BmtToLeu,15,m,22,1,75
Lokey-JAS-01 & AF01,SP40179,B03,AF.51-02,AF.51-02,-1,m,3,2
Lokey-JAS-01 & AF01,SP40179,B05,1Nme3,1Nme3,7.5,m,5,2,37.5
Lokey-JAS-01 & AF01,SP40179,B06,L2T,L2T,7.5,m,6,2,37.5
Lokey-JAS-01 & AF01,SP40179,B07,L3T,L3T,7.5,m,7,2,37.5
Lokey-JAS-01 & AF01,SP40179,B08,L4T,L4T,7.5,m,8,2,37.5
Lokey-JAS-01 & AF01,SP40179,B09,L3T',L3T',7.5,m,9,2,37.5
Lokey-JAS-01 & AF01,SP40179,B10,PaAc,PaAc,7.5,m,10,2,37.5
Lokey-JAS-01 & AF01,SP40179,B11,JLT5,JLT5,7.5,m,11,2,37.5
Lokey-JAS-01 & AF01,SP40179,B12,JLT6,JLT6,7.5,m,12,2,37.5
Lokey-JAS-01 & AF01,SP40179,B13,JLT7,JLT7,7.5,m,13,2,37.5
Lokey-JAS-01 & AF01,SP40179,B14,Src707,Src707,7.5,m,14,2,37.5
Lokey-JAS-01 & AF01,SP40179,B15,Src997,Src997,7.5,m,15,2,37.5
Lokey-JAS-01 & AF01,SP40179,B16,L2N,L2N,7.5,m,16,2,37.5
Lokey-JAS-01 & AF01,SP40179,B17,L3N,L3N,7.5,m,17,2,37.5
Lokey-JAS-01 & AF01,SP40179,B18,Y6N,Y6N,7.5,m,18,2,37.5
Lokey-JAS-01 & AF01,SP40179,B19,L2L3N,L2L3N,7.5,m,19,2,37.5
Lokey-JAS-01 & AF01,SP40179,B20,L3Y6N,L3Y6N,7.5,m,20,2,37.5
Lokey-JAS-01 & AF01,SP40179,B21,L2L3Y6N,L2L3Y6N,7.5,m,21,2,37.5
Lokey-JAS-01 & AF01,SP40179,B22,CSA-BmtToLeu,CSA-BmtToLeu,7.5,m,22,2,37.5
Lokey-JAS-01 & AF01,SP40179,C03,AF.51-03,AF.51-03,-1,m,3,3
Lokey-JAS-01 & AF01,SP40179,C05,1NMe3,1NMe3,3.75,m,5,3,18.75
Lokey-JAS-01 & AF01,SP40179,C06,L2T,L2T,3.75,m,6,3,18.75
Lokey-JAS-01 & AF01,SP40179,C07,L3T,L3T,3.75,m,7,3,18.75
Lokey-JAS-01 & AF01,SP40179,C08,L4T,L4T,3.75,m,8,3,18.75
Lokey-JAS-01 & AF01,SP40179,C09,L3T',L3T',3.75,m,9,3,18.75
Lokey-JAS-01 & AF01,SP40179,C10,PaAc,PaAc,3.75,m,10,3,18.75
Lokey-JAS-01 & AF01,SP40179,C11,JLT5,JLT5,3.75,m,11,3,18.75
Lokey-JAS-01 & AF01,SP40179,C12,JLT6,JLT6,3.75,m,12,3,18.75
Lokey-JAS-01 & AF01,SP40179,C13,JLT7,JLT7,3.75,m,13,3,18.75
Lokey-JAS-01 & AF01,SP40179,C14,Src707,Src707,3.75,m,14,3,18.75
Lokey-JAS-01 & AF01,SP40179,C15,Src997,Src997,3.75,m,15,3,18.75
Lokey-JAS-01 & AF01,SP40179,C16,L2N,L2N,3.75,m,16,3,18.75
Lokey-JAS-01 & AF01,SP40179,C17,L3N,L3N,3.75,m,17,3,18.75
Lokey-JAS-01 & AF01,SP40179,C18,Y6N,Y6N,3.75,m,18,3,18.75
Lokey-JAS-01 & AF01,SP40179,C19,L2L3N,L2L3N,3.75,m,19,3,18.75
Lokey-JAS-01 & AF01,SP40179,C20,L3Y6N,L3Y6N,3.75,m,20,3,18.75
Lokey-JAS-01 & AF01,SP40179,C21,L2L3Y6N,L2L3Y6N,3.75,m,21,3,18.75
Lokey-JAS-01 & AF01,SP40179,C22,CSA-BmtToLeu,CSA-BmtToLeu,3.75,m,22,3,18.75
Lokey-JAS-01 & AF01,SP40179,D03,AF.51-04,AF.51-04,-1,m,3,4
Lokey-JAS-01 & AF01,SP40179,D05,1NMe3,1NMe3,1.875,m,5,4,9.375
Lokey-JAS-01 & AF01,SP40179,D06,L2T,L2T,1.875,m,6,4,9.375
Lokey-JAS-01 & AF01,SP40179,D07,L3T,L3T,1.875,m,7,4,9.375
Lokey-JAS-01 & AF01,SP40179,D08,L4T,L4T,1.875,m,8,4,9.375
Lokey-JAS-01 & AF01,SP40179,D09,L3T',L3T',1.875,m,9,4,9.375
Lokey-JAS-01 & AF01,SP40179,D10,PaAc,PaAc,1.875,m,10,4,9.375
Lokey-JAS-01 & AF01,SP40179,D11,JLT5,JLT5,1.875,m,11,4,9.375
Lokey-JAS-01 & AF01,SP40179,D12,JLT6,JLT6,1.875,m,12,4,9.375
Lokey-JAS-01 & AF01,SP40179,D13,JLT7,JLT7,1.875,m,13,4,9.375
Lokey-JAS-01 & AF01,SP40179,D14,Src707,Src707,1.875,m,14,4,9.375
Lokey-JAS-01 & AF01,SP40179,D15,Src997,Src997,1.875,m,15,4,9.375
Lokey-JAS-01 & AF01,SP40179,D16,L2N,L2N,1.875,m,16,4,9.375
Lokey-JAS-01 & AF01,SP40179,D17,L3N,L3N,1.875,m,17,4,9.375
Lokey-JAS-01 & AF01,SP40179,D18,Y6N,Y6N,1.875,m,18,4,9.375
Lokey-JAS-01 & AF01,SP40179,D19,L2L3N,L2L3N,1.875,m,19,4,9.375
Lokey-JAS-01 & AF01,SP40179,D20,L3Y6N,L3Y6N,1.875,m,20,4,9.375
Lokey-JAS-01 & AF01,SP40179,D21,L2L3Y6N,L2L3Y6N,1.875,m,21,4,9.375
Lokey-JAS-01 & AF01,SP40179,D22,CSA-BmtToLeu,CSA-BmtToLeu,1.875,m,22,4,9.375
Lokey-JAS-01 & AF01,SP40179,E03,AF.51-05,AF.51-05,-1,m,3,5
Lokey-JAS-01 & AF01,SP40179,E05,1NMe3,1NMe3,0.9375,m,5,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E06,L2T,L2T,0.9375,m,6,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E07,L3T,L3T,0.9375,m,7,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E08,L4T,L4T,0.9375,m,8,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E09,L3T',L3T',0.9375,m,9,5,4.6875
