96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y,SMILES
RSL Repository 001,Plate 1,A02,RSL_384001,SP40186,A03,1NMe3-perNH-23Ala6F,1NMe3-perNH-23Ala6F,15,m,3,1,O=C([C@H](C)NC([C@H]1C)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C(O1)=O)=O)=O)=O
RSL Repository 002,Plate 2,A02,RSL_384001,SP40186,A04,HA'*-14L2NMe6DAla,HA'*-14L2NMe6DAla,15,m,4,1,O=C([C@H](CC1=CC=CC=C1)OC([C@@H](C)N2C)=O)N[C@@H]([C@@H](C)CC)C(N(C)CC(N(C)[C@@H](CC3=CC=CC=C3)C(N[C@@H]([C@@H](C)CC)C2=O)=O)=O)=O
RSL Repository 001,Plate 1,A03,RSL_384001,SP40186,A05,1NMe3-perNH-2Abu3Ala6F,1NMe3-perNH-2Abu3Ala6F,15,m,5,1,O=C([C@H](C)NC([C@@H](CC)N1)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A03,RSL_384001,SP40186,A06,HA'*-14L2NMe6LAla,HA'*-14L2NMe6LAla,15,m,6,1,O=C([C@H](CC1=CC=CC=C1)OC([C@H](C)N2C)=O)N[C@@H]([C@@H](C)CC)C(N(C)CC(N(C)[C@@H](CC3=CC=CC=C3)C(N[C@@H]([C@@H](C)CC)C2=O)=O)=O)=O
RSL Repository 001,Plate 1,A04,RSL_384001,SP40186,A07,1NMe3-perNH-23Abu6F,1NMe3-perNH-23Abu6F,15,m,7,1,O=C([C@H](CC)NC([C@@H](CC)N1)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A04,RSL_384001,SP40186,A08,DD-02lin,DD-02lin,15,m,8,1,O=C(O[C@H](C)[C@H](NC([C@@H](N(C)C([C@H]1N(C(C)=O)CCC1)=O)CC(C)C)=O)C(N[C@@H](CC(C)C)C(N(C)[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@H](CC(C)C)C(O)=O)=O)=O)=O)=O)[C@H]2NCCC2
RSL Repository 001,Plate 1,A05,RSL_384001,SP40186,A09,1NMe3-23Ala6F,1NMe3-23Ala6F,15,m,9,1,O=C([C@H](C)N(C)C([C@@H](C)N1C)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N(C)[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A05,RSL_384001,SP40186,A10,ExB(Nme)lin,ExB(Nme)lin,15,m,10,1,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)C(O)=O)=O)[C@H](CC(C)C)NC([C@H]3N(CCC3)C([C@H](CC(C)C)N(C)C([C@H]4NCCC4)=O)=O)=O
RSL Repository 001,Plate 1,A06,RSL_384001,SP40186,A11,1NMe3-perNH-3Abu6F,1NMe3-perNH-3Abu6F,15,m,11,1,O=C([C@H](CC)NC([C@@H](CC(C)C)N1)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A06,RSL_384001,SP40186,A12,DD-03lin,DD-03lin,15,m,12,1,O=C(O[C@H](C)[C@H](NC([C@@H](N(C)C([C@H]1N(C(C)=O)CCC1)=O)CC(C)C)=O)C(N[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(O)=O)=O)=O)=O)=O)[C@H]2NCCC2
RSL Repository 001,Plate 1,A07,RSL_384001,SP40186,A13,1NMe-2Abu6F,1NMe-2Abu6F,15,m,13,1,O=C([C@H](CC(C)C)N(C)C([C@@H](CC)N1C)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N(C)[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A07,RSL_384001,SP40186,A14,Gliotide(TBS;Bn),Gliotide(TBS;Bn),15,m,14,1,O=C(N[C@H](CC1=CC=C(O[Si](C)(C(C)(C)C)C)C=C1)C(N[C@@H](C)C(N[C@H](CC2=CC=C(OCC3=CC=CC=C3)C=C2)C(O[C@@H](CC4=CC=CC=C4)C(N[C@@H]5C)=O)=O)=O)=O)CNC5=O
RSL Repository 001,Plate 1,A08,RSL_384001,SP40186,A15,1NMe3-23Abu6F,1NMe3-23Abu6F,15,m,15,1,O=C([C@H](CC)N(C)C([C@@H](CC)N1C)=O)N[C@@H](CC(C)C)C(N2[C@H](CCC2)C(N(C)[C@@H](CC3=CC=CC=C3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A08,RSL_384001,SP40186,A16,DD-01lin,DD-01lin,15,m,16,1,O=C(O[C@H](C)[C@H](NC([C@@H](N(C)C([C@H]1N(C(C)=O)CCC1)=O)CC(C)C)=O)C(N[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@H](CC(C)C)C(O)=O)=O)=O)=O)=O)[C@H]2NCCC2
RSL Repository 001,Plate 1,A09,RSL_384001,SP40186,A17,1NMe3-perNH-5F6Pro,1NMe3-perNH-5F6Pro,15,m,17,1,O=C([C@H](CC(C)C)NC([C@@H](CC(C)C)N1)=O)N[C@@H](CC(C)C)C(N[C@H](CC2=CC=CC=C2)C(N3[C@@H](CCC3)C(N[C@@H](CC(C)C)C1=O)=O)=O)=O
RSL Repository 002,Plate 2,A09,RSL_384001,SP40186,A18,1NMe3,1NMe3,15,m,18,1,CN1[C@H](C(N[C@@H](CC(C)C)C(N(C)[C@H](CC(C)C)C(N(C)[C@H](C(N[C@@H](CC(C)C)C(N2CCC[C@@H]2C1=O)=O)=O)CC(C)C)=O)=O)=O)CC3=CC=C(C=C3)O
RSL Repository 001,Plate 1,A10,RSL_384001,SP40186,A19,PhepC-2Me,PhepC-2Me,15,m,19,1,O=C([C@H](CC(C)C)NC([C@H]([C@@H](C)CC)N1)=O)N(C)[C@@H](C(N2CCC[C@H]2C(N[C@@H](CC(C)C)C(N[C@H](CC(C)C)C1=O)=O)=O)=O)CC3=CC=CC=C3
RSL Repository 002,Plate 2,A10,RSL_384001,SP40186,A20,L1t,L1t,15,m,20,1,O=C([C@@]([C@@H](C)O)([H])NC([C@@H]1CC(C=C2)=CC=C2O)=O)N(C)[C@H](CC(C)C)C(N(C)[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N3CCC[C@@H]3C(N1C)=O)=O)=O)=O
RSL Repository 001,Plate 1,A11,RSL_384001,SP40186,A21,1NMe3-perNH-36F,1NMe3-perNH-36F,15,m,21,1,O=C([C@H](CC1=CC=CC=C1)NC([C@@H](CC(C)C)N2)=O)N[C@@H](CC(C)C)C(N3[C@H](CCC3)C(N[C@@H](CC4=CC=CC=C4)C(N[C@@H](CC(C)C)C2=O)=O)=O)=O
RSL Repository 002,Plate 2,A11,RSL_384001,SP40186,A22,L4T,L4T,15,m,22,1,O=C([C@H](CC(C)C)NC([C@@H]1CC(C=C2)=CC=C2O)=O)N(C)[C@H](CC(C)C)C(N(C)[C@@H](CC(C)C)C(N[C@]([C@H](O)C)([H])C(N3CCC[C@@H]3C(N1C)=O)=O)=O)=O
RSL Repository 003,Plate 3,A02,RSL_384001,SP40186,B03,755-8,755-8,15,m,3,2,O=C([C@@H](CCC1)N1C([C@H](CC(C)C)N(C)C([C@@H](CC(C)C)N2C)=O)=O)N[C@@H](CC3=CC=C(O)C=C3)C(N[C@H](CC(C)C)C(N(C)[C@H](CC(C)C)C2=O)=O)=O
RSL Repository 003,Plate 3,A03,RSL_384001,SP40186,B05,L3Y,L3Y,15,m,5,2,O=C([C@H](CC(C)C)NC([C@@]([C@@H](C)CC)([H])N1)=O)N[C@@H](C(N2CCC[C@@H]2C(N[C@H](C(N[C@H](CC3=CC=C(O)C=C3)C1=O)=O)CC4=CC=CC=C4)=O)=O)CC5=CC=CC=C5
RSL Repository 003,Plate 3,A04,RSL_384001,SP40186,B07,L3A,L3A,15,m,7,2,O=C([C@H](CC(C)C)NC([C@@]([C@@H](C)CC)([H])N1)=O)N[C@@H](C(N2CCC[C@@H]2C(N[C@H](C(N[C@H](C)C1=O)=O)CC3=CC=CC=C3)=O)=O)CC4=CC=CC=C4
RSL Repository 003,Plate 3,A05,RSL_384001,SP40186,B09,F6A,F6A,15,m,9,2,O=C([C@H](CC(C)C)NC([C@@]([C@@H](C)CC)([H])N1)=O)N[C@@H](C(N2CCC[C@@H]2C(N[C@H](C(N[C@H](CC(C)C)C1=O)=O)CC3=CC=CC=C3)=O)=O)C
RSL Repository 003,Plate 3,A06,RSL_384001,SP40186,B11,L5A,L5A,15,m,11,2,C[C@@H](C(N[C@@H](C(N1CCC[C@@H]1C(N[C@H](C(N[C@H](CC(C)C)C2=O)=O)CC3=CC=CC=C3)=O)=O)CC4=CC=CC=C4)=O)NC([C@@]([C@@H](C)CC)([H])N2)=O
RSL Repository 003,Plate 3,A07,RSL_384001,SP40186,B13,14303,14303,15,m,13,2,O=C([C@@H](CCC1)N1C([C@H](CC2=CC=C(O)C=C2)N(C)C([C@@H](CC(C)C)N(C)C([C@H](CC(C)C)N(C)C([C@@H](CC(C)C)N3C)=O)=O)=O)=O)N(C)[C@H](CC(C)C)C(N(C)[C@@H](CC(C)C)C(N(C)[C@H](CC(C)C)C3=O)=O)=O
RSL Repository 003,Plate 3,A08,RSL_384001,SP40186,B15,14303-L(5;6)A,14303-L(5;6)A,15,m,15,2,O=C(N([C@@H](C(N([C@H](C(N([C@@H](C1=O)CC(C)C)C)=O)C)C)=O)C)C)[C@H]2CCCN2C([C@@H](N(C([C@H](N(C([C@@H](N(C([C@H](N1C)CC(C)C)=O)C)CC(C)C)=O)C)CC(C)C)=O)C)CC3=CC=C(C=C3)O)=O
RSL Repository 003,Plate 3,A09,RSL_384001,SP40186,B17,755-1,755-1,15,m,17,2,O=C([C@@H](CCC1)N1C([C@H](CC(C)C)N(C)C([C@@H](CC(C)C)N2C)=O)=O)N[C@@H](CC3=CC=C(O)C=C3)C(N(C)[C@H](CC(C)C)C(N[C@@H](CC(C)C)C2=O)=O)=O
