Plate Map,Well,MoleculeID,Concentration,Unit
SP90031,A02,10001 XFH,-1,m
SP90031,A04,10001 XFD,-1,m
SP90031,A06,10001 XFM,-1,m
SP90031,A08,10001 WW,-1,m
SP90031,A10,10006 XFH,-1,m
SP90031,A12,10006 XFD,-1,m
SP90031,A14,10006 XFM,-1,m
SP90031,A16,10006 WW,-1,m
SP90031,A18,10008 XFH,-1,m
SP90031,A20,10008 XFD,-1,m
SP90031,A22,10008 XFM,-1,m
SP90031,A24,10008 WW,-1,m
SP90031,C02,10010 XFH,-1,m
SP90031,C04,10010 XFD,-1,m
SP90031,C06,10010 XFM,-1,m
SP90031,C08,10010 WW,-1,m
SP90031,C10,10012 XFH,-1,m
SP90031,C12,10012 XFD,-1,m
SP90031,C14,10012 XFM,-1,m
SP90031,C16,10012 WW,-1,m
SP90031,C18,10014 XFH,-1,m
SP90031,C20,10014 XFD,-1,m
SP90031,C22,10014 XFM,-1,m
SP90031,C24,10014 WW,-1,m
SP90031,E02,10018 XFH,-1,m
SP90031,E04,10018 XFD,-1,m
SP90031,E06,10018 XFM,-1,m
SP90031,E08,10018 WW,-1,m
SP90031,E10,10022 XFH,-1,m
SP90031,E12,10022 XFD,-1,m
SP90031,E14,10022 XFM,-1,m
SP90031,E16,10022 WW,-1,m
SP90031,E18,10011 XFH,-1,m
SP90031,E20,10011 XFD,-1,m
SP90031,E22,10011 XFM,-1,m
SP90031,E24,10011 W,-1,m
SP90031,G02,10016 XFH,-1,m
SP90031,G04,10016 XFD,-1,m
SP90031,G06,10016 XFM,-1,m
SP90031,G08,10016 W,-1,m
SP90031,G10,10020 XFH,-1,m
SP90031,G12,10020 XFD,-1,m
SP90031,G14,10020 XFM,-1,m
SP90031,G16,10020 W,-1,m
SP90031,G18,10021 XFH,-1,m
SP90031,G20,10021 XFD,-1,m
SP90031,G22,10021 XFM,-1,m
SP90031,I02,10004 XFH,-1,m
SP90031,I04,10004 XFD,-1,m
SP90031,I06,10004 XFM,-1,m
SP90031,I08,10004 W,-1,m
SP90031,I10,10009 XFH,-1,m
SP90031,I12,10009 XFD,-1,m
SP90031,I14,10009 XFM,-1,m
SP90031,I16,10009 W,-1,m
SP90031,I18,10003 XFH,-1,m
SP90031,I20,10003 XFD,-1,m
SP90031,I22,10003 XFM,-1,m
SP90031,I24,10003 W,-1,m
SP90031,K02,10005 XFH,-1,m
SP90031,K04,10005 XFD,-1,m
SP90031,K06,10005 XFM,-1,m
SP90031,K08,10005 W,-1,m
SP90031,K18,10013 XFH,-1,m
SP90031,K20,10013 XFD,-1,m
SP90031,K22,10013 XFM,-1,m
SP90031,K24,10013 W,-1,m
SP90031,M02,10015 XFH,-1,m
SP90031,M04,10015 XFD,-1,m
SP90031,M06,10015 XFM,-1,m
SP90031,M10,10017 XFH,-1,m
SP90031,M12,10017 XFD,-1,m
SP90031,M14,10017 XFM,-1,m
SP90031,M16,10017 W,-1,m
SP90031,M18,10019 XFH,-1,m
SP90031,M20,10019 XFD,-1,m
SP90031,M22,10019 XFM,-1,m
SP90031,M24,10019 W,-1,m
SP90031,O02,10023 XFH,-1,m
SP90031,O04,10023 XFD,-1,m
SP90031,O06,10023 XFM,-1,m
SP90031,O08,10023 W,-1,m
SP90031,O22,10015 WA,-1,m
SP90031,O24,10015 WB,-1,m
