Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP90088,A03,24L2-FT,24L2-FT,500,m,3,1
SP90088,A04,24L1P-B40,24L1P-B40,100,m,4,1
SP90088,A05,24L2-FT,24L2-FT,166.6666667,m,5,1
SP90088,A06,24L1P-B40,24L1P-B40,33.33333333,m,6,1
SP90088,A07,24L2-FT,24L2-FT,55.55555556,m,7,1
SP90088,A08,24L1P-B40,24L1P-B40,11.11111111,m,8,1
SP90088,A09,24L2-FT,24L2-FT,18.51851852,m,9,1
SP90088,A10,24L1P-B40,24L1P-B40,3.703703704,m,10,1
SP90088,A11,24L2-FT,24L2-FT,6.172839506,m,11,1
SP90088,A12,24L1P-B40,24L1P-B40,1.234567901,m,12,1
SP90088,A13,24L2-B80,24L2-B80,100,m,13,1
SP90088,A14,HMM*-B0,HMM*-B0,200,m,14,1
SP90088,A15,24L2-B80,24L2-B80,33.33333333,m,15,1
SP90088,A16,HMM*-B0,HMM*-B0,66.66666667,m,16,1
SP90088,A17,24L2-B80,24L2-B80,11.11111111,m,17,1
SP90088,A18,HMM*-B0,HMM*-B0,22.22222222,m,18,1
SP90088,A19,24L2-B80,24L2-B80,3.703703704,m,19,1
SP90088,A20,HMM*-B0,HMM*-B0,7.407407407,m,20,1
SP90088,A21,24L2-B80,24L2-B80,1.234567901,m,21,1
SP90088,A22,HMM*-B0,HMM*-B0,2.469135802,m,22,1
SP90088,B03,24L2-FT,24L2-FT,500,m,3,2
SP90088,B04,24L1P-B40,24L1P-B40,100,m,4,2
SP90088,B05,24L2-FT,24L2-FT,166.6666667,m,5,2
SP90088,B06,24L1P-B40,24L1P-B40,33.33333333,m,6,2
SP90088,B07,24L2-FT,24L2-FT,55.55555556,m,7,2
SP90088,B08,24L1P-B40,24L1P-B40,11.11111111,m,8,2
SP90088,B09,24L2-FT,24L2-FT,18.51851852,m,9,2
SP90088,B10,24L1P-B40,24L1P-B40,3.703703704,m,10,2
SP90088,B11,24L2-FT,24L2-FT,6.172839506,m,11,2
SP90088,B12,24L1P-B40,24L1P-B40,1.234567901,m,12,2
SP90088,B13,24L2-B80,24L2-B80,100,m,13,2
SP90088,B14,HMM*-B0,HMM*-B0,200,m,14,2
SP90088,B15,24L2-B80,24L2-B80,33.33333333,m,15,2
SP90088,B16,HMM*-B0,HMM*-B0,66.66666667,m,16,2
SP90088,B17,24L2-B80,24L2-B80,11.11111111,m,17,2
SP90088,B18,HMM*-B0,HMM*-B0,22.22222222,m,18,2
SP90088,B19,24L2-B80,24L2-B80,3.703703704,m,19,2
SP90088,B20,HMM*-B0,HMM*-B0,7.407407407,m,20,2
SP90088,B21,24L2-B80,24L2-B80,1.234567901,m,21,2
SP90088,B22,HMM*-B0,HMM*-B0,2.469135802,m,22,2
SP90088,C03,24L2-FT,24L2-FT,500,m,3,3
SP90088,C04,24L1P-B40,24L1P-B40,100,m,4,3
SP90088,C05,24L2-FT,24L2-FT,166.6666667,m,5,3
SP90088,C06,24L1P-B40,24L1P-B40,33.33333333,m,6,3
SP90088,C07,24L2-FT,24L2-FT,55.55555556,m,7,3
SP90088,C08,24L1P-B40,24L1P-B40,11.11111111,m,8,3
SP90088,C09,24L2-FT,24L2-FT,18.51851852,m,9,3
SP90088,C10,24L1P-B40,24L1P-B40,3.703703704,m,10,3
SP90088,C11,24L2-FT,24L2-FT,6.172839506,m,11,3
SP90088,C12,24L1P-B40,24L1P-B40,1.234567901,m,12,3
SP90088,C13,24L2-B80,24L2-B80,100,m,13,3
SP90088,C14,HMM*-B0,HMM*-B0,200,m,14,3
SP90088,C15,24L2-B80,24L2-B80,33.33333333,m,15,3
SP90088,C16,HMM*-B0,HMM*-B0,66.66666667,m,16,3
SP90088,C17,24L2-B80,24L2-B80,11.11111111,m,17,3
SP90088,C18,HMM*-B0,HMM*-B0,22.22222222,m,18,3
SP90088,C19,24L2-B80,24L2-B80,3.703703704,m,19,3
SP90088,C20,HMM*-B0,HMM*-B0,7.407407407,m,20,3
SP90088,C21,24L2-B80,24L2-B80,1.234567901,m,21,3
SP90088,C22,HMM*-B0,HMM*-B0,2.469135802,m,22,3
SP90088,D03,24L2-B0,24L2-B0,200,m,3,4
SP90088,D04,24L1P-B60,24L1P-B60,50,m,4,4
SP90088,D05,24L2-B0,24L2-B0,66.66666667,m,5,4
SP90088,D06,24L1P-B60,24L1P-B60,16.66666667,m,6,4
SP90088,D07,24L2-B0,24L2-B0,22.22222222,m,7,4
SP90088,D08,24L1P-B60,24L1P-B60,5.555555556,m,8,4
SP90088,D09,24L2-B0,24L2-B0,7.407407407,m,9,4
SP90088,D10,24L1P-B60,24L1P-B60,1.851851852,m,10,4
SP90088,D11,24L2-B0,24L2-B0,2.469135802,m,11,4
SP90088,D12,24L1P-B60,24L1P-B60,0.617283951,m,12,4
SP90088,D13,24L2-B100,24L2-B100,100,m,13,4
SP90088,D14,HMM*-B20,HMM*-B20,200,m,14,4
SP90088,D15,24L2-B100,24L2-B100,33.33333333,m,15,4
SP90088,D16,HMM*-B20,HMM*-B20,66.66666667,m,16,4
SP90088,D17,24L2-B100,24L2-B100,11.11111111,m,17,4
SP90088,D18,HMM*-B20,HMM*-B20,22.22222222,m,18,4
SP90088,D19,24L2-B100,24L2-B100,3.703703704,m,19,4
SP90088,D20,HMM*-B20,HMM*-B20,7.407407407,m,20,4
SP90088,D21,24L2-B100,24L2-B100,1.234567901,m,21,4
SP90088,D22,HMM*-B20,HMM*-B20,2.469135802,m,22,4
SP90088,E03,24L2-B0,24L2-B0,200,m,3,5
SP90088,E04,24L1P-B60,24L1P-B60,50,m,4,5
SP90088,E05,24L2-B0,24L2-B0,66.66666667,m,5,5
SP90088,E06,24L1P-B60,24L1P-B60,16.66666667,m,6,5
SP90088,E07,24L2-B0,24L2-B0,22.22222222,m,7,5
SP90088,E08,24L1P-B60,24L1P-B60,5.555555556,m,8,5
