96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 1,A02,Amagata Dilution 01,SP90104,A03,130111_20%_15M,130111_20%_15M,50,m,3,1
,Plate 2,A02,Amagata Dilution 01,SP90104,A04,130111_20%_16M,130111_20%_16M,50,m,4,1
,Plate 1,A03,Amagata Dilution 01,SP90104,A05,130111_20%_17M,130111_20%_17M,50,m,5,1
,Plate 2,A03,Amagata Dilution 01,SP90104,A06,130111_80%_21M,130111_80%_21M,50,m,6,1
,Plate 1,A04,Amagata Dilution 01,SP90104,A07,130111_80%_22M,130111_80%_22M,50,m,7,1
,Plate 2,A04,Amagata Dilution 01,SP90104,A08,130111_100%_21M,130111_100%_21M,50,m,8,1
,Plate 1,A05,Amagata Dilution 01,SP90104,A09,130111_100%_22M,130111_100%_22M,50,m,9,1
,Plate 2,A05,Amagata Dilution 01,SP90104,A10,130111_40%_19M,130111_40%_19M,50,m,10,1
,Plate 1,A06,Amagata Dilution 01,SP90104,A11,130111_40%_20M,130111_40%_20M,50,m,11,1
,Plate 2,A06,Amagata Dilution 01,SP90104,A12,110962A,110962A,50,m,12,1
,Plate 2,A07,Amagata Dilution 01,SP90104,A14,110921,110921,50,m,14,1
,Plate 1,A09,Amagata Dilution 01,SP90104,A17,130123,130123,50,m,17,1
,Plate 2,A09,Amagata Dilution 01,SP90104,A18,111617,111617,50,m,18,1
,Plate 1,A10,Amagata Dilution 01,SP90104,A19,110208,110208,50,m,19,1
,Plate 2,A10,Amagata Dilution 01,SP90104,A20,908169,908169,50,m,20,1
,Plate 1,A11,Amagata Dilution 01,SP90104,A21,130208,130208,50,m,21,1
,Plate 2,A11,Amagata Dilution 01,SP90104,A22,90934,90934,50,m,22,1
,Plate 3,A02,Amagata Dilution 01,SP90104,B03,130111_20%_15M,130111_20%_15M,25,m,3,2
,Plate 4,A02,Amagata Dilution 01,SP90104,B04,130111_20%_16M,130111_20%_16M,25,m,4,2
,Plate 3,A03,Amagata Dilution 01,SP90104,B05,130111_20%_17M,130111_20%_17M,25,m,5,2
,Plate 4,A03,Amagata Dilution 01,SP90104,B06,130111_80%_21M,130111_80%_21M,25,m,6,2
,Plate 3,A04,Amagata Dilution 01,SP90104,B07,130111_80%_22M,130111_80%_22M,25,m,7,2
,Plate 4,A04,Amagata Dilution 01,SP90104,B08,130111_100%_21M,130111_100%_21M,25,m,8,2
,Plate 3,A05,Amagata Dilution 01,SP90104,B09,130111_100%_22M,130111_100%_22M,25,m,9,2
,Plate 4,A05,Amagata Dilution 01,SP90104,B10,130111_40%_19M,130111_40%_19M,25,m,10,2
,Plate 3,A06,Amagata Dilution 01,SP90104,B11,130111_40%_20M,130111_40%_20M,25,m,11,2
,Plate 4,A06,Amagata Dilution 01,SP90104,B12,110962A,110962A,25,m,12,2
,Plate 4,A07,Amagata Dilution 01,SP90104,B14,110921,110921,25,m,14,2
,Plate 3,A09,Amagata Dilution 01,SP90104,B17,130123,130123,25,m,17,2
,Plate 4,A09,Amagata Dilution 01,SP90104,B18,111617,111617,25,m,18,2
,Plate 3,A10,Amagata Dilution 01,SP90104,B19,110208,110208,25,m,19,2
