Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
EI-126,Dexamethasone,392.5,5-A09,5,Plate 1,A09,EnzoICCB2,SP0128,A17,ICCB Known Bioactives Library,2.5480232308374,Nuclear receptor ligands:  corticosteroid,DMSO,2840,Dexamethasone - Nuclear receptor ligands - corticosteroid
GR-311,Mitomycin C,334.3,5-H05,5,Plate 1,H05,EnzoICCB2,SP0128,O09,ICCB Known Bioactives Library,2.99108179053335,Inhibitors:  cross links DNA,DMSO,2840,Mitomycin C - Inhibitors - cross links DNA
CC-103,Methotrexate,424.5,5-H02,5,Plate 1,H02,EnzoICCB2,SP0128,O03,ICCB Known Bioactives Library,2.35595458096521,CNS receptor ligands:  DHFR inhibitor,DMSO,2840,Methotrexate - CNS receptor ligands - DHFR inhibitor
EI-270,Rottlerin,516.5,6-C11,6,Plate 2,C11,EnzoICCB2,SP0128,E22,ICCB Known Bioactives Library,1.93596411496916,Kinase inhibitors:  PKC delta inhibitor,DMSO,2840,Rottlerin - Kinase inhibitors - PKC delta inhibitor
A-230,Decoyinine,279.3,5-A06,5,Plate 1,A06,EnzoICCB2,SP0128,A11,ICCB Known Bioactives Library,3.58099494363514,Inhibitors:  lowers GTP levels,DMSO,2840,Decoyinine - Inhibitors - lowers GTP levels
AR-107,(S)-(-)-propranolol·HCl,295.8,6-B11,6,Plate 2,B11,EnzoICCB2,SP0128,C22,ICCB Known Bioactives Library,3.38061689497099,CNS receptor ligands:  adrenoceptor antagonist (beta),DMSO,2840,Propranolol (S-) - CNS receptor ligands - adrenoceptor antagonist (beta)
EI-306,SU-4312,264.3,6-A10,6,Plate 2,A10,EnzoICCB2,SP0128,A20,ICCB Known Bioactives Library,3.78326864574494,Kinase inhibitors:  VEGF-R (Flk-1) tyrosine kinase ,DMSO,2840,SU-4312 - Kinase inhibitors - VEGF-R (Flk-1) tyrosine kinase 
AP-300,TPEN,424.5,6-F04,6,Plate 2,F04,EnzoICCB2,SP0128,K08,ICCB Known Bioactives Library,2.35548676487319,Inhibitors:  cell permable heavy metal chelator,DMSO,2840,TPEN  - Inhibitors - cell permable heavy metal chelator
PI-120,Pepstatin,685.9,6-A11,6,Plate 2,A11,EnzoICCB2,SP0128,A22,ICCB Known Bioactives Library,1.45795526730808,Protease inhibitors:  protease inhibitor,DMSO,2840,Pepstatin - Protease inhibitors - protease inhibitor
T-112,Alrestatin,255.2,6-E03,6,Plate 2,E03,EnzoICCB2,SP0128,I06,ICCB Known Bioactives Library,3.91810225933449,Inhibitors:  aldose reductase inhibitor,DMSO,2840,Alrestatin - Inhibitors - aldose reductase inhibitor
PI-143,Nafamostat mesylate ,443.5,6-F08,6,Plate 2,F08,EnzoICCB2,SP0128,K16,ICCB Known Bioactives Library,2.25491345642154,Inhibitors:  Serine protease inhibitor,DMSO,2840,Nafamostst mesylate - Inhibitors - Serine protease inhibitor
ST-300,RHC-80267,394.5,6-C08,6,Plate 2,C08,EnzoICCB2,SP0128,E16,ICCB Known Bioactives Library,2.53480027294729,Lipid biosynthesis:  DAG lipase inhibitor,DMSO,2840,RHC-80267 - Lipid biosynthesis - DAG lipase inhibitor
PI-107,E-64-d,342.4,5-B11,5,Plate 1,B11,EnzoICCB2,SP0128,C21,ICCB Known Bioactives Library,2.92030061574539,Protease inhibitors:  calpain/cathepsin inhibitor,DMSO,2840,E-64-d - Protease inhibitors - calpain/cathepsin inhibitor
EI-184,HA-1004,293.3,5-D08,5,Plate 1,D08,EnzoICCB2,SP0128,G15,ICCB Known Bioactives Library,3.40895532564046,Kinase inhibitors:  kinase inhibitor,DMSO,2840,HA-1004 - Kinase inhibitors - kinase inhibitor
A-235,FK-506,804.0,5-H11,5,Plate 1,H11,EnzoICCB2,SP0128,O21,ICCB Known Bioactives Library,1.24375293992101,Inhibitors:  FKBP ligand,DMSO,2840,FK-506 - Inhibitors - FKBP ligand
EI-261,NS-398,314.4,6-H03,6,Plate 2,H03,EnzoICCB2,SP0128,O06,ICCB Known Bioactives Library,3.18109665125956,Lipid biosynthesis:  Cox-2 inhibitor,DMSO,2840,NS-398 - Lipid biosynthesis - Cox-2 inhibitor
EI-211,CDC,321.3,6-H08,6,Plate 2,H08,EnzoICCB2,SP0128,O16,ICCB Known Bioactives Library,3.11209743852596,Lipid biosynthesis:  12-Lipoxygenase inhibitor,DMSO,2840,CDC - Lipid biosynthesis - 12-Lipoxygenase inhibitor
EI-271,Piceatannol,244.2,6-D11,6,Plate 2,D11,EnzoICCB2,SP0128,G22,ICCB Known Bioactives Library,4.09428818138679,Kinase inhibitors:  Syk inhibitor,DMSO,2840,Piceatannol - Kinase inhibitors - Syk inhibitor
AP-100,6(5H)-Phenanthridinone,195.2,6-B02,6,Plate 2,B02,EnzoICCB2,SP0128,C04,ICCB Known Bioactives Library,5.12251257192648,Inhibitors:  PARP inhibitor,DMSO,2840,Phenanthridinone [6(5H)-Phenanthridinone] - Inhibitors - PARP inhibitor
CC-200,Olomoucine,298.3,6-A06,6,Plate 2,A06,EnzoICCB2,SP0128,A12,ICCB Known Bioactives Library,3.35184669993933,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Olomoucine - Kinase inhibitors - CDK inhibitor
CN-240,Diphenyleneiodonium ,279.1,5-B05,5,Plate 1,B05,EnzoICCB2,SP0128,C09,ICCB Known Bioactives Library,3.58299139652106,Inhibitors:  flavoprotein inhibitor,DMSO,2840,Diphenyleneiodonium Cl - Inhibitors - flavoprotein inhibitor
C-117,(-)-Huperzine A,242.3,5-E03,5,Plate 1,E03,EnzoICCB2,SP0128,I05,ICCB Known Bioactives Library,4.12683922907342,Inhibitors:  acetylcholinesterase inhibitor,DMSO,2840,Huperzine A [(-)-Huperzine A] - Inhibitors - acetylcholinesterase inhibitor
PI-118,Leupeptin,426.6,5-F09,5,Plate 1,F09,EnzoICCB2,SP0128,K17,ICCB Known Bioactives Library,2.34437180799126,Protease inhibitors:  protease inhibitor,DMSO,2840,Leupeptin - Protease inhibitors - protease inhibitor
EI-233,HA1077,364.3,5-D07,5,Plate 1,D07,EnzoICCB2,SP0128,G13,ICCB Known Bioactives Library,2.74505820895932,Kinase inhibitors:  inhibitor of Rho-dependent kinases,DMSO,2840,HA1077 - Kinase inhibitors - inhibitor of Rho-dependent kinases
EI-215,tyrphostin 9,282.4,6-F11,6,Plate 2,F11,EnzoICCB2,SP0128,K22,ICCB Known Bioactives Library,3.54132603536864,Kinase inhibitors:  PDGF-R tyrosine kinase inhibitor,DMSO,2840,Tyrphostin 9 - Kinase inhibitors - PDGF-R tyrosine kinase inhibitor
EI-153,ML9,324.8,5-H07,5,Plate 1,H07,EnzoICCB2,SP0128,O13,ICCB Known Bioactives Library,3.07857129663266,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML9 - Kinase inhibitors - kinase inhibitor
EI-199,KT-5720,423.5,5-F03,5,Plate 1,F03,EnzoICCB2,SP0128,K05,ICCB Known Bioactives Library,0.236148028919632,Kinase inhibitors:  PKA inhibitor,DMSO,2840,KT-5720 - Kinase inhibitors - PKA inhibitor
EI-197,ML7,416.3,5-H06,5,Plate 1,H06,EnzoICCB2,SP0128,O11,ICCB Known Bioactives Library,2.40224658100255,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML7 - Kinase inhibitors - kinase inhibitor
