Plate Map,Well,MoleculeID,Concentration,Unit
SP0128,A03,Cytochalasin D,1.969985692,m
SP0128,A04,Nocodazole,3.318730917,m
SP0128,A05,D609,4.754297885,m
SP0128,A06,OBAA,2.332920873,m
SP0128,A07,Damnacanthal,3.542988497,m
SP0128,A08,Okadaic acid,0.124223155,m
SP0128,A09,YC-1,3.285771787,m
SP0128,A10,Oligomycin A,1.26412262,m
SP0128,A11,Decoyinine,3.580994944,m
SP0128,A12,Olomoucine,3.3518467,m
SP0128,A13,1-Deoxymannojirimycin hydrochloride,5.009191867,m
SP0128,A14,Ouabain,1.710417727,m
SP0128,A15,1-Deoxynojirimycin,6.128513707,m
SP0128,A16,PCA 4248,2.766596118,m
SP0128,A17,Dexamethasone,2.548023231,m
SP0128,A18,PD 98059,3.741404591,m
SP0128,A19,Dibutyrylcyclic AMP,2.035136634,m
SP0128,A20,SU-4312,3.783268646,m
SP0128,A21,Dibutyrylcyclic GMP,2.060220238,m
SP0128,A22,Pepstatin,1.457955267,m
SP0128,B03,Triptolide,,
SP0128,C03,GW-9662,3.614348965,m
SP0128,C04,6(5H)-Phenanthridinone,5.122512572,m
SP0128,C05,"6,7-ADTN ",5.579868282,m
SP0128,C06,Phorbol 12-myristate 13-acetate,1.621205366,m
SP0128,C07,Hinokitiol,6.090093185,m
SP0128,C08,Pifithrin-_,3.491717646,m
SP0128,C09,Diphenyleneiodonium ,3.582991397,m
SP0128,C10,CITCO,2.289681322,m
SP0128,C11,"2,5-Ditertbutylhydroquinone",4.497954106,m
SP0128,C12,Piroxicam,3.017993276,m
SP0128,C13,Doxorubicin,1.724197386,m
SP0128,C14,Cyclopamine,2.429425788,m
SP0128,C15,DRB (Benzimidazole),3.133411251,m
SP0128,C16,PP1,3.554221064,m
SP0128,C17,MnTBAP,1.137463615,m
SP0128,C18,Prazocin,2.608234562,m
SP0128,C19,E6 berbamine,1.319562554,m
SP0128,C20,Propidium iodide,1.496122201,m
SP0128,C21,E-64-d,2.920300616,m
SP0128,C22,(S)-(-)-propranolol·HCl,3.380616895,m
SP0128,E03,EHNA ,3.605353662,m
SP0128,E04,Puromycin·2HCl,1.88535176,m
SP0128,E05,Pregnenolone-16_-carbonitrile,2.928369162,m
SP0128,E06,SB-431542,2.60154209,m
SP0128,E07,Estradiol,3.671314551,m
SP0128,E08,SP-600125,4.540787854,m
SP0128,E09,Etoposide,1.699071933,m
SP0128,E10,Quercetin·2H2O,2.956250741,m
SP0128,E11,FCCP,3.934404042,m
SP0128,E12,Rapamycin,1.093886172,m
SP0128,E13,Forskolin,2.436046472,m
SP0128,E14,Cyclo [Arg-Gly-Asp-D-Phe-Val],1.740252368,m
SP0128,E15,Geldanamycin,1.783688843,m
SP0128,E16,RHC-80267,2.534800273,m
SP0128,E17,Genistein,3.840646949,m
SP0128,E18,RK-682,2.713648976,m
SP0128,E19,Ro 31-8220,2.185567821,m
SP0128,E20,Roscovitine,2.821277966,m
SP0128,E21,GM6001,2.574262982,m
SP0128,E22,Rottlerin,1.935964115,m
SP0128,G03,Go6976,2.642525261,m
SP0128,G04,RWJ-60475-(AM)3,1.612136161,m
SP0128,G05,Nimesulide,3.243488696,m
SP0128,G06,SB 203580,2.649462821,m
SP0128,G07,H7,3.432074105,m
SP0128,G08,SB 202190,3.01801969,m
SP0128,G09,H-89,2.240339098,m
SP0128,G10,Indirubin-3'-monoxime,3.606496599,m
SP0128,G11,H9,3.084258868,m
SP0128,G12,Indirubin,3.812969281,m
SP0128,G13,HA1077,2.745058209,m
SP0128,G14,serotonin,5.674882572,m
SP0128,G15,HA-1004,3.408955326,m
