Catalog number,old,MW,Plate Location,Plate number,96 plate name,96 well,384 plate ID,UCSC CSC plate ID,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
SL-115,C16 Ceramide,537.9,1-A02,1,Plate 1,A02,EnzoICCB1,SP0127,A03,ICCB Known Bioactives Library,1,Bioactive lipids:  Activates PKC zeta,DMSO,2840,C16 Ceramide  - Bioactive lipids - Activates PKC zeta
L-120,C-PAF,538.7,2-A02,2,Plate 2,A02,EnzoICCB1,SP0127,A04,ICCB Known Bioactives Library,1,Bioactive lipids:  PAF receptor agonist,DMSO,2840,C-PAF  - Bioactive lipids - PAF receptor agonist
SL-145,C8 Ceramine,411.7,1-A03,1,Plate 1,A03,EnzoICCB1,SP0127,A05,ICCB Known Bioactives Library,1,Bioactive lipids:  Ceramide analog. Apoptosis inducer,DMSO,2840,C8 Ceramine - Bioactive lipids - Ceramide analog. Apoptosis inducer
PG-047,D12-Prostaglandin J2,334.4,2-A03,2,Plate 2,A03,EnzoICCB1,SP0127,A06,ICCB Known Bioactives Library,1,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,Delta 12-Prostaglandin J2  - Bioactive lipids - Bioactive prostaglandin
FA-021,(R)-(+)-Methandamide,361.6,1-A04,1,Plate 1,A04,EnzoICCB1,SP0127,A07,ICCB Known Bioactives Library,1,CNS receptor ligands:  Cannabinoid CB1 receptor agonist,DMSO,2840,(R)-Methanandamide  - CNS receptor ligands - Cannabinoid CB1 receptor agonist
FA-009,Dihomo-gamma-linolenic acid,306.5,2-A04,2,Plate 2,A04,EnzoICCB1,SP0127,A08,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Dihomo-gamma-linolenic acid - Bioactive lipids - Polyunsaturated fatty acid 
DM-200,1?;25-Dihydroxyvitamin D3,416.6,1-A05,1,Plate 1,A05,EnzoICCB1,SP0127,A09,ICCB Known Bioactives Library,1,Nuclear receptor ligands:  Vitamin D receptor agonist,DMSO,2840,1;25-Dihydroxyvitamin D3  - Nuclear receptor ligands - Vitamin D receptor agonist
SL-125,Dihydrosphingosine,301.5,2-A05,2,Plate 2,A05,EnzoICCB1,SP0127,A10,ICCB Known Bioactives Library,1,Bioactive lipids:  Apoptosis inducer,DMSO,2840,Dihydrosphingosine  - Bioactive lipids - Apoptosis inducer
DG-100,1;2-Didecanoyl-glycerol (10:0),400.6,1-A06,1,Plate 1,A06,EnzoICCB1,SP0127,A11,ICCB Known Bioactives Library,1,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Didecanoyl-glycerol (10:0)  - Bioactive lipids - Activates PKC
GR-207,Diidolylmethane,246.3,2-A06,2,Plate 2,A06,EnzoICCB1,SP0127,A12,ICCB Known Bioactives Library,1,Nuclear receptor ligands:  AHR agonist,DMSO,2840,Diindolylmethane - Nuclear receptor ligands - AHR agonist
DG-112,1;2-Dioctanoyl-SN-glycerol,344.5,1-A07,1,Plate 1,A07,EnzoICCB1,SP0127,A13,ICCB Known Bioactives Library,1,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Dioctanoyl-sn-glycerol - Bioactive lipids - Activates PKC
SL-205,DL-Dihydrosphingosine,301.5,2-A07,2,Plate 2,A07,EnzoICCB1,SP0127,A14,ICCB Known Bioactives Library,1,Lipid biosynthesis:  Sphingosine kinase inhibitor,DMSO,2840,DL-Dihydrosphingosine - Lipid biosynthesis - Sphingosine kinase inhibitor
DG-115,1;2-Dioleoyl-glycerol (18:1),621.0,1-A08,1,Plate 1,A08,EnzoICCB1,SP0127,A15,ICCB Known Bioactives Library,1,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Dioleoyl-glycerol (18:1)  - Bioactive lipids - Activates PKC
SL-210,DL-PDMP,390.6,2-A08,2,Plate 2,A08,EnzoICCB1,SP0127,A16,ICCB Known Bioactives Library,1,Lipid biosynthesis:  Glucosylceramide synthase inhibitor,DMSO,2840,DL-PDMP  - Lipid biosynthesis - Glucosylceramide synthase inhibitor
EE-11,(±)11(12)-Epoxyeicosatrienoic acid,320.5,1-A09,1,Plate 1,A09,EnzoICCB1,SP0127,A17,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,11;12-Epoxyeicosatrienoic acid  - Bioactive lipids - Bioactive arachidonic acid metabolite
SL-215,DL-PPMP,474.7,2-A09,2,Plate 2,A09,EnzoICCB1,SP0127,A18,ICCB Known Bioactives Library,1,Lipid biosynthesis:  Glucosylceramide synthase inhibitor,DMSO,2840,DL-PPMP  - Lipid biosynthesis - Glucosylceramide synthase inhibitor
H-112,12(R)-HETE,320.5,1-A10,1,Plate 1,A10,EnzoICCB1,SP0127,A19,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,12(R)-HETE   - Bioactive lipids - Bioactive arachidonic acid metabolite
FA-002,Docosahexaenoic acid(22:6 n-3),328.5,2-A10,2,Plate 2,A10,EnzoICCB1,SP0127,A20,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosahexaenoic acid (22:6 n-3)  - Bioactive lipids - Polyunsaturated fatty acid 
H-012,12(S)-HETE,320.5,1-A11,1,Plate 1,A11,EnzoICCB1,SP0127,A21,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,12(S)-HETE  - Bioactive lipids - Bioactive arachidonic acid metabolite
FA-012,Docosapentaenoic acid,330.5,2-A11,2,Plate 2,A11,EnzoICCB1,SP0127,A22,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosapentaenoic acid   - Bioactive lipids - Polyunsaturated fatty acid 
AC-104,Bepridil·HCl,403.0,3-A02,3,Plate 3,A02,EnzoICCB1,SP0127,B03,ICCB Known Bioactives Library,12.4069478908189,Ion channel ligands:  Calcium channels,DMSO,2840,Bepridil - Ion channel ligands - Calcium channels
GR-313,Lycorine,287.3,4-A02,4,Plate 4,A02,EnzoICCB1,SP0127,B04,ICCB Known Bioactives Library,17.4027750465089,Inhibitors:  inhibits TNFalpha production,DMSO,2840,Lycorine - Inhibitors - inhibits TNFalpha production
CA-415,Cyclopiazonic acid,336.4,3-A03,3,Plate 3,A03,EnzoICCB1,SP0127,B05,ICCB Known Bioactives Library,14.8639473174142,Ion channel ligands:  Intracellular calcium,DMSO,2840,Cyclopiazonic acid - Ion channel ligands - Intracellular calcium
GR-316,10-hydroxycamptothecin,364.4,4-A03,4,Plate 4,A03,EnzoICCB1,SP0127,B06,ICCB Known Bioactives Library,13.723015747984,Inhibitors:  topoisomerase 1 inhibitor,DMSO,2840,10-Hydroxycamptothecin - Inhibitors - topoisomerase 1 inhibitor
AC-100,Dantrolene,314.3,3-A04,3,Plate 3,A04,EnzoICCB1,SP0127,B07,ICCB Known Bioactives Library,15.9107470732181,Ion channel ligands:  Intracellular calcium,DMSO,2840,Dantrolene - Ion channel ligands - Intracellular calcium
GR-308,beta-lapachone,242.3,4-A04,4,Plate 4,A04,EnzoICCB1,SP0127,B08,ICCB Known Bioactives Library,20.6381395295082,Inhibitors:  topoisomerase 1 inhibitor,DMSO,2840,?-Lapachone - Inhibitors - topoisomerase 1 inhibitor
KC-115,Diazoxide,230.7,3-A05,3,Plate 3,A05,EnzoICCB1,SP0127,B09,ICCB Known Bioactives Library,21.6758933719453,Ion channel ligands:  Potassium channels,DMSO,2840,Diazoxide - Ion channel ligands - Potassium channels
