Catalog number,old,MW,Plate Location,Plate number,96 plate name,96 well,384 Plate ID,UCSC CSC Plate ID,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
T-109,Cytochalasin D,507.6,5-A02,5,Plate 1,A02,EnzoICCB2,SP0128,A03,ICCB Known Bioactives Library,9.8499284599696,Inhibitors:  F actin capper,DMSO,2840,Cytochalasin D - Inhibitors - F actin capper
T-101,Nocodazole,301.3,6-A02,6,Plate 2,A02,EnzoICCB2,SP0128,A04,ICCB Known Bioactives Library,16.5936545864861,Inhibitors:  tubulin inhibitor,DMSO,2840,Nocodazole - Inhibitors - tubulin inhibitor
ST-330,D609,210.3,5-A03,5,Plate 1,A03,EnzoICCB2,SP0128,A05,ICCB Known Bioactives Library,23.7714894264415,Lipid biosynthesis:  PC-PLC inhibitor,DMSO,2840,D609 - Lipid biosynthesis - PC-PLC inhibitor
ST-315,OBAA,428.6,6-A03,6,Plate 2,A03,EnzoICCB2,SP0128,A06,ICCB Known Bioactives Library,11.664604364615,Inhibitors:  phospholipase A2 inhibitor,DMSO,2840,OBAA - Inhibitors - phospholipase A2 inhibitor
EI-274,Damnacanthal,282.2,5-A04,5,Plate 1,A04,EnzoICCB2,SP0128,A07,ICCB Known Bioactives Library,17.7149424831247,Kinase inhibitors:  p56lck inhibitor,DMSO,2840,Damnacanthal - Kinase inhibitors - p56lck inhibitor
EI-181,Okadaic acid,805.0,6-A04,6,Plate 2,A04,EnzoICCB2,SP0128,A08,ICCB Known Bioactives Library,0.621115774862426,Inhibitors:  PP1 PP2A inhibitor,DMSO,2840,Okadaic acid - Inhibitors - PP1 PP2A inhibitor
CN-223,YC-1,304.3,5-A05,5,Plate 1,A05,EnzoICCB2,SP0128,A09,ICCB Known Bioactives Library,16.4288589336028,Activators:  GC stimulator /  Hif-1 alpha inhibitor ,DMSO,2840,YC-1 - Activators - GC stimulator /  Hif-1 alpha inhibitor 
CM-111,Oligomycin A,791.1,6-A05,6,Plate 2,A05,EnzoICCB2,SP0128,A10,ICCB Known Bioactives Library,6.32061309947065,Inhibitors:  Fo ATP synthase inhibitor ,DMSO,2840,Oligomycin A - Inhibitors - Fo ATP synthase inhibitor 
A-230,Decoyinine,279.3,5-A06,5,Plate 1,A06,EnzoICCB2,SP0128,A11,ICCB Known Bioactives Library,17.9049747181757,Inhibitors:  lowers GTP levels,DMSO,2840,Decoyinine - Inhibitors - lowers GTP levels
CC-200,Olomoucine,298.3,6-A06,6,Plate 2,A06,EnzoICCB2,SP0128,A12,ICCB Known Bioactives Library,16.7592334996967,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Olomoucine - Kinase inhibitors - CDK inhibitor
S-109,1-Deoxymannojirimycin hydrochloride,199.6,5-A07,5,Plate 1,A07,EnzoICCB2,SP0128,A13,ICCB Known Bioactives Library,25.0459593353804,Inhibitors:  mannosidase inhibitor,DMSO,2840,Deoxymannojirimycin(1) - Inhibitors - mannosidase inhibitor
CM-109,Ouabain,584.7,6-A07,6,Plate 2,A07,EnzoICCB2,SP0128,A14,ICCB Known Bioactives Library,8.5520886338466,Inhibitors:  Na+K+ATPase inhibitor,DMSO,2840,Ouabain - Inhibitors - Na+K+ATPase inhibitor
S-110,1-Deoxynojirimycin,163.2,5-A08,5,Plate 1,A08,EnzoICCB2,SP0128,A15,ICCB Known Bioactives Library,30.6425685336367,Inhibitors:  glucosidase inhibitor,DMSO,2840,Deoxynorjrimycin(1) - Inhibitors - glucosidase inhibitor
L-133,PCA 4248,361.5,6-A08,6,Plate 2,A08,EnzoICCB2,SP0128,A16,ICCB Known Bioactives Library,13.8329805923282,Bioactive lipids:  PAF antagonist,DMSO,2840,PCA 4248 - Bioactive lipids - PAF antagonist
EI-126,Dexamethasone,392.5,5-A09,5,Plate 1,A09,EnzoICCB2,SP0128,A17,ICCB Known Bioactives Library,12.740116154187,Nuclear receptor ligands:  corticosteroid,DMSO,2840,Dexamethasone - Nuclear receptor ligands - corticosteroid
EI-360,PD 98059,267.3,6-A09,6,Plate 2,A09,EnzoICCB2,SP0128,A18,ICCB Known Bioactives Library,18.707022953143,Kinase inhibitors:  MEK inhibitor,DMSO,2840,PD 98059 - Kinase inhibitors - MEK inhibitor
CN-125,Dibutyrylcyclic AMP,491.4,5-A10,5,Plate 1,A10,EnzoICCB2,SP0128,A19,ICCB Known Bioactives Library,10.1756831699288,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic AMP - Activators - PKA activator
EI-306,SU-4312,264.3,6-A10,6,Plate 2,A10,EnzoICCB2,SP0128,A20,ICCB Known Bioactives Library,18.9163432287247,Kinase inhibitors:  VEGF-R (Flk-1) tyrosine kinase ,DMSO,2840,SU-4312 - Kinase inhibitors - VEGF-R (Flk-1) tyrosine kinase 
CN-215,Dibutyrylcyclic GMP,485.4,5-A11,5,Plate 1,A11,EnzoICCB2,SP0128,A21,ICCB Known Bioactives Library,10.301101187717,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic GMP - Activators - PKA activator
PI-120,Pepstatin,685.9,6-A11,6,Plate 2,A11,EnzoICCB2,SP0128,A22,ICCB Known Bioactives Library,7.2897763365404,Protease inhibitors:  protease inhibitor,DMSO,2840,Pepstatin - Protease inhibitors - protease inhibitor
GR-234,GW-9662,276.7,5-B02,5,Plate 1,B02,EnzoICCB2,SP0128,C03,ICCB Known Bioactives Library,18.071744826963,Nuclear receptor ligands:  PPAR gamma antagonist,DMSO,2840,GW-9662 - Nuclear receptor ligands - PPAR gamma antagonist
AP-100,6(5H)-Phenanthridinone,195.2,6-B02,6,Plate 2,B02,EnzoICCB2,SP0128,C04,ICCB Known Bioactives Library,25.6125628596324,Inhibitors:  PARP inhibitor,DMSO,2840,Phenanthridinone [6(5H)-Phenanthridinone] - Inhibitors - PARP inhibitor
