Time, CPU%, Memory Usage
2024-06-17 19:40:51, 0%, 2.3K
2024-06-17 19:40:53, 75%, 2.3K
2024-06-17 19:40:54, 101.6%, 2.3K
2024-06-17 19:40:55, 115%, 2.3K
2024-06-17 19:40:56, 124%, 2.4K
2024-06-17 19:40:57, 128%, 2.4K
2024-06-17 19:40:58, 0%, 52K
2024-06-17 19:40:59, 545%, 310K
2024-06-17 19:41:01, 233%, 703K
2024-06-17 19:41:02, 211%, 726K
2024-06-17 19:41:03, 195%, 730K
2024-06-17 19:41:04, 183%, 726K
2024-06-17 19:41:05, 176%, 732K
2024-06-17 19:41:06, 171%, 732K
2024-06-17 19:41:07, 164%, 732K
2024-06-17 19:41:09, 146%, 734K
2024-06-17 19:41:10, 145%, 736K
2024-06-17 19:41:11, 143%, 736K
2024-06-17 19:41:12, 143%, 923K
2024-06-17 19:41:13, 141%, 923K
2024-06-17 19:41:14, 140%, 923K
2024-06-17 19:41:16, 131%, 923K
2024-06-17 19:41:17, 131%, 923K
2024-06-17 19:41:18, 130%, 923K
2024-06-17 19:41:19, 130%, 923K
2024-06-17 19:41:20, 129%, 923K
2024-06-17 19:41:21, 129%, 924K
2024-06-17 19:41:23, 123%, 924K
2024-06-17 19:41:24, 123%, 924K
2024-06-17 19:41:25, 123%, 924K
2024-06-17 19:41:26, 123%, 924K
2024-06-17 19:41:27, 123%, 924K
2024-06-17 19:41:28, 123%, 924K
2024-06-17 19:41:30, 119%, 924K
2024-06-17 19:41:31, 119%, 924K
2024-06-17 19:41:32, 119%, 924K
2024-06-17 19:41:33, 119%, 924K
2024-06-17 19:41:34, 119%, 925K
2024-06-17 19:41:35, 0%, 66K
2024-06-17 19:41:37, 198%, 142K
2024-06-17 19:41:38, 154%, 142K
2024-06-17 19:41:39, 133%, 142K
2024-06-17 19:41:40, 119%, 142K
2024-06-17 19:41:41, 103%, 138K
2024-06-17 19:41:42, 88.5%, 143K
2024-06-17 19:41:44, 92.4%, 276K
2024-06-17 19:41:45, 95.2%, 426K
2024-06-17 19:41:46, 97.2%, 570K
2024-06-17 19:41:47, 105%, 684K
2024-06-17 19:41:48, 106%, 730K
2024-06-17 19:41:49, 107%, 730K
2024-06-17 19:41:51, 102%, 727K
2024-06-17 19:41:52, 105%, 732K
2024-06-17 19:41:53, 105%, 732K
2024-06-17 19:41:54, 106%, 736K
2024-06-17 19:41:55, 107%, 733K
2024-06-17 19:41:56, 107%, 733K
2024-06-17 19:41:57, 103%, 733K
2024-06-17 19:41:59, 104%, 733K
2024-06-17 19:42:00, 104%, 733K
2024-06-17 19:42:01, 105%, 733K
2024-06-17 19:42:02, 105%, 733K
2024-06-17 19:42:03, 106%, 738K
2024-06-17 19:42:04, 0%, 3.7K
2024-06-17 19:42:06, 70.5%, 3.7K
2024-06-17 19:42:07, 86%, 3.8K
2024-06-17 19:42:08, 93.5%, 3.8K
2024-06-17 19:42:09, 98%, 3.8K
2024-06-17 19:42:10, 100%, 3.8K
2024-06-17 19:42:11, 102%, 3.8K
2024-06-17 19:42:13, 93%, 3.8K
2024-06-17 19:42:14, 95.4%, 3.8K
2024-06-17 19:42:15, 97.2%, 3.8K
2024-06-17 19:42:16, 98.7%, 3.8K
2024-06-17 19:42:17, 100%, 3.8K
2024-06-17 19:42:18, 101%, 3.8K
2024-06-17 19:42:20, 96%, 3.8K
2024-06-17 19:42:21, 97.1%, 3.8K
2024-06-17 19:42:22, 0%, 25K
2024-06-17 19:42:23, 413%, 184K
2024-06-17 19:42:24, 339%, 504K
2024-06-17 19:42:25, 287%, 711K
2024-06-17 19:42:27, 245%, 711K
2024-06-17 19:42:28, 188%, 716K
2024-06-17 19:42:29, 181%, 722K
2024-06-17 19:42:30, 175%, 722K
2024-06-17 19:42:31, 169%, 722K
2024-06-17 19:42:32, 165%, 722K
2024-06-17 19:42:34, 148%, 725K
2024-06-17 19:42:35, 146%, 725K
2024-06-17 19:42:36, 145%, 910K
2024-06-17 19:42:37, 143%, 910K
2024-06-17 19:42:38, 141%, 910K
2024-06-17 19:42:39, 140%, 910K
2024-06-17 19:42:41, 132%, 910K
2024-06-17 19:42:42, 131%, 910K
2024-06-17 19:42:43, 130%, 910K
2024-06-17 19:42:44, 130%, 910K
2024-06-17 19:42:45, 129%, 910K
2024-06-17 19:42:46, 129%, 910K
2024-06-17 19:42:48, 123%, 910K
2024-06-17 19:42:49, 123%, 910K
2024-06-17 19:42:50, 123%, 910K
2024-06-17 19:42:51, 123%, 910K
2024-06-17 19:42:52, 122%, 910K
2024-06-17 19:42:54, 122%, 910K
2024-06-17 19:42:55, 119%, 910K
2024-06-17 19:42:56, 118%, 910K
2024-06-17 19:42:57, 119%, 910K
2024-06-17 19:42:58, 118%, 910K
2024-06-17 19:42:59, 119%, 911K
2024-06-17 19:43:01, 116%, 911K
2024-06-17 19:43:02, 116%, 911K
2024-06-17 19:43:03, 251%, 106K
2024-06-17 19:43:04, 299%, 367K
2024-06-17 19:43:05, 254%, 724K
2024-06-17 19:43:06, 230%, 733K
2024-06-17 19:43:08, 176%, 735K
2024-06-17 19:43:09, 176%, 738K
2024-06-17 19:43:10, 170%, 921K
2024-06-17 19:43:11, 164%, 921K
2024-06-17 19:43:12, 160%, 921K
2024-06-17 19:43:13, 157%, 921K
2024-06-17 19:43:15, 142%, 921K
2024-06-17 19:43:16, 140%, 921K
2024-06-17 19:43:17, 139%, 921K
2024-06-17 19:43:18, 138%, 922K
2024-06-17 19:43:19, 137%, 922K
2024-06-17 19:43:21, 136%, 922K
2024-06-17 19:43:22, 128%, 922K
2024-06-17 19:43:23, 128%, 923K
2024-06-17 19:43:24, 128%, 923K
2024-06-17 19:43:25, 127%, 926K
2024-06-17 19:43:26, 132%, 944K
2024-06-17 19:43:28, 127%, 937K
2024-06-17 19:43:29, 127%, 938K
2024-06-17 19:43:30, 127%, 941K
2024-06-17 19:43:31, 127%, 943K
2024-06-17 19:43:32, 127%, 947K
2024-06-17 19:43:33, 126%, 939K
2024-06-17 19:43:35, 123%, 940K
2024-06-17 19:43:36, 123%, 944K
2024-06-17 19:43:37, 123%, 946K
2024-06-17 19:43:38, 123%, 948K
2024-06-17 19:43:39, 123%, 951K
2024-06-17 19:43:41, 120%, 953K
2024-06-17 19:43:42, 120%, 956K
2024-06-17 19:43:43, 120%, 957K
2024-06-17 19:43:44, 120%, 961K
2024-06-17 19:43:45, 121%, 962K
2024-06-17 19:43:46, 121%, 963K
2024-06-17 19:43:48, 119%, 979K
2024-06-17 19:43:49, 119%, 981K
2024-06-17 19:43:50, 120%, 983K
2024-06-17 19:43:51, 120%, 984K
2024-06-17 19:43:52, 0%, 1.4K
2024-06-17 19:43:54, 94%, 1.4K
2024-06-17 19:43:55, 88%, 2.0K
2024-06-17 19:43:56, 103%, 2.2K
2024-06-17 19:43:57, 106%, 2.2K
2024-06-17 19:43:58, 109%, 2.2K
2024-06-17 19:43:59, 110%, 2.2K
2024-06-17 19:44:00, 111%, 2.2K
2024-06-17 19:44:02, 98%, 2.2K
2024-06-17 19:44:03, 100%, 2.2K
2024-06-17 19:44:04, 101%, 2.2K
2024-06-17 19:44:05, 103%, 2.2K
2024-06-17 19:44:06, 104%, 2.2K
2024-06-17 19:44:08, 105%, 2.2K
2024-06-17 19:44:09, 99.1%, 2.2K
2024-06-17 19:44:10, 100%, 2.2K
2024-06-17 19:44:11, 101%, 2.2K
2024-06-17 19:44:12, 102%, 2.2K
2024-06-17 19:44:13, 102%, 2.2K
2024-06-17 19:44:15, 103%, 2.2K
2024-06-17 19:44:16, 99.3%, 2.2K
2024-06-17 19:44:17, 100%, 2.2K
2024-06-17 19:44:18, 100%, 2.2K
2024-06-17 19:44:19, 101%, 2.2K
2024-06-17 19:44:20, 102%, 2.2K
2024-06-17 19:44:22, 102%, 2.2K
Monitoring finished.
