Time, CPU%, Memory Usage
2024-06-17 19:44:23, 0%, 2.4K
2024-06-17 19:44:24, 164%, 2.4K
2024-06-17 19:44:25, 160%, 2.4K
2024-06-17 19:44:26, 157%, 2.4K
2024-06-17 19:44:27, 145.2%, 2.4K
2024-06-17 19:44:29, 147.6%, 2.4K
2024-06-17 19:44:30, 112%, 62K
2024-06-17 19:44:31, 270%, 334K
2024-06-17 19:44:32, 219%, 652K
2024-06-17 19:44:33, 215%, 710K
2024-06-17 19:44:34, 202%, 715K
2024-06-17 19:44:36, 190%, 721K
2024-06-17 19:44:37, 158%, 721K
2024-06-17 19:44:38, 153%, 721K
2024-06-17 19:44:39, 151%, 721K
2024-06-17 19:44:40, 149%, 724K
2024-06-17 19:44:41, 146%, 821K
2024-06-17 19:44:43, 145%, 909K
2024-06-17 19:44:44, 133%, 910K
2024-06-17 19:44:45, 132%, 910K
2024-06-17 19:44:46, 132%, 910K
2024-06-17 19:44:47, 131%, 910K
2024-06-17 19:44:48, 130%, 910K
2024-06-17 19:44:50, 123%, 910K
2024-06-17 19:44:51, 123%, 910K
2024-06-17 19:44:52, 123%, 910K
2024-06-17 19:44:53, 123%, 911K
2024-06-17 19:44:54, 123%, 911K
2024-06-17 19:44:55, 123%, 911K
2024-06-17 19:44:57, 118%, 911K
2024-06-17 19:44:58, 118%, 911K
2024-06-17 19:44:59, 118%, 911K
2024-06-17 19:45:00, 118%, 911K
2024-06-17 19:45:01, 118%, 911K
2024-06-17 19:45:02, 118%, 911K
2024-06-17 19:45:04, 0%, 33K
2024-06-17 19:45:05, 205%, 143K
2024-06-17 19:45:06, 157%, 143K
2024-06-17 19:45:07, 133%, 143K
2024-06-17 19:45:08, 118%, 143K
2024-06-17 19:45:09, 108%, 143K
2024-06-17 19:45:10, 93.1%, 143K
2024-06-17 19:45:12, 92.2%, 208K
2024-06-17 19:45:13, 94.9%, 369K
2024-06-17 19:45:14, 97.2%, 473K
2024-06-17 19:45:15, 99%, 597K
2024-06-17 19:45:16, 104%, 706K
2024-06-17 19:45:17, 105%, 733K
2024-06-17 19:45:19, 99.6%, 729K
2024-06-17 19:45:20, 101%, 730K
2024-06-17 19:45:21, 104%, 735K
2024-06-17 19:45:22, 105%, 735K
2024-06-17 19:45:23, 106%, 740K
2024-06-17 19:45:24, 106%, 740K
2024-06-17 19:45:26, 102%, 740K
2024-06-17 19:45:27, 103%, 741K
2024-06-17 19:45:28, 104%, 741K
2024-06-17 19:45:29, 104%, 741K
2024-06-17 19:45:30, 105%, 741K
2024-06-17 19:45:31, 105%, 741K
2024-06-17 19:45:33, 102%, 741K
2024-06-17 19:45:34, 103%, 1.4K
2024-06-17 19:45:35, 114%, 3.8K
